# 20230822
# M2
# pH 5 solution
# Berkeley reference electrode
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
121.344072562,-0.080,-0.017
121.344872562,-0.090,-0.027
121.345672562,-0.080,-0.022
121.346472562,-0.085,-0.022
121.347272562,-0.080,-0.022
121.348072562,-0.080,-0.017
121.348872562,-0.090,-0.027
121.349672562,-0.085,-0.022
121.350472562,-0.090,-0.032
121.351272562,-0.080,-0.017
121.352072562,-0.085,-0.022
121.352872562,-0.080,-0.017
121.353672562,-0.080,-0.017
121.354472562,-0.085,-0.017
121.355272562,-0.080,-0.012
121.356072562,-0.080,-0.017
121.356872562,-0.080,-0.012
121.357672562,-0.085,-0.022
121.358472562,-0.085,-0.022
121.359272562,-0.085,-0.022
121.360072562,-0.085,-0.022
121.360872562,-0.069,-0.006
121.361672562,-0.064,-0.001
121.362472562,-0.090,-0.027
121.363272562,-0.080,-0.022
121.364072562,-0.085,-0.017
121.364872562,-0.080,-0.022
121.365672562,-0.080,-0.017
121.366472562,-0.085,-0.022
121.367272562,-0.085,-0.022
121.368072562,-0.080,-0.017
121.368872562,-0.090,-0.022
121.369672562,-0.080,-0.022
121.370472562,-0.090,-0.027
121.371272562,-0.085,-0.022
121.372072562,-0.085,-0.022
121.372872562,-0.090,-0.027
121.373672562,-0.080,-0.022
121.374472562,-0.075,-0.017
121.375272562,-0.085,-0.017
121.376072562,-0.080,-0.012
121.376872562,-0.085,-0.022
121.377672562,-0.085,-0.017
121.378472562,-0.080,-0.017
121.379272562,-0.080,-0.022
121.380072562,-0.085,-0.022
121.380872562,-0.085,-0.022
121.381672562,-0.090,-0.027
121.382472562,-0.085,-0.022
121.383272562,-0.075,-0.006
121.384072562,-0.080,-0.017
121.384872562,-0.090,-0.027
121.385672562,-0.080,-0.022
121.386472562,-0.075,-0.017
121.387272562,-0.090,-0.022
121.388072562,-0.080,-0.022
121.388872562,-0.064,0.004
121.389672562,-0.090,-0.022
121.390472562,-0.080,-0.017
121.391272562,-0.080,-0.017
121.392072562,-0.080,-0.017
121.392872562,-0.080,-0.022
121.393672562,-0.085,-0.022
121.394472562,-0.085,-0.022
121.395272562,-0.080,-0.017
121.396072562,-0.080,-0.017
121.396872562,-0.085,-0.022
121.397672562,-0.080,-0.017
121.398472562,-0.080,-0.017
121.399272562,-0.085,-0.022
121.400072562,-0.085,-0.022
121.400872562,-0.085,-0.022
121.401672562,-0.090,-0.027
121.402472562,-0.095,-0.027
121.403272562,-0.080,-0.017
121.404072562,-0.080,-0.017
121.404872562,-0.080,-0.017
121.405672562,-0.080,-0.017
121.406472562,-0.080,-0.017
121.407272562,-0.085,-0.027
121.408072562,-0.080,-0.017
121.408872562,-0.085,-0.022
121.409672562,-0.075,-0.017
121.410472562,-0.085,-0.022
121.411272562,-0.080,-0.022
121.412072562,-0.085,-0.017
121.412872562,-0.085,-0.027
121.413672562,-0.064,-0.006
121.414472562,-0.069,-0.012
121.415272562,-0.080,-0.017
121.416072562,-0.080,-0.022
121.416872562,-0.090,-0.027
121.417672562,-0.080,-0.017
121.418472562,-0.085,-0.022
121.419272562,-0.090,-0.022
121.420072562,-0.080,-0.017
121.420872562,-0.080,-0.022
121.421672562,-0.090,-0.022
121.422472562,-0.085,-0.027
121.423272562,-0.095,-0.032
121.424072562,-0.080,-0.017
121.424872562,-0.080,-0.017
121.425672562,-0.059,-0.006
121.426472562,-0.085,-0.027
121.427272562,-0.085,-0.022
121.428072562,-0.080,-0.017
121.428872562,-0.090,-0.027
121.429672562,-0.085,-0.022
121.430472562,-0.085,-0.022
121.431272562,-0.090,-0.027
121.432072562,-0.080,-0.017
121.432872562,-0.090,-0.027
121.433672562,-0.095,-0.032
121.434472562,-0.090,-0.022
121.435272562,-0.080,-0.017
121.436072562,-0.085,-0.022
121.436872562,-0.085,-0.022
121.437672562,-0.064,-0.001
121.438472562,-0.090,-0.027
121.439272562,-0.080,-0.017
121.440072562,-0.080,-0.022
121.440872562,-0.080,-0.017
121.441672562,-0.085,-0.022
121.442472562,-0.080,-0.017
121.443272562,-0.080,-0.017
121.444072562,-0.080,-0.017
121.444872562,-0.075,-0.012
121.445672562,-0.090,-0.027
121.446472562,-0.090,-0.022
121.447272562,-0.085,-0.022
121.448072562,-0.064,-0.006
121.448872562,-0.090,-0.022
121.449672562,-0.080,-0.022
121.450472562,-0.080,-0.017
121.451272562,-0.090,-0.022
121.452072562,-0.080,-0.017
121.452872562,-0.080,-0.017
121.453672562,-0.085,-0.017
121.454472562,-0.085,-0.017
121.455272562,-0.075,-0.001
121.456072562,-0.080,-0.022
121.456872562,-0.080,-0.022
121.457672562,-0.080,-0.022
121.458472562,-0.085,-0.017
121.459272562,-0.080,-0.017
121.460072562,-0.080,-0.017
121.460872562,-0.085,-0.017
121.461672562,-0.080,-0.017
121.462472562,-0.075,-0.012
121.463272562,-0.090,-0.022
121.464072562,-0.080,-0.017
121.464872562,-0.085,-0.017
121.465672562,-0.090,-0.022
121.466472562,-0.085,-0.022
121.467272562,-0.080,-0.017
121.468072562,-0.069,-0.001
121.468872562,-0.080,-0.017
121.469672562,-0.085,-0.027
121.470472562,-0.085,-0.027
121.471272562,-0.080,-0.017
121.472072562,-0.080,-0.017
121.472872562,-0.064,0.004
121.473672562,-0.080,-0.017
121.474472562,-0.080,-0.022
121.475272562,-0.080,-0.017
121.476072562,-0.085,-0.022
121.476872562,-0.080,-0.022
121.477672562,-0.090,-0.027
121.478472562,-0.080,-0.017
121.479272562,-0.080,-0.017
121.480072562,-0.080,-0.017
121.480872562,-0.085,-0.017
121.481672562,-0.080,-0.017
121.482472562,-0.085,-0.027
121.483272562,-0.080,-0.017
121.484072562,-0.080,-0.017
121.484872562,-0.080,-0.017
121.485672562,-0.090,-0.032
121.486472562,-0.085,-0.022
121.487272562,-0.085,-0.027
121.488072562,-0.080,-0.022
121.488872562,-0.085,-0.022
121.489672562,-0.080,-0.017
121.490472562,-0.085,-0.022
121.491272562,-0.085,-0.027
121.492072562,-0.069,-0.017
121.492872562,-0.085,-0.022
121.493672562,-0.085,-0.022
121.494472562,-0.085,-0.022
121.495272562,-0.085,-0.022
121.496072562,-0.080,-0.017
121.496872562,-0.085,-0.027
121.497672562,-0.080,-0.017
121.498472562,-0.080,-0.017
121.499272562,-0.080,-0.017
121.500072562,-0.080,-0.017
121.500872562,-0.090,-0.022
121.501672562,-0.080,-0.017
121.502472562,-0.090,-0.032
121.503272562,-0.064,0.004
121.504072562,-0.080,-0.017
121.504872562,-0.080,-0.022
121.505672562,-0.085,-0.022
121.506472562,-0.080,-0.017
121.507272562,-0.095,-0.027
121.508072562,-0.080,-0.017
121.508872562,-0.080,-0.022
121.509672562,-0.085,-0.017
121.510472562,-0.080,-0.022
121.511272562,-0.080,-0.022
121.512072562,-0.080,-0.017
121.512872562,-0.085,-0.022
121.513672562,-0.085,-0.022
121.514472562,-0.085,-0.022
121.515272562,-0.080,-0.022
121.516072562,-0.085,-0.022
121.516872562,-0.085,-0.022
121.517672562,-0.095,-0.027
121.518472562,-0.090,-0.022
121.519272562,-0.085,-0.017
121.520072562,-0.085,-0.022
121.520872562,-0.085,-0.027
121.521672562,-0.069,-0.012
121.522472562,-0.085,-0.022
121.523272562,-0.085,-0.022
121.524072562,-0.080,-0.022
121.524872562,-0.085,-0.022
121.525672562,-0.080,-0.022
121.526472562,-0.085,-0.022
121.527272562,-0.085,-0.027
121.528072562,-0.080,-0.017
121.528872562,-0.085,-0.022
121.529672562,-0.085,-0.017
121.530472562,-0.085,-0.022
121.531272562,-0.085,-0.027
121.532072562,-0.080,-0.017
121.532872562,-0.090,-0.027
121.533672562,-0.085,-0.022
121.534472562,-0.085,-0.027
121.535272562,-0.064,-0.012
121.536072562,-0.080,-0.022
121.536872562,-0.085,-0.022
121.537672562,-0.080,-0.017
121.538472562,-0.069,-0.006
121.539272562,-0.090,-0.027
121.540072562,-0.080,-0.017
121.540872562,-0.069,-0.017
121.541672562,-0.085,-0.017
121.542472562,-0.085,-0.027
121.543272562,-0.085,-0.017
121.544072562,-0.085,-0.022
121.544872562,-0.090,-0.027
121.545672562,-0.080,-0.017
121.546472562,-0.080,-0.022
121.547272562,-0.075,-0.022
121.548072562,-0.085,-0.017
121.548872562,-0.085,-0.022
121.549672562,-0.080,-0.022
121.550472562,-0.075,-0.006
121.551272562,-0.085,-0.027
