# 20230822
# M2
# pH 4 solution
# Colorado reference electrode with different pH sensor
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
15.260072562,-0.080,-0.057
15.260872562,-0.085,-0.068
15.261672562,-0.085,-0.063
15.262472562,-0.085,-0.068
15.263272562,-0.080,-0.063
15.264072562,-0.054,-0.047
15.264872562,-0.080,-0.068
15.265672562,-0.085,-0.063
15.266472562,-0.080,-0.063
15.267272562,-0.075,-0.057
15.268072562,-0.069,-0.063
15.268872562,-0.085,-0.063
15.269672562,-0.080,-0.063
15.270472562,-0.085,-0.068
15.271272562,-0.075,-0.057
15.272072562,-0.080,-0.057
15.272872562,-0.085,-0.068
15.273672562,-0.080,-0.057
15.274472562,-0.054,-0.037
15.275272562,-0.080,-0.063
15.276072562,-0.080,-0.063
15.276872562,-0.085,-0.063
15.277672562,-0.075,-0.057
15.278472562,-0.080,-0.063
15.279272562,-0.080,-0.057
15.280072562,-0.075,-0.057
15.280872562,-0.080,-0.057
15.281672562,-0.080,-0.057
15.282472562,-0.085,-0.063
15.283272562,-0.080,-0.057
15.284072562,-0.080,-0.057
15.284872562,-0.085,-0.068
15.285672562,-0.080,-0.057
15.286472562,-0.090,-0.073
15.287272562,-0.080,-0.063
15.288072562,-0.085,-0.063
15.288872562,-0.080,-0.057
15.289672562,-0.080,-0.063
15.290472562,-0.080,-0.057
15.291272562,-0.075,-0.057
15.292072562,-0.085,-0.068
15.292872562,-0.080,-0.063
15.293672562,-0.085,-0.063
15.294472562,-0.080,-0.063
15.295272562,-0.080,-0.063
15.296072562,-0.075,-0.057
15.296872562,-0.090,-0.068
15.297672562,-0.064,-0.042
15.298472562,-0.085,-0.068
15.299272562,-0.075,-0.052
15.300072562,-0.080,-0.063
15.300872562,-0.080,-0.063
15.301672562,-0.085,-0.063
15.302472562,-0.080,-0.063
15.303272562,-0.080,-0.063
15.304072562,-0.080,-0.063
15.304872562,-0.080,-0.063
15.305672562,-0.080,-0.063
15.306472562,-0.075,-0.052
15.307272562,-0.080,-0.063
15.308072562,-0.080,-0.063
15.308872562,-0.080,-0.063
15.309672562,-0.075,-0.063
15.310472562,-0.085,-0.057
15.311272562,-0.080,-0.063
15.312072562,-0.080,-0.063
15.312872562,-0.080,-0.057
15.313672562,-0.085,-0.068
15.314472562,-0.064,-0.052
15.315272562,-0.085,-0.063
15.316072562,-0.085,-0.063
15.316872562,-0.080,-0.063
15.317672562,-0.080,-0.063
15.318472562,-0.085,-0.063
15.319272562,-0.080,-0.057
15.320072562,-0.080,-0.057
15.320872562,-0.080,-0.057
15.321672562,-0.080,-0.063
15.322472562,-0.080,-0.063
15.323272562,-0.085,-0.068
15.324072562,-0.080,-0.057
15.324872562,-0.080,-0.057
15.325672562,-0.080,-0.063
15.326472562,-0.085,-0.063
15.327272562,-0.075,-0.057
15.328072562,-0.080,-0.063
15.328872562,-0.080,-0.057
15.329672562,-0.080,-0.063
15.330472562,-0.080,-0.057
15.331272562,-0.080,-0.063
15.332072562,-0.085,-0.057
15.332872562,-0.075,-0.057
15.333672562,-0.075,-0.063
15.334472562,-0.085,-0.068
15.335272562,-0.080,-0.068
15.336072562,-0.085,-0.063
15.336872562,-0.080,-0.063
15.337672562,-0.085,-0.068
15.338472562,-0.085,-0.073
15.339272562,-0.075,-0.052
15.340072562,-0.080,-0.063
15.340872562,-0.080,-0.057
15.341672562,-0.080,-0.063
15.342472562,-0.080,-0.057
15.343272562,-0.080,-0.057
15.344072562,-0.085,-0.063
15.344872562,-0.085,-0.068
15.345672562,-0.080,-0.057
15.346472562,-0.085,-0.063
15.347272562,-0.064,-0.042
15.348072562,-0.085,-0.068
15.348872562,-0.085,-0.063
15.349672562,-0.080,-0.063
15.350472562,-0.080,-0.063
15.351272562,-0.080,-0.063
15.352072562,-0.080,-0.063
15.352872562,-0.080,-0.057
15.353672562,-0.085,-0.063
15.354472562,-0.080,-0.063
15.355272562,-0.080,-0.052
15.356072562,-0.080,-0.063
15.356872562,-0.080,-0.063
15.357672562,-0.054,-0.042
15.358472562,-0.080,-0.063
15.359272562,-0.080,-0.063
15.360072562,-0.080,-0.057
15.360872562,-0.075,-0.063
15.361672562,-0.080,-0.063
15.362472562,-0.080,-0.057
15.363272562,-0.080,-0.063
15.364072562,-0.080,-0.063
15.364872562,-0.080,-0.063
15.365672562,-0.075,-0.063
15.366472562,-0.080,-0.057
15.367272562,-0.080,-0.063
15.368072562,-0.085,-0.063
15.368872562,-0.080,-0.063
15.369672562,-0.075,-0.047
15.370472562,-0.085,-0.063
