# 20230822
# M2
# pH 4 solution
# Berkeley reference electrode
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
255.628872562,-0.085,-0.052
255.629672562,-0.085,-0.057
255.630472562,-0.080,-0.057
255.631272562,-0.085,-0.057
255.632072562,-0.085,-0.057
255.632872562,-0.080,-0.052
255.633672562,-0.080,-0.052
255.634472562,-0.085,-0.057
255.635272562,-0.085,-0.052
255.636072562,-0.085,-0.057
255.636872562,-0.100,-0.057
255.637672562,-0.090,-0.057
255.638472562,-0.085,-0.057
255.639272562,-0.085,-0.052
255.640072562,-0.085,-0.057
255.640872562,-0.085,-0.057
255.641672562,-0.064,-0.042
255.642472562,-0.085,-0.057
255.643272562,-0.075,-0.052
255.644072562,-0.085,-0.057
255.644872562,-0.085,-0.057
255.645672562,-0.064,-0.032
255.646472562,-0.085,-0.057
255.647272562,-0.090,-0.057
255.648072562,-0.090,-0.057
255.648872562,-0.090,-0.057
255.649672562,-0.095,-0.057
255.650472562,-0.080,-0.052
255.651272562,-0.090,-0.057
255.652072562,-0.080,-0.057
255.652872562,-0.059,-0.032
255.653672562,-0.080,-0.052
255.654472562,-0.085,-0.057
255.655272562,-0.080,-0.052
255.656072562,-0.069,-0.032
255.656872562,-0.090,-0.057
255.657672562,-0.085,-0.057
255.658472562,-0.080,-0.057
255.659272562,-0.085,-0.047
255.660072562,-0.085,-0.057
255.660872562,-0.080,-0.052
255.661672562,-0.080,-0.052
255.662472562,-0.080,-0.052
255.663272562,-0.085,-0.057
255.664072562,-0.085,-0.057
255.664872562,-0.059,-0.032
255.665672562,-0.080,-0.052
255.666472562,-0.080,-0.057
255.667272562,-0.080,-0.057
255.668072562,-0.090,-0.057
255.668872562,-0.069,-0.032
255.669672562,-0.085,-0.057
255.670472562,-0.085,-0.057
255.671272562,-0.090,-0.057
255.672072562,-0.080,-0.052
255.672872562,-0.090,-0.057
255.673672562,-0.095,-0.057
255.674472562,-0.090,-0.057
255.675272562,-0.075,-0.037
255.676072562,-0.085,-0.057
255.676872562,-0.080,-0.057
255.677672562,-0.090,-0.057
255.678472562,-0.090,-0.057
255.679272562,-0.080,-0.052
255.680072562,-0.069,-0.052
255.680872562,-0.080,-0.057
255.681672562,-0.090,-0.057
255.682472562,-0.080,-0.057
255.683272562,-0.085,-0.057
255.684072562,-0.085,-0.052
255.684872562,-0.085,-0.057
255.685672562,-0.080,-0.052
255.686472562,-0.090,-0.057
255.687272562,-0.085,-0.057
255.688072562,-0.080,-0.052
255.688872562,-0.095,-0.052
255.689672562,-0.090,-0.057
255.690472562,-0.085,-0.057
255.691272562,-0.080,-0.052
255.692072562,-0.085,-0.057
255.692872562,-0.080,-0.057
255.693672562,-0.095,-0.057
255.694472562,-0.090,-0.057
255.695272562,-0.085,-0.057
255.696072562,-0.080,-0.052
255.696872562,-0.085,-0.052
255.697672562,-0.064,-0.037
255.698472562,-0.090,-0.057
255.699272562,-0.090,-0.057
255.700072562,-0.090,-0.047
255.700872562,-0.080,-0.057
255.701672562,-0.069,-0.032
255.702472562,-0.085,-0.057
255.703272562,-0.090,-0.057
255.704072562,-0.085,-0.057
255.704872562,-0.080,-0.052
255.705672562,-0.080,-0.057
255.706472562,-0.080,-0.052
255.707272562,-0.090,-0.052
255.708072562,-0.080,-0.047
255.708872562,-0.090,-0.057
255.709672562,-0.085,-0.057
255.710472562,-0.064,-0.037
255.711272562,-0.085,-0.057
255.712072562,-0.085,-0.057
255.712872562,-0.085,-0.057
255.713672562,-0.069,-0.032
255.714472562,-0.069,-0.037
255.715272562,-0.085,-0.057
255.716072562,-0.075,-0.047
255.716872562,-0.085,-0.057
255.717672562,-0.080,-0.052
255.718472562,-0.080,-0.052
255.719272562,-0.085,-0.057
255.720072562,-0.095,-0.057
255.720872562,-0.090,-0.057
255.721672562,-0.085,-0.057
255.722472562,-0.085,-0.057
255.723272562,-0.085,-0.052
255.724072562,-0.090,-0.047
255.724872562,-0.080,-0.047
255.725672562,-0.080,-0.057
255.726472562,-0.080,-0.047
255.727272562,-0.085,-0.057
255.728072562,-0.085,-0.057
255.728872562,-0.090,-0.057
255.729672562,-0.090,-0.042
255.730472562,-0.095,-0.063
255.731272562,-0.085,-0.057
255.732072562,-0.080,-0.052
255.732872562,-0.085,-0.057
255.733672562,-0.090,-0.057
255.734472562,-0.085,-0.057
255.735272562,-0.080,-0.052
255.736072562,-0.080,-0.057
255.736872562,-0.080,-0.047
255.737672562,-0.085,-0.057
255.738472562,-0.080,-0.047
255.739272562,-0.080,-0.052
255.740072562,-0.085,-0.057
255.740872562,-0.090,-0.057
255.741672562,-0.090,-0.047
255.742472562,-0.085,-0.057
255.743272562,-0.069,-0.047
255.744072562,-0.080,-0.052
255.744872562,-0.080,-0.052
255.745672562,-0.095,-0.057
255.746472562,-0.080,-0.052
255.747272562,-0.085,-0.057
255.748072562,-0.085,-0.057
255.748872562,-0.085,-0.057
255.749672562,-0.085,-0.057
255.750472562,-0.085,-0.052
255.751272562,-0.090,-0.057
255.752072562,-0.085,-0.057
255.752872562,-0.080,-0.057
255.753672562,-0.090,-0.057
255.754472562,-0.085,-0.057
255.755272562,-0.080,-0.052
255.756072562,-0.085,-0.052
255.756872562,-0.085,-0.057
255.757672562,-0.085,-0.052
255.758472562,-0.090,-0.057
255.759272562,-0.090,-0.057
255.760072562,-0.090,-0.057
255.760872562,-0.085,-0.057
255.761672562,-0.085,-0.057
255.762472562,-0.090,-0.052
255.763272562,-0.080,-0.057
255.764072562,-0.085,-0.057
255.764872562,-0.080,-0.052
255.765672562,-0.064,-0.037
255.766472562,-0.090,-0.057
255.767272562,-0.080,-0.057
255.768072562,-0.080,-0.052
255.768872562,-0.069,-0.032
255.769672562,-0.080,-0.052
255.770472562,-0.085,-0.057
255.771272562,-0.085,-0.057
255.772072562,-0.085,-0.057
255.772872562,-0.090,-0.057
255.773672562,-0.069,-0.037
255.774472562,-0.080,-0.052
255.775272562,-0.080,-0.052
255.776072562,-0.085,-0.057
255.776872562,-0.080,-0.057
255.777672562,-0.080,-0.052
255.778472562,-0.064,-0.032
255.779272562,-0.090,-0.057
255.780072562,-0.085,-0.057
255.780872562,-0.080,-0.047
255.781672562,-0.075,-0.037
255.782472562,-0.080,-0.052
255.783272562,-0.095,-0.057
255.784072562,-0.080,-0.057
255.784872562,-0.085,-0.047
255.785672562,-0.090,-0.057
255.786472562,-0.090,-0.057
255.787272562,-0.075,-0.037
255.788072562,-0.080,-0.057
255.788872562,-0.069,-0.047
255.789672562,-0.080,-0.057
255.790472562,-0.085,-0.052
255.791272562,-0.085,-0.057
255.792072562,-0.080,-0.052
255.792872562,-0.085,-0.057
255.793672562,-0.090,-0.057
255.794472562,-0.085,-0.057
255.795272562,-0.080,-0.057
255.796072562,-0.064,-0.037
255.796872562,-0.085,-0.057
255.797672562,-0.080,-0.052
255.798472562,-0.080,-0.052
255.799272562,-0.069,-0.042
255.800072562,-0.090,-0.057
255.800872562,-0.080,-0.057
255.801672562,-0.080,-0.057
255.802472562,-0.075,-0.037
255.803272562,-0.085,-0.057
255.804072562,-0.090,-0.057
255.804872562,-0.080,-0.052
255.805672562,-0.080,-0.052
255.806472562,-0.064,-0.032
255.807272562,-0.085,-0.057
255.808072562,-0.080,-0.057
255.808872562,-0.085,-0.057
255.809672562,-0.090,-0.057
255.810472562,-0.085,-0.057
255.811272562,-0.080,-0.052
255.812072562,-0.085,-0.057
255.812872562,-0.080,-0.052
255.813672562,-0.085,-0.057
255.814472562,-0.085,-0.057
255.815272562,-0.085,-0.052
255.816072562,-0.069,-0.047
255.816872562,-0.085,-0.057
255.817672562,-0.080,-0.057
255.818472562,-0.085,-0.057
255.819272562,-0.085,-0.057
255.820072562,-0.064,-0.032
255.820872562,-0.090,-0.057
255.821672562,-0.085,-0.057
255.822472562,-0.080,-0.057
255.823272562,-0.085,-0.052
255.824072562,-0.080,-0.057
255.824872562,-0.069,-0.037
255.825672562,-0.080,-0.052
255.826472562,-0.085,-0.057
255.827272562,-0.085,-0.052
255.828072562,-0.085,-0.052
255.828872562,-0.080,-0.052
255.829672562,-0.085,-0.057
255.830472562,-0.080,-0.057
255.831272562,-0.085,-0.052
255.832072562,-0.085,-0.057
255.832872562,-0.080,-0.057
255.833672562,-0.085,-0.057
255.834472562,-0.080,-0.057
255.835272562,-0.095,-0.057
255.836072562,-0.085,-0.052
255.836872562,-0.080,-0.057
255.837672562,-0.080,-0.057
255.838472562,-0.080,-0.057
255.839272562,-0.090,-0.057
255.840072562,-0.090,-0.057
255.840872562,-0.080,-0.057
255.841672562,-0.080,-0.052
255.842472562,-0.085,-0.057
255.843272562,-0.085,-0.047
255.844072562,-0.090,-0.057
255.844872562,-0.095,-0.057
255.845672562,-0.095,-0.057
255.846472562,-0.085,-0.057
255.847272562,-0.080,-0.052
255.848072562,-0.085,-0.057
255.848872562,-0.085,-0.057
255.849672562,-0.080,-0.052
255.850472562,-0.090,-0.057
255.851272562,-0.080,-0.057
255.852072562,-0.080,-0.052
255.852872562,-0.080,-0.057
255.853672562,-0.080,-0.057
255.854472562,-0.085,-0.057
255.855272562,-0.085,-0.057
255.856072562,-0.085,-0.057
255.856872562,-0.080,-0.052
255.857672562,-0.069,-0.037
255.858472562,-0.090,-0.057
255.859272562,-0.080,-0.057
255.860072562,-0.080,-0.052
255.860872562,-0.064,-0.037
255.861672562,-0.085,-0.057
255.862472562,-0.090,-0.057
255.863272562,-0.085,-0.057
255.864072562,-0.080,-0.052
255.864872562,-0.090,-0.057
255.865672562,-0.080,-0.057
255.866472562,-0.080,-0.052
255.867272562,-0.095,-0.057
255.868072562,-0.085,-0.057
255.868872562,-0.090,-0.057
255.869672562,-0.080,-0.052
255.870472562,-0.080,-0.052
255.871272562,-0.085,-0.057
255.872072562,-0.095,-0.057
255.872872562,-0.080,-0.052
255.873672562,-0.085,-0.057
255.874472562,-0.085,-0.057
255.875272562,-0.085,-0.047
255.876072562,-0.085,-0.057
255.876872562,-0.085,-0.057
255.877672562,-0.085,-0.057
255.878472562,-0.080,-0.052
255.879272562,-0.095,-0.057
255.880072562,-0.069,-0.037
255.880872562,-0.085,-0.057
255.881672562,-0.085,-0.052
255.882472562,-0.080,-0.047
255.883272562,-0.080,-0.057
255.884072562,-0.080,-0.057
255.884872562,-0.085,-0.057
255.885672562,-0.085,-0.052
255.886472562,-0.085,-0.057
255.887272562,-0.085,-0.063
255.888072562,-0.095,-0.057
255.888872562,-0.085,-0.057
255.889672562,-0.085,-0.057
255.890472562,-0.080,-0.052
255.891272562,-0.064,-0.037
255.892072562,-0.085,-0.057
255.892872562,-0.085,-0.057
255.893672562,-0.080,-0.057
255.894472562,-0.080,-0.052
255.895272562,-0.075,-0.052
255.896072562,-0.090,-0.057
255.896872562,-0.085,-0.057
255.897672562,-0.085,-0.057
255.898472562,-0.090,-0.057
255.899272562,-0.090,-0.057
255.900072562,-0.080,-0.057
255.900872562,-0.085,-0.057
255.901672562,-0.090,-0.057
255.902472562,-0.085,-0.057
255.903272562,-0.080,-0.037
255.904072562,-0.090,-0.057
255.904872562,-0.080,-0.052
255.905672562,-0.080,-0.052
255.906472562,-0.080,-0.057
255.907272562,-0.080,-0.057
255.908072562,-0.085,-0.057
255.908872562,-0.085,-0.042
255.909672562,-0.080,-0.052
255.910472562,-0.064,-0.042
255.911272562,-0.095,-0.057
255.912072562,-0.080,-0.057
255.912872562,-0.080,-0.047
255.913672562,-0.090,-0.057
255.914472562,-0.085,-0.057
255.915272562,-0.080,-0.052
255.916072562,-0.080,-0.057
255.916872562,-0.085,-0.057
255.917672562,-0.085,-0.052
255.918472562,-0.080,-0.052
255.919272562,-0.095,-0.057
255.920072562,-0.080,-0.057
255.920872562,-0.064,-0.032
255.921672562,-0.080,-0.052
255.922472562,-0.080,-0.057
255.923272562,-0.090,-0.052
255.924072562,-0.069,-0.032
255.924872562,-0.085,-0.057
255.925672562,-0.080,-0.052
255.926472562,-0.085,-0.057
255.927272562,-0.080,-0.052
255.928072562,-0.064,-0.027
255.928872562,-0.085,-0.057
255.929672562,-0.090,-0.057
255.930472562,-0.069,-0.047
255.931272562,-0.095,-0.057
255.932072562,-0.080,-0.052
255.932872562,-0.069,-0.042
255.933672562,-0.090,-0.057
255.934472562,-0.085,-0.057
255.935272562,-0.075,-0.052
255.936072562,-0.080,-0.057
255.936872562,-0.090,-0.057
255.937672562,-0.075,-0.052
255.938472562,-0.085,-0.052
255.939272562,-0.090,-0.057
255.940072562,-0.090,-0.057
