# 20230822
# M2
# pH 5 solution
# Colorado reference electrode
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
16.378472562,-0.069,-0.042
16.379272562,-0.080,-0.057
16.380072562,-0.080,-0.057
16.380872562,-0.080,-0.057
16.381672562,-0.080,-0.057
16.382472562,-0.080,-0.057
16.383272562,-0.080,-0.057
16.384072562,-0.080,-0.057
16.384872562,-0.080,-0.057
16.385672562,-0.080,-0.057
16.386472562,-0.064,-0.037
16.387272562,-0.080,-0.057
16.388072562,-0.080,-0.063
16.388872562,-0.080,-0.057
16.389672562,-0.080,-0.057
16.390472562,-0.080,-0.057
16.391272562,-0.080,-0.057
16.392072562,-0.054,-0.037
16.392872562,-0.080,-0.057
16.393672562,-0.080,-0.057
16.394472562,-0.080,-0.057
16.395272562,-0.080,-0.063
16.396072562,-0.080,-0.057
16.396872562,-0.064,-0.047
16.397672562,-0.080,-0.052
16.398472562,-0.075,-0.063
16.399272562,-0.080,-0.057
16.400072562,-0.080,-0.057
16.400872562,-0.080,-0.057
16.401672562,-0.085,-0.057
16.402472562,-0.080,-0.057
16.403272562,-0.080,-0.057
16.404072562,-0.080,-0.057
16.404872562,-0.080,-0.057
16.405672562,-0.080,-0.057
16.406472562,-0.080,-0.057
16.407272562,-0.080,-0.057
16.408072562,-0.080,-0.052
16.408872562,-0.080,-0.057
16.409672562,-0.080,-0.057
16.410472562,-0.080,-0.057
16.411272562,-0.080,-0.057
16.412072562,-0.080,-0.057
16.412872562,-0.080,-0.057
16.413672562,-0.080,-0.057
16.414472562,-0.080,-0.057
16.415272562,-0.085,-0.063
16.416072562,-0.085,-0.063
16.416872562,-0.080,-0.063
16.417672562,-0.080,-0.057
16.418472562,-0.080,-0.057
16.419272562,-0.080,-0.057
16.420072562,-0.080,-0.057
16.420872562,-0.069,-0.042
16.421672562,-0.080,-0.057
16.422472562,-0.085,-0.063
16.423272562,-0.080,-0.057
16.424072562,-0.080,-0.057
16.424872562,-0.080,-0.057
