# 20230822
# M2
# pH 5 solution
# Colorado reference electrode with different pH sensor
# 1.25 kSps sampling rate with Saleae Logic Pro 8

Time [s],PWM ramp [V],Output [V]
5.097672562,-0.085,-0.063
5.098472562,-0.080,-0.057
5.099272562,-0.080,-0.057
5.100072562,-0.080,-0.057
5.100872562,-0.080,-0.057
5.101672562,-0.080,-0.057
5.102472562,-0.075,-0.052
5.103272562,-0.080,-0.057
5.104072562,-0.080,-0.057
5.104872562,-0.080,-0.057
5.105672562,-0.080,-0.057
5.106472562,-0.080,-0.057
5.107272562,-0.080,-0.057
5.108072562,-0.080,-0.057
5.108872562,-0.064,-0.042
5.109672562,-0.080,-0.057
5.110472562,-0.080,-0.057
5.111272562,-0.080,-0.057
5.112072562,-0.080,-0.057
5.112872562,-0.080,-0.057
5.113672562,-0.080,-0.057
5.114472562,-0.085,-0.063
5.115272562,-0.080,-0.057
5.116072562,-0.080,-0.057
5.116872562,-0.080,-0.057
5.117672562,-0.075,-0.052
5.118472562,-0.085,-0.063
5.119272562,-0.085,-0.057
5.120072562,-0.080,-0.052
5.120872562,-0.080,-0.057
5.121672562,-0.080,-0.057
5.122472562,-0.080,-0.057
5.123272562,-0.080,-0.057
5.124072562,-0.069,-0.052
5.124872562,-0.085,-0.063
5.125672562,-0.080,-0.057
5.126472562,-0.059,-0.047
5.127272562,-0.080,-0.063
5.128072562,-0.080,-0.057
5.128872562,-0.080,-0.063
5.129672562,-0.080,-0.063
5.130472562,-0.080,-0.057
5.131272562,-0.059,-0.047
5.132072562,-0.080,-0.057
5.132872562,-0.075,-0.057
5.133672562,-0.080,-0.057
5.134472562,-0.080,-0.057
5.135272562,-0.080,-0.057
5.136072562,-0.054,-0.037
5.136872562,-0.080,-0.057
5.137672562,-0.059,-0.037
5.138472562,-0.080,-0.057
5.139272562,-0.080,-0.052
5.140072562,-0.064,-0.037
5.140872562,-0.080,-0.057
5.141672562,-0.080,-0.057
5.142472562,-0.080,-0.057
5.143272562,-0.080,-0.052
5.144072562,-0.080,-0.057
5.144872562,-0.080,-0.057
5.145672562,-0.080,-0.057
5.146472562,-0.080,-0.057
5.147272562,-0.080,-0.057
5.148072562,-0.080,-0.057
5.148872562,-0.075,-0.052
5.149672562,-0.080,-0.063
5.150472562,-0.080,-0.057
5.151272562,-0.080,-0.057
5.152072562,-0.085,-0.063
5.152872562,-0.075,-0.052
5.153672562,-0.085,-0.057
5.154472562,-0.080,-0.057
5.155272562,-0.080,-0.057
5.156072562,-0.080,-0.063
5.156872562,-0.080,-0.057
5.157672562,-0.080,-0.057
5.158472562,-0.075,-0.052
5.159272562,-0.080,-0.057
5.160072562,-0.080,-0.063
5.160872562,-0.085,-0.063
5.161672562,-0.080,-0.057
5.162472562,-0.075,-0.057
5.163272562,-0.080,-0.057
5.164072562,-0.080,-0.063
5.164872562,-0.080,-0.057
5.165672562,-0.080,-0.057
5.166472562,-0.069,-0.042
5.167272562,-0.069,-0.057
5.168072562,-0.080,-0.057
5.168872562,-0.080,-0.063
5.169672562,-0.080,-0.057
5.170472562,-0.085,-0.063
5.171272562,-0.080,-0.057
5.172072562,-0.080,-0.057
5.172872562,-0.080,-0.057
5.173672562,-0.080,-0.057
