# 20230804
# M2
# Nitrate ion-selective electrode and commercial reference electrode
# Sampling rate around 50 Hz

ADC output [LSB]
227
234
231
230
233
231
236
239
231
239
226
232
231
240
230
231
231
244
231
239
232
223
239
239
234
228
239
234
231
234
231
232
234
236
227
239
231
239
234
240
224
238
231
231
238
228
238
240
239
239
240
231
239
239
234
239
226
234
227
238
239
233
230
237
232
231
239
228
239
232
231
224
230
230
239
240
236
227
239
231
240
232
239
239
242
238
238
238
226
238
231
223
240
244
237
224
227
244
230
230
238
231
231
234
231
233
238
229
230
219
239
239
232
239
240
234
233
226
236
231
239
239
239
231
238
242
231
232
234
232
231
231
239
240
232
235
239
238
238
236
232
231
238
231
238
240
231
238
228
228
239
231
240
227
234
235
226
239
238
238
236
239
240
231
232
239
235
229
231
240
239
234
247
238
224
231
236
239
240
229
238
238
227
231
240
237
229
239
239
240
238
234
238
239
231
234
231
230
232
231
238
232
234
239
246
238
231
239
239
239
231
239
231
231
239
230
238
232
232
234
235
235
241
230
231
234
232
231
238
239
225
224
231
234
239
240
238
228
231
236
239
239
231
250
235
238
230
234
232
239
234
231
238
234
233
239
239
231
239
238
227
234
224
232
236
239
231
240
232
232
225
239
232
238
231
238
231
238
238
232
231
231
238
236
234
240
231
236
252
231
238
231
239
231
230
239
239
231
232
231
236
233
236
239
238
244
240
227
234
231
242
231
239
232
234
225
238
234
227
238
238
232
239
242
227
234
232
231
230
235
239
239
234
226
233
228
235
232
239
236
239
255
239
231
238
236
239
231
238
238
231
231
236
232
237
240
232
234
238
238
235
239
227
232
231
234
231
231
238
235
231
231
239
237
230
239
239
239
240
243
239
233
238
233
239
238
236
236
230
234
231
240
231
234
231
231
236
230
231
236
230
230
236
232
231
231
244
234
231
231
240
223
238
238
239
237
240
234
232
231
239
227
238
240
236
232
234
234
234
236
231
239
240
231
230
231
232
234
224
238
234
231
239
238
237
239
238
235
232
235
236
231
231
236
237
232
236
234
236
232
234
231
239
232
238
232
226
238
226
232
231
239
231
240
239
232
232
239
231
230
236
239
231
231
231
231
236
237
234
231
239
230
231
238
232
224
224
232
232
227
223
238
226
231
239
234
227
231
239
239
231
223
239
240
231
238
234
234
231
239
239
239
231
234
231
238
240
231
234
231
235
232
238
239
231
236
238
234
240
231
238
239
244
239
239
231
231
227
238
231
232
230
230
231
231
235
239
229
236
238
239
226
239
238
231
238
231
242
235
239
235
239
240
231
239
230
228
240
229
239
240
238
239
239
242
236
230
239
231
232
231
233
240
229
239
232
228
229
232
235
240
232
232
234
231
231
233
234
238
230
224
234
231
235
232
227
237
239
232
235
238
234
224
236
231
239
235
240
232
232
236
230
231
227
234
231
232
232
231
228
238
234
236
230
236
235
240
235
239
235
239
240
236
236
236
231
240
234
232
235
238
235
238
240
231
236
232
228
232
235
235
231
239
228
231
239
239
237
231
231
236
227
231
239
231
231
229
231
238
238
231
240
239
231
230
232
238
232
231
238
239
238
237
230
227
231
231
238
239
239
233
231
228
234
234
233
236
238
238
239
239
238
238
247
239
231
239
230
236
231
239
239
236
239
237
231
232
238
232
236
239
231
235
229
231
234
236
231
239
240
233
238
238
234
240
231
231
231
234
231
239
238
231
239
231
231
231
246
239
231
242
231
233
233
239
240
236
234
240
238
227
234
232
233
231
230
224
239
231
239
244
237
235
238
238
236
231
231
234
231
231
239
232
231
232
239
239
239
237
236
238
239
239
235
228
238
235
232
225
230
231
234
229
231
238
232
235
231
237
231
239
232
232
234
232
235
238
240
228
238
231
239
240
239
239
238
239
235
231
238
231
239
229
233
238
231
239
244
234
239
224
231
239
238
236
236
229
239
240
238
239
240
238
234
231
228
239
232
226
238
234
232
240
231
232
232
237
238
240
231
231
234
231
231
234
230
239
231
234
229
231
232
226
231
234
233
234
232
238
237
231
231
240
231
238
234
230
238
239
238
246
238
238
239
231
231
239
238
231
239
234
231
236
233
235
234
239
230
239
241
239
229
227
232
236
239
240
231
243
232
234
235
237
239
235
231
234
238
234
240
238
239
239
240
238
239
238
239
238
238
239
239
230
238
230
238
233
239
230
230
234
231
232
236
237
231
234
239
238
230
233
230
238
239
232
230
231
231
239
234
230
239
240
230
231
237
236
238
236
239
233
232
234
236
232
232
235
238
239
238
240
240
232
238
235
239
231
235
239
234
236
242
235
242
231
231
231
231
238
240
234
224
230
237
239
237
239
239
223
231
238
235
232
236
228
227
235
229
230
234
234
232
244
238
234
230
230
234
232
227
239
226
238
231
238
230
238
239
240
231
239
237
237
231
242
235
231
231
232
236
227
238
230
234
232
231
239
239
234
234
231
239
239
228
231
238
236
235
234
232
231
239
238
238
232
231
244
236
231
239
239
232
231
239
226
230
239
235
235
232
234
232
231
231
232
239
237
239
239
229
231
226
234
231
239
239
231
232
231
239
227
234
226
230
231
239
230
238
232
235
231
238
239
239
238
238
232
231
236
238
233
238
239
226
229
236
239
236
233
231
230
244
228
231
240
231
238
231
240
232
234
231
231
227
236
239
232
228
234
231
238
231
236
232
234
240
230
232
231
239
239
238
231
231
234
234
239
236
234
236
235
236
232
234
231
234
232
232
231
234
239
239
238
231
237
235
239
239
238
239
239
239
227
236
231
239
238
231
232
232
232
231
236
238
242
239
246
239
231
231
230
231
229
234
252
238
234
234
236
232
240
231
235
248
231
236
238
229
235
239
239
242
239
232
231
246
239
239
240
231
239
231
235
234
238
230
231
232
234
233
239
235
232
230
235
239
235
239
239
240
232
234
234
239
239
239
244
247
238
236
231
234
239
238
238
240
228
239
239
239
239
239
226
230
238
240
231
228
235
231
240
242
234
231
236
231
240
231
234
236
238
236
232
238
239
250
231
235
239
240
239
239
231
235
235
231
231
238
239
230
231
235
246
242
231
231
235
231
240
230
238
233
236
231
239
238
240
252
237
239
234
234
231
239
238
239
235
240
233
230
239
232
234
231
235
230
232
231
239
239
239
234
234
234
231
240
238
239
238
237
236
234
236
236
231
236
239
235
240
231
238
240
239
234
235
230
235
234
239
238
239
239
224
239
232
235
235
238
231
227
238
238
238
240
228
239
236
240
238
238
238
239
239
230
231
231
232
231
238
230
232
231
234
231
240
240
239
231
236
237
234
231
232
234
239
232
239
242
236
235
230
232
229
235
231
244
238
234
228
234
230
238
236
238
239
240
231
231
239
236
234
231
238
234
239
241
231
236
239
240
231
239
235
231
230
236
231
238
239
238
234
238
231
238
226
240
234
239
234
236
238
238
234
236
240
231
236
235
236
234
232
238
240
231
234
232
231
229
232
227
239
240
230
232
223
235
239
236
225
230
234
228
238
247
228
235
230
238
230
230
231
239
227
239
246
239
246
239
239
238
240
236
239
238
237
238
231
239
235
239
240
230
230
236
234
227
237
235
239
237
240
239
234
231
242
232
231
239
236
232
239
230
232
236
239
236
232
232
231
239
230
238
239
234
235
235
226
244
231
240
239
239
239
231
232
231
232
236
231
238
228
227
227
239
238
240
237
226
232
224
234
240
228
227
231
232
240
236
239
238
247
232
232
239
230
238
239
240
232
231
230
232
224
228
231
232
227
232
231
231
231
234
223
239
244
235
225
224
235
238
231
239
246
232
240
236
248
228
231
239
240
232
230
234
239
231
239
234
234
230
231
238
236
226
231
242
231
228
243
229
236
238
236
238
238
235
236
230
238
232
228
228
231
230
234
238
238
236
231
232
223
232
231
239
231
240
231
228
238
231
239
236
239
231
226
231
236
239
246
239
234
244
238
239
228
227
236
229
234
237
226
231
234
240
236
236
240
232
240
226
238
231
239
239
230
231
231
232
227
238
231
238
236
232
235
234
240
234
232
232
230
239
238
231
239
231
231
236
224
231
235
233
234
242
232
231
234
230
236
230
232
235
231
238
244
234
240
234
234
237
223
234
231
232
224
231
234
236
231
246
238
242
235
238
232
234
231
239
232
231
240
238
240
240
239
231
231
231
240
231
239
239
231
226
230
224
239
224
228
236
238
238
231
231
231
231
231
239
238
247
236
239
245
238
231
231
242
236
238
230
239
239
231
239
224
237
238
238
230
230
232
239
243
240
234
240
235
227
240
227
232
231
239
239
240
236
232
223
234
235
230
232
232
235
240
231
239
242
231
231
248
239
230
238
238
235
237
239
239
236
236
229
231
230
231
231
236
239
236
231
239
239
234
231
231
239
231
238
238
238
226
234
230
230
231
238
238
230
239
231
236
236
239
231
235
231
230
243
236
224
239
231
226
231
240
240
231
239
227
250
224
227
237
236
235
239
231
234
231
231
238
231
239
238
239
231
232
240
226
231
239
239
237
239
235
231
239
239
239
234
231
238
231
238
234
235
232
236
240
240
231
239
231
236
238
232
240
231
240
231
239
239
239
239
236
239
239
236
232
238
231
240
235
231
235
235
235
238
232
228
239
236
232
226
239
236
239
232
226
231
238
236
236
232
232
231
238
240
236
244
244
240
240
231
239
241
227
240
231
234
231
236
231
238
238
222
235
231
235
238
232
231
240
235
240
239
231
251
239
231
228
231
231
234
236
231
228
226
231
239
240
247
239
240
231
239
237
234
232
225
230
223
236
231
231
226
235
232
231
242
230
238
229
231
244
239
234
236
238
232
222
237
234
231
239
246
239
231
230
231
226
232
240
234
228
232
240
227
238
239
240
239
238
232
231
231
232
239
246
231
232
238
230
227
231
231
238
232
239
231
239
239
231
231
232
233
244
236
231
232
233
239
234
236
232
228
231
234
234
232
228
238
238
231
234
236
232
231
239
240
234
235
239
230
239
239
240
231
231
230
236
238
234
243
229
240
231
231
227
227
224
230
234
236
234
234
239
236
230
231
247
238
235
232
238
