# 20240210
# Chip 11
# Center frequency: 1.5 GHz
# Span: 3 GHz
# Resolution bandwidth: 100 kHz
# Video bandwidth: 100 kHz
# Reference level: 0 dBm

Frequency [Hz],Power [dBm]
2422500000,-72.060
2430000000,-72.862
2437500000,-72.990
2445000000,-72.612
2452500000,-73.011
2460000000,-73.369
2467500000,-71.987
2475000000,-72.106
2482500000,-69.784
2490000000,-69.871
2497500000,-71.547
2505000000,-72.078
2512500000,-72.183
2520000000,-72.101
2527500000,-72.354
2535000000,-72.499
2542500000,-72.912
2550000000,-72.747
2557500000,-72.871
2565000000,-72.867
2572500000,-72.500
2580000000,-73.227
2587500000,-73.346
2595000000,-73.175
2602500000,-72.802
2610000000,-73.182
2617500000,-72.745
2625000000,-72.958
2632500000,-72.444
2640000000,-72.595
2647500000,-72.760
2655000000,-73.574
2662500000,-72.706
2670000000,-71.628
2677500000,-72.106
2685000000,-72.128
2692500000,-71.453
2700000000,-72.411
2707500000,-73.011
2715000000,-72.776
2722500000,-72.482
2730000000,-73.176
2737500000,-72.681
2745000000,-72.525
2752500000,-72.257
2760000000,-73.103
2767500000,-72.219
2775000000,-72.131
2782500000,-72.026
2790000000,-71.709
2797500000,-71.540
2805000000,-71.454
2812500000,-71.308
2820000000,-67.154
2827500000,-66.452
2835000000,-70.408
2842500000,-71.676
2850000000,-71.442
2857500000,-71.989
2865000000,-72.173
2872500000,-71.378
2880000000,-71.767
2887500000,-71.732
2895000000,-72.843
2902500000,-72.121
2910000000,-71.430
2917500000,-71.600
2925000000,-71.618
2932500000,-71.212
2940000000,-70.966
2947500000,-70.964
2955000000,-71.534
2962500000,-71.944
2970000000,-72.128
2977500000,-71.215
2985000000,-71.721
2992500000,-71.776
3000000000,-71.370
