# 20240219
# Chip 14

Iload [A],LDO_VDD [V]
0e-3,0.992
0.5e-3,0.975
1e-3,0.964
1.5e-3,0.954
2e-3,0.943
2.5e-3,0.932
3e-3,0.922
4e-3,0.900
5e-3,0.879
6e-3,0.858
7e-3,0.837
8e-3,0.816
9e-3,0.795
10e-3,0.773
11e-3,0.752
12e-3,0.730
13e-3,0.708
14e-3,0.686
15e-3,0.663
16e-3,0.641
17e-3,0.618
18e-3,0.595
19e-3,0.571
20e-3,0.547
21e-3,0.522
22e-3,0.496
23e-3,0.465
24e-3,0.432
25e-3,0.394
26e-3,0.352
27e-3,0.307
28e-3,0.260
29e-3,0.210
30e-3,0.158
31e-3,0.105
32e-3,0.049
