IREF_EXT [A],"V(IREF_EXT) (nom, temp=27C) [V]","V(IREF_EXT) (tttt, temp=27) [V]","V(IREF_EXT) (rcff, temp=-40) [V]","V(IREF_EXT) (rcff, temp=85) [V]","V(IREF_EXT) (rcss, temp=-40) [V]","V(IREF_EXT) (rcss, temp=85) [V]","V(IREF_EXT) (rxfs, temp=-40) [V]","V(IREF_EXT) (rxfs, temp=85) [V]","V(IREF_EXT) (rxsf, temp=-40) [V]","V(IREF_EXT) (rxsf, temp=85) [V]"
0,1.481919729841086,1.481919729841086,1.426237302220926,1.500052085655861,1.351033262594353,1.501095377165596,1.351033220761257,1.501095338544358,1.426237364000382,1.500052139896762
1e-07,1.199906220675117,1.199906220675117,1.189116349814896,1.295742971513616,1.098705032809811,1.204951916457763,1.098704989666786,1.204951877875803,1.189116412765864,1.295743026
2e-07,1.180870031566906,1.180870031566906,1.174095510157449,1.273790359,1.083115780270064,1.182381317656348,1.083115737120647,1.182381279086643,1.174095573108471,1.273790412772813
3e-07,1.169226106869893,1.169226106869893,1.164797758432602,1.260550883605543,1.073350961756746,1.168645674761234,1.073350918613052,1.168645636180323,1.164797821,1.260550937844437
4e-07,1.160576575723157,1.160576575723157,1.157836313947757,1.250811710305393,1.065986159075465,1.158477127286061,1.065986115928271,1.158477088710775,1.157836376898756,1.250811765
5.000000000000001e-07,1.153632351388698,1.153632351388698,1.152210013359433,1.243058889152454,1.059999492730374,1.150337354117172,1.059999449584833,1.150337315539124,1.152210076310424,1.243058943390553
6.000000000000001e-07,1.147750748912085,1.147750748912085,1.147421354704587,1.236533478038869,1.054883649185547,1.143458116730507,1.054883606040865,1.143458078151005,1.147421417655573,1.236533532277379
7.000000000000001e-07,1.142616267480036,1.142616267480036,1.143224017,1.230866829783246,1.050385170860905,1.137463642557866,1.050385128,1.137463603977535,1.143224079496825,1.230866884021999
8.000000000000001e-07,1.138037008954536,1.138037008954536,1.139467809817785,1.225835353,1.046349010423957,1.132125590265857,1.046348967280055,1.132125551685035,1.139467872768766,1.225835407435755
9.000000000000001e-07,1.133887891646619,1.133887891646619,1.136054555612399,1.221293820453813,1.042673463,1.127295298025293,1.042673420298762,1.127295259444164,1.136054618563379,1.221293874692795
1e-06,1.130082751989289,1.130082751989289,1.132916431779753,1.217142537214582,1.039288048460202,1.122870477516111,1.039288005316608,1.122870438934775,1.132916494730732,1.217142591453625
