Iload [A],"LDO_VDD (rcss, temp=-40) [V]","LDO_VDD (rcss, temp=85) [V]","LDO_VDD (rxsf, temp=-40) [V]","LDO_VDD (rxsf, temp=85) [V]","LDO_VDD (rxfs, temp=-40) [V]","LDO_VDD (rxfs, temp=85) [V]","LDO_VDD (rcff, temp=-40) [V]","LDO_VDD (rcff, temp=85) [V]","LDO_VDD (tttt, temp=27) [V]","LDO_VDD (nom, temp=27) [V]"
0,1.010387472876387,1.011271094885954,1.010372952,1.011393801007789,1.010261911017432,1.011294025654569,1.010303504311171,1.011537413,1.010883770196708,1.010883770196708
0.0003,1.009558613508415,1.010080083781187,1.007879352598614,1.007947673330762,1.007365349337121,1.007870899563166,1.006035008681102,1.006158651,1.008655869393497,1.008655869393497
0.0006,1.009145667414249,1.009531276810044,1.006648314020491,1.006378764779626,1.005913821488243,1.006243196233499,1.003921170985619,1.00366903,1.007585545390254,1.007585545390254
0.0009,1.008839710471263,1.009131476705535,1.005739124967365,1.005239474277408,1.004836595839574,1.005045584343152,1.002358222931543,1.001851708791196,1.006798822466683,1.006798822466683
0.0012,1.008588723495278,1.008806109287674,1.004995644,1.004316383973348,1.003952374196819,1.004065803873503,1.001079262145874,1.000374731812917,1.006156708798551,1.006156708798551
0.0015,1.008370654936432,1.008524241098729,1.004351488085027,1.003520222305051,1.003184076347007,1.003214642302408,0.9999706844973054,0.9990983646346343,1.005600543308467,1.005600543308467
0.0018,1.008175225,1.008271689377644,1.003775860634539,1.002810402080416,1.002495727842728,1.002450940014673,0.9989797566672117,0.9979588768094839,1.005103271,1.005103271
0.0021,1.007996334523803,1.008040085,1.003250505338825,1.002163056962821,1.001865959379889,1.001750290238524,0.9980752074296493,0.9969187040340199,1.004648882294765,1.004648882294765
0.0024,1.00783005,1.007824026174426,1.002763680580209,1.001562892189832,1.001280991533796,1.001096902280023,0.9972369206176115,0.9959537373072451,1.004227073457497,1.004227073457497
0.0027,1.007673668752694,1.007619767523467,1.002307337894891,1.000999409289835,1.000731351,1.000479816,0.9964511079842939,0.995047417,1.003830757786602,1.003830757786602
0.003,1.007525234454241,1.007424550091526,1.001875682888175,1.000464997936868,1.000210192904365,0.99989098,0.9957078459615406,0.9941877415223431,1.003454799572994,1.003454799572994
0.0033,1.007383274325935,1.007233101187533,1.001464377438362,0.9999538845705099,0.9997123706604767,0.9993140824066875,0.9949997097698571,0.993365618,1.003095313540967,1.003095313540967
0.0036,1.007244147491881,1.007050882956889,1.001062066436552,0.999452824,0.9992248096655806,0.998767041,0.9943071182585665,0.9925597605356085,1.002742994682949,1.002742994682949
0.0039,1.007112438032031,1.006872076867791,1.000683638136048,0.9989775255003417,0.9987642835958894,0.9982319520036093,0.9936558728463951,0.9917958371475383,1.002409266408884,1.002409266408884
0.0042,1.006984176188992,1.006695596146799,1.000316737806997,0.9985133993120157,0.998316562,0.9977058559275711,0.993024677,0.9910504437633995,1.002083929828251,1.002083929828251
