# 20231201
# Chip 5

Iload [A],LDO_VDD [V]
0e-3,0.995
0.5e-3,0.993
1e-3,0.996
1.5e-3,0.998
2e-3,1.04
2.5e-3,1.002
3e-3,0.98
4e-3,1.002
5e-3,0.973
6e-3,0.922
7e-3,0.845
8e-3,0.757
9e-3,0.665
10e-3,0.568
