# 20240219
# Chip 13

Iload [A],LDO_VDD [V]
0e-3,1.011
0.5e-3,1.022
1e-3,0.995
1.5e-3,0.990
2e-3,0.983
2.5e-3,0.978
3e-3,0.972
4e-3,0.960
5e-3,0.947
6e-3,0.936
7e-3,0.924
8e-3,0.913
9e-3,0.903
10e-3,0.894
11e-3,0.883
12e-3,0.870
13e-3,0.854
14e-3,0.834
15e-3,0.804
16e-3,0.764
17e-3,0.72
18e-3,0.67
19e-3,0.62
20e-3,0.56
21e-3,0.50
22e-3,0.44
23e-3,0.38
24e-3,0.32
25e-3,0.23
