# 20231201
# Chip 5

Iload [A],LDO_VDD [V]
0e-3,0.992
0.5e-3,1.003
1e-3,1.025
1.5e-3,1.041
2e-3,1.057
2.5e-3,1.066
3e-3,1.060
4e-3,1.035
5e-3,0.967
6e-3,0.879
7e-3,0.768
8e-3,0.669
9e-3,0.556
