# 20231201
# Chip 5

Iload [A],LDO_VDD [V]
0e-3,0.848
0.5e-3,0.901
1e-3,0.940
1.5e-3,0.977
2e-3,0.925
2.5e-3,0.869
3e-3,0.770
4e-3,0.574
5e-3,0.438
6e-3,0.364
7e-3,0.310
8e-3,0.268
9e-3,0.234
10e-3,0.204
