Time [s],Capacitor voltage [V],GPIO [V]
0.0047369685,0.53286,-0.04369
0.0047638685,0.535582,-0.06262
0.0047906685,0.532898,-0.04072
0.0048174685,0.535237,-0.0545
0.0048443685,0.533806,-0.06044
0.0048711685,0.535841,-0.06295
0.0048980685,0.534216,-0.05187
0.0049248685,0.533731,-0.06321
0.0049517685,0.534381,-0.05523
0.0049786685,0.532564,-0.07455
0.0050054685,0.535763,-0.04989
0.0050323685,0.532804,-0.04639
0.0050592685,0.534786,-0.04375
0.0050861685,0.534554,-0.06763
0.0051130685,0.533577,-0.04791
0.0051399685,0.535549,-0.06598
0.0051668685,0.534925,-0.04065
0.0051936685,0.533547,-0.06677
0.0052203685,0.534388,-0.04896
0.0052471685,0.53256,-0.04039
0.0052738685,0.53342,-0.04408
0.0053006685,0.535605,-0.04732
0.0053274685,0.534411,-0.03927
0.0053541685,0.534298,-0.06149
0.0053809685,0.533356,-0.06314
0.0054077685,0.538534,-0.04019
0.0054345685,0.533874,-0.06037
0.0054613685,0.534707,-0.05569
0.0054881685,0.533266,-0.0702
0.0055149685,0.533037,-0.06578
0.0055417685,0.534279,-0.04105
0.0055685685,0.534925,-0.03788
0.0055953685,0.532676,-0.05859
0.0056221685,0.533213,-0.07145
0.0056490685,0.534212,-0.03617
0.0056758685,0.533517,-0.06796
0.0057026685,0.532871,-0.06928
0.0057295685,0.534907,-0.03281
0.0057563685,0.535211,-0.05813
0.0057832685,0.533844,-0.0332
0.0058101685,0.534666,-0.06736
0.0058369685,0.534002,-0.06618
0.0058638685,0.53399,-0.03861
0.0058907685,0.533529,-0.06723
0.0059176685,0.534441,-0.06928
0.0059445685,0.53645,-0.05655
0.0059714685,0.534666,-0.04784
0.0059983685,0.535053,-0.052
0.0060252685,0.534952,-0.05563
0.0060520685,0.536202,-0.0516
0.0060787685,0.53381,-0.05688
0.0061055685,0.5328,-0.05048
0.0061322685,0.536322,-0.04415
0.0061590685,0.532871,-0.05094
0.0061857685,0.533577,-0.09295
0.0062125685,0.535297,-0.0427
0.0062393685,0.532331,-0.05338
0.0062661685,0.534114,-0.06862
0.0062928685,0.5358,-0.06624
0.0063196685,0.533994,-0.07805
0.0063464685,0.53639,-0.04679
0.0063732685,0.533634,-0.05318
0.0064000685,0.532511,-0.05675
0.0064269685,0.531557,-0.0609
0.0064537685,0.534407,-0.03267
0.0064805685,0.53476,-0.05431
0.0065073685,0.534557,-0.06631
0.0065342685,0.533746,-0.05793
0.0065610685,0.532995,-0.076
0.0065879685,0.534745,-0.04672
0.0066147685,0.535841,-0.04164
0.0066416685,0.535969,-0.06928
0.0066684685,0.533521,-0.04197
0.0066953685,0.535102,-0.04336
0.0067222685,0.53099,-0.08049
0.0067491685,0.534741,-0.05912
0.0067760685,0.535879,-0.04408
0.0068028685,0.533724,-0.02878
0.0068297685,0.532477,-0.04415
0.0068567685,0.533859,-0.06084
0.0068836685,0.533232,-0.04171
0.0069103685,0.53509,-0.0638
0.0069371685,0.534948,-0.04461
0.0069638685,0.534666,-0.03775
0.0069906685,0.533915,-0.06374
0.0070173685,0.534077,-0.10285
0.0070441685,0.533262,-0.06057
0.0070709685,0.53473,-0.04243
0.0070976685,0.534317,-0.06018
0.0071244685,0.534084,-0.07548
0.0071512685,0.534523,-0.0737
0.0071780685,0.536957,-0.06466
0.0072048685,0.533236,-0.04943
0.0072316685,0.536067,-0.06947
0.0072584685,0.534884,-0.05055
0.0072852685,0.535849,-0.04949
0.0073120685,0.532312,-0.0392
0.0073389685,0.533889,-0.04573
0.0073657685,0.534918,-0.05826
0.0073925685,0.533945,-0.04923
0.0074194685,0.534452,-0.04705
0.0074462685,0.535856,-0.05088
0.0074731685,0.531854,-0.06829
0.0074999685,0.535838,-0.0485
0.0075268685,0.533078,-0.07013
0.0075537685,0.5358,-0.04164
0.0075806685,0.534009,-0.05741
0.0076074685,0.534216,-0.0396
0.0076343685,0.53304,-0.06967
0.0076612685,0.534865,-0.05503
0.0076881685,0.533495,-0.06901
0.0077150685,0.533059,-0.04956
0.0077419685,0.535087,-0.05899
