Time [s],Capacitor voltage [V]
6.864637e-05,1.022406
0.00019652637,1.020562
0.00032452637,1.019999
0.00045266637,1.022819
0.00058042637,1.019026
0.00070794637,1.019117
0.00083558637,1.02072
0.00096332637,1.019916
0.00109118637,1.021595
0.00121916637,1.020472
0.00134724637,1.021084
0.00147520637,1.021234
0.00160270637,1.023457
0.00173030637,1.020483
0.00185802637,1.021351
0.00198586637,1.020716
0.00211380637,1.020393
0.00224186637,1.022462
0.00236998637,1.020281
0.00249746637,1.021403
0.00262504637,1.021933
0.00275274637,1.022642
0.00288054637,1.020941
0.00300846637,1.021782
0.00313648637,1.022853
0.00326464637,1.024722
0.00339226637,1.020615
0.00351984637,1.020754
0.00364750637,1.022316
0.00377528637,1.022639
0.00390318637,1.020671
0.00403120637,1.019804
0.00415932637,1.019567
0.00428704637,1.021568
0.00441458637,1.02262
0.00454222637,1.021651
0.00466998637,1.020048
0.00479786637,1.02366
0.00492584637,1.020652
0.00505394637,1.023314
0.00518182637,1.021674
0.00530934637,1.019976
0.00543696637,1.021039
0.00556470637,1.020607
0.00569254637,1.020893
0.00582050637,1.020825
0.00594858637,1.020975
0.00607660637,1.020829
0.00620406637,1.020239
0.00633166637,1.020941
0.00645936637,1.02051
0.00658718637,1.020547
0.00671512637,1.019976
0.00684316637,1.021493
0.00697132637,1.022128
0.00709882637,1.019492
0.00722638637,1.020374
0.00735406637,1.020209
0.00748186637,1.020547
0.00760976637,1.021107
0.00773778637,1.019364
0.00786590637,1.02045
0.00799364637,1.020547
0.00812118637,1.018816
0.00824882637,1.020938
0.00837658637,1.020127
0.00850446637,1.02173
0.00863246637,1.019376
0.00876056637,1.01713
0.00888840637,1.02007
0.00901592637,1.019665
0.00914354637,1.021617
0.00927128637,1.020817
0.00939912637,1.020299
0.00952708637,1.020018
0.00965516637,1.019815
0.00978322637,1.021719
0.00991070637,1.021084
0.01003830637,1.021846
0.01016600637,1.017975
0.01029382637,1.021869
0.01042176637,1.019165
0.01054980637,1.020202
0.01067796637,1.020941
0.01080542637,1.019672
0.01093300637,1.01968
0.01106068637,1.020363
0.01118848637,1.019627
0.01131638637,1.019443
0.01144442637,1.021613
0.01157254637,1.020431
0.01170016637,1.019976
0.01182770637,1.020006
0.01195536637,1.021726
0.01208312637,1.020314
0.01221100637,1.019898
0.01233900637,1.019383
0.01246710637,1.022293
0.01259488637,1.023968
0.01272240637,1.020769
0.01285002637,1.020724
0.01297776637,1.020686
0.01310562637,1.018966
0.01323358637,1.021122
0.01336168637,1.020983
0.01348960637,1.017318
