Time [s],Capacitor voltage [V],GPIO [V]
5.4359e-06,0.280336,-0.05701
3.22359e-05,0.281323,-0.05708
5.89359e-05,0.279472,-0.04593
8.57359e-05,0.281244,-0.0514
0.0001125359,0.278642,-0.04059
0.0001392359,0.280084,-0.06888
0.0001660359,0.279078,-0.04547
0.0001928359,0.277985,-0.06064
0.0002196359,0.278079,-0.06156
0.0002464359,0.280422,-0.05061
0.0002732359,0.281575,-0.05279
0.0003000359,0.281455,-0.03914
0.0003268359,0.280629,-0.06242
0.0003537359,0.278657,-0.07468
0.0003805359,0.279397,-0.09078
0.0004073359,0.278755,-0.05971
0.0004342359,0.278533,-0.06802
0.0004610359,0.278522,-0.06189
0.0004878359,0.280993,-0.03901
0.0005147359,0.281042,-0.06407
0.0005416359,0.279202,-0.05206
0.0005684359,0.277775,-0.03841
0.0005953359,0.279476,-0.07739
0.0006222359,0.280069,-0.06189
0.0006491359,0.281139,-0.05932
0.0006759359,0.28097,-0.04046
0.0007028359,0.28308,-0.04936
0.0007297359,0.280606,-0.07825
0.0007566359,0.281511,-0.04309
0.0007834359,0.279427,-0.064
0.0008101359,0.279442,-0.06657
0.0008369359,0.278695,-0.06552
0.0008636359,0.277279,-0.04593
0.0008904359,0.281087,-0.0642
0.0009171359,0.281534,-0.04883
0.0009439359,0.280741,-0.06967
0.0009707359,0.280614,-0.04494
0.0009975359,0.277321,-0.04639
0.0010242359,0.280463,-0.03848
0.0010510359,0.280114,-0.05595
0.0010778359,0.280219,-0.05879
0.0011046359,0.279528,-0.04692
0.0011314359,0.279074,-0.07112
0.0011582359,0.28251,-0.04929
0.0011850359,0.27999,-0.04303
0.0012119359,0.282596,-0.06796
0.0012387359,0.278845,-0.0698
0.0012655359,0.279911,-0.07871
0.0012924359,0.280655,-0.05787
0.0013192359,0.278901,-0.0429
0.0013461359,0.281034,-0.05114
0.0013729359,0.281413,-0.05464
0.0013998359,0.283636,-0.02984
0.0014266359,0.280741,-0.07996
0.0014535359,0.279574,-0.06677
0.0014804359,0.281248,-0.06466
0.0015073359,0.280058,-0.04923
0.0015342359,0.280478,-0.04422
0.0015611359,0.278586,-0.04243
0.0015880359,0.278778,-0.04422
0.0016149359,0.278135,-0.04758
0.0016417359,0.281545,-0.04639
0.0016684359,0.280377,-0.07548
0.0016951359,0.280786,-0.0456
0.0017219359,0.279885,-0.05549
0.0017486359,0.281297,-0.05905
0.0017754359,0.280107,-0.10278
0.0018022359,0.280696,-0.06209
0.0018289359,0.280152,-0.06189
0.0018557359,0.28248,-0.09196
0.0018825359,0.282033,-0.05767
0.0019093359,0.282266,-0.05958
0.0019361359,0.281395,-0.06084
0.0019629359,0.282356,-0.06849
0.0019897359,0.28061,-0.05154
0.0020165359,0.280753,-0.02535
0.0020433359,0.278793,-0.06842
0.0020701359,0.280933,-0.07073
0.0020970359,0.278657,-0.06262
0.0021238359,0.278537,-0.06783
0.0021506359,0.280174,-0.03294
0.0021775359,0.279795,-0.06143
0.0022043359,0.28073,-0.03835
0.0022312359,0.279791,-0.04778
0.0022580359,0.279848,-0.06459
0.0022849359,0.281098,-0.07515
0.0023118359,0.278789,-0.0704
0.0023387359,0.279037,-0.05483
0.0023656359,0.277107,-0.09849
0.0023924359,0.280512,-0.10159
0.0024193359,0.279765,-0.06717
0.0024462359,0.279018,-0.06103
0.0024732359,0.277985,-0.05813
0.0024999359,0.28138,-0.06209
0.0025266359,0.278781,-0.06486
0.0025534359,0.281864,-0.05292
0.0025801359,0.280813,-0.06044
0.0026069359,0.280167,-0.05727
0.0026336359,0.282119,-0.06756
0.0026604359,0.28043,-0.06202
0.0026872359,0.279453,-0.08095
0.0027140359,0.280794,-0.04329
0.0027407359,0.280276,-0.05628
0.0027675359,0.280261,-0.05325
0.0027943359,0.280343,-0.04263
0.0028211359,0.280798,-0.08464
0.0028479359,0.28153,-0.03802
0.0028747359,0.280516,-0.04758
0.0029016359,0.282724,-0.06835
0.0029284359,0.281451,-0.05892
0.0029552359,0.279303,-0.07066
0.0029821359,0.280144,-0.05206
0.0030089359,0.279468,-0.07647
0.0030357359,0.279754,-0.04204
0.0030626359,0.281898,-0.09315
0.0030894359,0.280148,-0.03788
0.0031163359,0.280501,-0.04329
0.0031432359,0.28085,-0.08603
0.0031700359,0.282712,-0.03907
0.0031969359,0.280884,-0.04349
0.0032238359,0.282431,-0.04494
0.0032507359,0.2788,-0.04224
0.0032776359,0.280302,-0.04962
0.0033045359,0.280978,-0.04712
0.0033314359,0.280403,-0.04059
0.0033582359,0.281909,-0.08267
0.0033849359,0.28251,-0.05002
0.0034117359,0.283388,-0.04929
0.0034384359,0.282262,-0.06486
0.0034652359,0.281361,-0.06578
0.0034919359,0.281984,-0.04797
0.0035187359,0.281308,-0.07409
0.0035455359,0.282761,-0.07864
0.0035723359,0.281057,-0.04408
0.0035990359,0.280741,-0.04936
