Time [s],Capacitor voltage [V],GPIO [V]
4.88155e-05,1.028387,-0.01361
0.0001268155,1.029037,-0.00735
0.0002048155,1.027993,-0.02133
0.0002828155,1.029206,-0.02232
0.0003609155,1.028222,-0.03307
0.0004390155,1.029712,-0.00135
0.0005167155,1.031143,-0.03136
0.0005944155,1.030227,-0.00827
0.0006722155,1.02865,-0.02186
0.0007500155,1.027899,-0.00544
0.0008278155,1.027929,-0.00201
0.0009057155,1.029709,-0.0119
0.0009836155,1.028368,-0.02311
0.0010616155,1.029352,-0.00286
0.0011396155,1.028503,-0.04184
0.0012177155,1.028398,-0.05431
0.0012958155,1.030182,-0.02694
0.0013737155,1.02957,-0.00722
0.0014514155,1.029513,-0.02535
0.0015291155,1.027486,-0.04276
0.0016069155,1.028342,-0.03571
0.0016847155,1.028924,-0.03729
0.0017626155,1.029003,-0.01256
0.0018405155,1.028725,-0.00689
0.0019184155,1.027861,-0.00715
0.0019964155,1.023908,-0.00807
0.0020745155,1.027959,-0.02885
0.0021525155,1.026341,-0.04811
0.0022307155,1.028834,0.00709
0.0023084155,1.02568,-0.03775
0.0023861155,1.02559,-0.02964
0.0024639155,1.028556,-0.02872
0.0025417155,1.0296,-0.00728
0.0026195155,1.031661,-0.0117
0.0026973155,1.029352,-0.00801
0.0027753155,1.028147,-0.01507
0.0028532155,1.027557,-0.01342
0.0029312155,1.028473,0.0005
0.0030092155,1.027231,0.01052
0.0030873155,1.026716,-0.0237
0.0031654155,1.025879,-0.01896
0.0032431155,1.025755,-0.02793
0.0033208155,1.028815,-0.03775
0.0033986155,1.025177,-0.01652
0.0034764155,1.028601,-0.01131
0.0035542155,1.028992,-0.009
0.0036321155,1.029329,-0.04468
0.0037100155,1.02987,-0.01757
0.0037880155,1.02491,-0.03406
0.0038660155,1.028353,-0.03234
0.0039440155,1.029082,-0.02074
0.0040221155,1.028019,-0.04217
0.0041001155,1.025853,-0.00781
0.0041778155,1.029919,-0.02291
0.0042555155,1.029052,-0.01078
0.0043333155,1.029341,-0.03234
0.0044111155,1.025879,-0.02483
0.0044889155,1.029645,-0.03314
0.0045668155,1.029671,-0.06446
0.0046447155,1.02648,-0.02146
0.0047227155,1.027396,-0.01803
0.0048007155,1.029202,-0.01117
0.0048788155,1.028503,0.0009
0.0049569155,1.026724,-0.0243
0.0050348155,1.024137,-0.02924
0.0051125155,1.028785,-0.02779
0.0051902155,1.029626,-0.02614
0.0052680155,1.027133,-0.02733
0.0053458155,1.026592,-0.00953
0.0054236155,1.028755,-0.03261
0.0055015155,1.02758,-0.04488
0.0055795155,1.027201,-0.05246
0.0056575155,1.026232,-0.01309
0.0057355155,1.026742,-0.01032
0.0058136155,1.029799,-0.0212
0.0058917155,1.02785,-0.04797
0.0059695155,1.026589,-0.03564
0.0060472155,1.026153,-0.01988
0.0061249155,1.025886,-0.02793
0.0062027155,1.026288,-0.04784
0.0062805155,1.027178,-0.01005
0.0063584155,1.028785,-0.0274
0.0064363155,1.02648,-0.03373
0.0065143155,1.028222,-0.03802
