Time [s],Capacitor voltage [V]
4.88229e-05,1.019661
0.0001268229,1.019732
0.0002048229,1.018523
0.0002828229,1.020093
0.0003609229,1.018636
0.0004390229,1.018677
0.0005167229,1.019875
0.0005944229,1.019777
0.0006722229,1.021279
0.0007500229,1.021745
0.0008278229,1.018437
0.0009057229,1.01977
0.0009836229,1.018891
0.0010616229,1.019424
0.0011396229,1.019755
0.0012177229,1.017273
0.0012958229,1.02019
0.0013737229,1.019319
0.0014514229,1.019488
0.0015291229,1.01805
0.0016069229,1.017378
0.0016847229,1.01915
0.0017626229,1.022766
0.0018405229,1.019379
0.0019184229,1.019563
0.0019964229,1.020679
0.0020745229,1.01814
0.0021525229,1.019879
0.0022307229,1.02072
0.0023084229,1.021764
0.0023861229,1.019717
0.0024639229,1.020168
0.0025417229,1.020292
0.0026195229,1.020059
0.0026973229,1.01909
0.0027753229,1.020153
0.0028532229,1.018734
0.0029312229,1.017746
0.0030092229,1.019304
0.0030873229,1.021572
0.0031654229,1.019901
0.0032431229,1.019665
0.0033208229,1.021861
0.0033986229,1.019271
0.0034764229,1.017716
0.0035542229,1.018771
0.0036321229,1.019826
0.0037100229,1.016087
0.0037880229,1.01968
0.0038660229,1.01683
0.0039440229,1.019342
0.0040221229,1.018858
0.0041001229,1.020213
0.0041778229,1.018737
0.0042555229,1.018103
0.0043333229,1.017052
0.0044111229,1.017235
0.0044889229,1.019736
0.0045668229,1.018478
0.0046447229,1.018437
0.0047227229,1.017551
0.0048007229,1.019323
0.0048788229,1.01778
0.0049569229,1.01867
0.0050348229,1.018858
0.0051125229,1.01918
0.0051902229,1.018591
0.0052680229,1.019331
0.0053458229,1.017836
0.0054236229,1.017172
0.0055015229,1.01867
0.0055795229,1.019961
0.0056575229,1.01977
0.0057355229,1.017555
0.0058136229,1.015925
0.0058917229,1.01906
0.0059695229,1.019473
0.0060472229,1.020878
0.0061249229,1.01885
0.0062027229,1.01912
0.0062805229,1.018749
0.0063584229,1.017427
0.0064363229,1.018843
0.0065143229,1.019203
0.0065923229,1.020506
0.0066703229,1.018523
0.0067484229,1.018535
0.0068265229,1.018782
0.0069041229,1.017941
