Time [s],Capacitor voltage [V],GPIO [V]
4.1001e-05,1.031323,1.80387
8.9101e-05,1.023055,-0.00108
0.000137201,1.035315,-0.06572
0.000185001,1.032213,1.81475
0.000232801,1.026217,1.79787
0.000280601,1.027261,1.81185
0.000328501,1.029412,1.79167
0.000376301,1.029191,1.80598
0.000424201,1.030186,1.80044
0.000472101,1.025387,1.82972
0.000520001,1.028545,1.80215
0.000567901,1.028312,1.79292
0.000615801,1.029705,1.81
0.000663801,1.029844,1.81007
0.000711801,1.030077,1.81581
0.000759701,1.02776,1.79714
0.000807801,1.031338,1.49383
0.000855801,1.027719,1.8106
0.000903801,1.028417,1.81475
0.000951901,1.029742,-0.06558
0.000999901,1.028642,1.80492
0.001048001,1.026656,1.79807
0.001095801,1.027287,1.81673
0.001143601,1.026799,1.82042
0.001191401,1.028601,1.80426
0.001239301,1.028661,1.80347
0.001287101,1.029288,1.81726
0.001335001,1.027062,1.8073
0.001382901,1.030531,1.81429
0.001430801,1.028154,1.78342
0.001478701,1.027415,1.79351
0.001526601,1.030171,1.78916
0.001574601,1.026551,1.80572
0.001622601,1.030366,1.8315
0.001670601,1.029052,1.78943
0.001718601,1.029239,1.8067
0.001766601,1.029423,1.81159
0.001814601,1.029979,1.81581
0.001862701,1.03367,0.85028
0.001910801,1.032964,-0.08082
0.001958801,1.028241,1.81904
0.002006601,1.027362,1.79694
0.002054401,1.027366,1.79905
0.002102201,1.028714,1.8197
0.002150101,1.027366,1.78989
0.002197901,1.028973,1.80756
0.002245801,1.028841,1.81231
0.002293701,1.028793,1.81165
0.002341601,1.028447,1.804
0.002389501,1.030223,1.8193
0.002437501,1.030268,1.80974
0.002485401,1.028485,1.83315
0.002533401,1.027508,1.8013
0.002581401,1.030088,1.81778
0.002629401,1.028237,1.80862
0.002677501,1.030403,0.06058
0.002725501,1.028346,1.81152
0.002773601,1.03569,-0.06479
0.002821601,1.029048,1.83381
0.002869601,1.029352,1.82266
0.002917401,1.026438,1.82273
0.002965201,1.028132,1.82293
0.003013001,1.028616,1.80268
0.003060901,1.029029,1.82445
0.003108701,1.028316,1.81904
0.003156601,1.0285,1.82003
0.003204501,1.028278,1.81416
0.003252401,1.028868,1.81317
0.003300401,1.028815,1.82675
0.003348301,1.02948,1.8166
0.003396301,1.023855,1.81924
0.003444201,1.029142,1.80855
0.003492201,1.028177,1.79734
0.003540301,1.026525,1.79121
0.003588301,1.028455,1.8073
0.003636301,1.02844,1.81185
0.003684401,1.028924,1.81541
0.003732501,1.032164,1.29301
0.003780301,1.029378,1.80367
0.003828101,1.029487,1.79457
0.003876001,1.029502,1.79938
0.003923801,1.031462,1.79556
0.003971701,1.031169,1.83295
0.004019501,1.029634,1.81732
0.004067401,1.028289,1.80849
0.004115301,1.027351,1.81172
0.004163201,1.03082,1.81785
0.004211201,1.028038,1.82128
0.004259101,1.029247,1.81139
0.004307101,1.028301,1.81409
0.004355101,1.028147,1.81363
0.004403101,1.02916,1.85036
0.004451101,1.028556,1.82623
0.004499201,1.033152,0.28884
0.004547201,1.028631,1.80796
0.004595301,1.033542,1.49166
0.004643301,1.029115,1.8102
0.004691101,1.029686,1.79206
0.004738901,1.028451,1.81462
0.004786701,1.0299,1.80822
0.004834601,1.0285,1.81917
0.004882501,1.028796,1.81132
0.004930301,1.028023,1.81548
0.004978201,1.027666,1.81488
0.005026101,1.02782,1.81304
0.005074101,1.02844,1.81607
0.005122001,1.027204,1.81139
0.005170001,1.031417,1.81475
0.005218001,1.029825,1.81838
0.005266001,1.030655,1.70197
0.005314001,1.030291,1.80618
0.005362001,1.02889,1.82557
0.005410001,1.028301,1.81
0.005458101,1.030696,1.81119
0.005506201,1.017453,-0.05101
0.005554101,1.028616,1.82293
0.005601901,1.027339,1.78962
0.005649701,1.028012,1.80882
0.005697601,1.027073,1.83203
0.005745401,1.028898,1.79022
0.005793301,1.029915,1.81191
0.005841201,1.031327,1.79483
0.005889101,1.030306,1.81957
0.005937001,1.029559,1.80961
0.005984901,1.030445,1.78936
0.006032901,1.027531,1.79998
0.006080801,1.027482,1.81772
0.006128801,1.029307,1.79351
0.006176801,1.029577,1.82313
0.006224801,1.027373,1.81891
0.006272901,1.032881,0.18061
0.006320901,1.029431,1.82115
0.006369001,1.026333,0.00914
0.006417101,1.030843,-0.06413
0.006464901,1.028886,1.80967
0.006512801,1.0285,1.82306
0.006560601,1.029592,1.80914
0.006608401,1.028226,1.82511
0.006656301,1.0274,1.81745
0.006704101,1.029431,1.8135
0.006752001,1.029085,1.85215
0.006799901,1.028503,1.81693
0.006847901,1.029352,1.81264
0.006895801,1.028128,1.83157
0.006943701,1.028804,1.83493
0.006991701,1.034237,1.84799
0.007039701,1.030381,1.81548
0.007087701,1.026878,1.82636
0.007135701,1.029318,1.841
0.007183801,1.030985,1.70652
0.007231801,1.028477,1.83144
0.007279901,1.029179,1.83368
0.007327901,1.026401,1.79734
0.007375701,1.026592,1.82972
0.007423601,1.029465,1.84911
0.007471401,1.031184,1.83895
0.007519201,1.028293,1.82853
0.007567101,1.029619,1.83586
0.007615001,1.028057,1.8255
0.007662901,1.029923,1.80525
0.007710801,1.029739,1.84938
0.007758701,1.028898,1.82234
0.007806601,1.028361,1.8129
0.007854601,1.029532,1.81165
0.007902601,1.029033,1.8288
0.007950601,1.026029,1.83506
0.007998601,1.027418,1.8468
0.008046601,1.028995,1.82108
0.008094601,1.029607,1.83869
0.008142701,1.026209,1.82088
0.008190801,1.029641,0.07489
0.008238801,1.02898,1.82319
0.008286601,1.028274,1.81165
0.008334401,1.027869,1.78916
0.008382201,1.028165,1.83599
0.008430001,1.029187,1.83276
0.008477901,1.028075,1.82979
0.008525801,1.028575,1.81627
0.008573701,1.03147,1.83909
0.008621601,1.027527,1.85036
0.008669501,1.029791,1.83539
0.008717501,1.028248,1.80624
0.008765501,1.027118,1.82827
0.008813401,1.028548,1.83388
0.008861401,1.027482,1.83612
0.008909401,1.025515,1.82445
0.008957501,1.029555,1.74497
0.009005501,1.028819,1.8129
0.009053601,1.031226,1.53136
0.009101701,1.034274,-0.06189
0.009149601,1.025725,1.847
0.009197401,1.029574,1.84205
0.009245201,1.028654,1.83137
0.009293001,1.029059,1.84489
0.009340901,1.027231,1.83097
0.009388801,1.029476,1.81864
0.009436601,1.027561,1.82379
0.009484501,1.024629,1.83526
0.009532501,1.025383,1.81719
0.009580401,1.028023,1.82227
0.009628301,1.027737,1.82952
0.009676301,1.028421,1.83447
0.009724301,1.026784,1.81468
0.009772301,1.026893,1.84819
0.009820301,1.02871,1.82609
0.009868301,1.028579,1.84634
0.009916401,1.027407,1.82273
0.009964501,1.020093,-0.03261
0.010012601,1.035397,-0.05543
0.010060401,1.028868,1.82082
0.010108201,1.026487,1.84172
0.010156001,1.02803,1.83335
0.010203901,1.028241,1.82596
0.010251701,1.029697,1.80835
0.010299601,1.029367,1.82656
0.010347501,1.02835,1.82088
0.010395401,1.029258,1.82102
0.010443301,1.029127,1.82893
0.010491301,1.030768,1.82741
0.010539201,1.031169,1.84397
0.010587201,1.032435,1.83592
0.010635201,1.027523,1.84232
0.010683201,1.025522,1.83935
0.010731201,1.02868,1.82095
0.010779301,1.020427,-0.0214
0.010827301,1.029525,1.8257
0.010875401,1.028736,0.45358
0.010923401,1.031023,1.81772
0.010971201,1.028083,1.82774
0.011019101,1.026461,1.84449
0.011066901,1.030978,1.79074
0.011114701,1.032138,1.80407
0.011162601,1.029341,1.75783
0.011210501,1.028312,1.78547
0.011258401,1.030756,1.81871
0.011306301,1.029213,1.8075
0.011354201,1.03002,1.7825
0.011402201,1.02815,1.79233
0.011450101,1.028984,1.80176
0.011498101,1.028387,1.77584
0.011546101,1.026705,1.78778
0.011594101,1.028548,1.82629
0.011642101,1.026562,1.78679
0.011690201,1.030463,1.78863
0.011738201,1.029686,1.77821
0.011786301,1.028301,1.79609
0.011834201,1.026299,1.78501
0.011882001,1.029374,1.81811
0.011929801,1.030437,1.78804
0.011977701,1.0304,1.79431
0.012025501,1.029562,1.79754
0.012073401,1.031455,1.78402
0.012121301,1.028244,1.77999
0.012169201,1.029022,1.79002
0.012217101,1.029273,1.78448
0.012265001,1.029611,1.76225
0.012312901,1.027824,1.76067
0.012360901,1.02966,1.78771
0.012408901,1.030114,1.77696
0.012456901,1.027306,1.79938
0.012504901,1.028811,1.80413
0.012552901,1.028856,1.78738
0.012601001,1.02978,1.66537
0.012649001,1.029964,1.77023
0.012697101,1.028338,1.80328
0.012745001,1.030013,1.79384
0.012792801,1.029968,1.77683
0.012840701,1.029615,1.78461
0.012888501,1.029566,1.79259
0.012936401,1.02749,1.78969
0.012984201,1.029566,1.77551
0.013032101,1.028402,1.78725
0.013080001,1.029727,1.77478
0.013127901,1.029731,1.79351
0.013175901,1.029893,1.78929
0.013223801,1.030257,1.79345
0.013271801,1.027869,1.81653
0.013319801,1.028331,1.78112
0.013367801,1.029217,1.77755
0.013415801,1.029022,1.79952
0.013463801,1.029465,1.78336
0.013511901,1.030152,1.59111
0.013560001,1.030876,-0.04962
0.013608001,1.032236,1.75348
0.013655801,1.027824,1.75869
0.013703701,1.031605,1.78309
0.013751501,1.027809,1.81132
0.013799301,1.030351,1.7922
0.013847201,1.030587,1.80492
0.013895101,1.027452,1.78956
0.013942901,1.025282,1.79807
0.013990801,1.028808,1.81561
0.014038801,1.031853,1.80941
0.014086701,1.029266,1.79088
0.014134701,1.025436,1.7982
0.014182601,1.029675,1.8071
0.014230601,1.02835,1.76318
0.014278601,1.026483,1.77788
0.014326601,1.030846,1.79233
0.014374701,1.029435,1.79648
0.014422701,1.030272,1.77815
0.014470801,1.029157,1.79615
0.014518801,1.030448,1.81957
0.014566601,1.031654,1.75962
0.014614501,1.029559,1.80275
0.014662301,1.024978,1.80565
0.014710101,1.027753,1.79721
0.014758001,1.028751,1.79609
0.014805901,1.031488,1.81363
0.014853801,1.029679,1.81567
0.014901701,1.028672,1.78276
0.014949601,1.030467,1.79925
0.014997601,1.0307,1.78461
0.015045501,1.029461,1.80367
0.015093501,1.029112,1.79615
0.015141501,1.028725,1.7978
0.015189501,1.028627,1.80374
0.015237501,1.025669,1.81449
0.015285601,1.031323,0.84369
0.015333601,1.026288,1.79266
0.015381701,1.028886,1.80532
0.015429601,1.028571,1.80552
0.015477401,1.028755,1.79068
0.015525201,1.02939,1.78725
0.015573101,1.029667,1.81811
0.015620901,1.029679,1.78303
0.015668801,1.027737,1.79589
0.015716701,1.028135,1.78303
0.015764601,1.028263,1.79938
0.015812501,1.026348,1.80024
0.015860401,1.025274,1.79464
0.015908401,1.029442,1.81376
0.015956301,1.030756,1.81633
0.016004301,1.02794,1.82029
0.016052301,1.028815,1.79351
0.016100301,1.029157,1.81033
0.016148301,1.027148,1.81825
0.016196401,1.028327,1.7953
0.016244501,1.024632,-0.05457
0.016292501,1.029622,1.79437
0.016340401,1.029352,1.78725
0.016388201,1.029052,1.79022
0.016436101,1.028417,1.8044
0.016483901,1.028395,1.80242
0.016531701,1.026859,1.81581
0.016579601,1.029705,1.82009
0.016627501,1.02853,1.79727
0.016675401,1.030482,1.77709
0.016723301,1.028947,1.80697
0.016771301,1.028691,1.79483
0.016819201,1.026641,1.80789
0.016867201,1.027629,1.79978
0.016915201,1.029559,1.77848
0.016963201,1.029435,1.78105
0.017011201,1.02541,1.78969
0.017059201,1.026127,1.79668
0.017107301,1.028105,1.7891
0.017155401,1.027775,-0.08464
0.017203401,1.027246,1.8106
0.017251201,1.030156,1.79543
0.017299001,1.02886,1.80367
0.017346901,1.028781,1.81046
0.017394701,1.028958,1.79101
0.017442601,1.029773,1.8164
0.017490401,1.028691,1.81053
0.017538301,1.030167,1.82491
0.017586201,1.02669,1.79061
0.017634201,1.024824,1.81462
0.017682101,1.029547,1.79971
0.017730101,1.029495,1.81554
0.017778001,1.027493,1.81317
0.017826001,1.028372,1.82438
0.017874001,1.02678,1.78065
0.017922001,1.028762,1.77894
0.017970101,1.026498,1.81033
0.018018101,1.03174,1.79358
0.018066201,1.031954,1.80657
0.018114201,1.030073,1.80776
0.018162001,1.030572,1.79919
0.018209801,1.029536,1.78283
0.018257601,1.028586,1.80209
0.018305501,1.028631,1.79048
0.018353401,1.028447,1.80882
0.018401201,1.027433,1.79312
0.018449101,1.027448,1.79497
0.018497001,1.030287,1.78751
0.018545001,1.029022,1.81937
0.018592901,1.029866,1.79945
0.018640901,1.030557,1.79239
0.018688901,1.029739,1.81831
0.018736901,1.026975,1.79846
0.018784901,1.029213,1.80835
0.018832901,1.026044,1.79859
0.018881001,1.028383,-0.05701
0.018929001,1.02678,1.81561
0.018977101,1.030542,1.1892
0.019025101,1.026487,1.77696
0.019072901,1.028819,1.81574
0.019120701,1.028387,1.80677
0.019168501,1.025609,1.79503
0.019216401,1.028342,1.79628
0.019264201,1.027715,1.81501
0.019312101,1.025969,1.79233
0.019360001,1.026994,1.80532
0.019407901,1.026562,1.81798
0.019455901,1.029634,1.80004
0.019503801,1.027137,1.80717
0.019551801,1.028781,1.8346
0.019599801,1.031158,1.79787
0.019647801,1.029352,1.81851
0.019695801,1.029412,1.7922
0.019743801,1.02939,1.79681
0.019791901,1.031597,-0.06796
0.019839901,1.028766,1.81389
0.019888001,1.029731,1.65139
0.019935901,1.028793,1.79549
0.019983701,1.025049,1.81811
0.020031501,1.030204,1.79088
0.020079301,1.031184,1.82979
0.020127201,1.029911,1.80459
0.020175101,1.027621,1.82834
0.020222901,1.028466,1.81693
0.020270901,1.028672,1.81482
0.020318801,1.029284,1.81191
0.020366701,1.029701,1.80044
0.020414701,1.027527,1.78606
0.020462601,1.028286,1.80222
0.020510601,1.028248,1.81877
0.020558601,1.027238,1.80605
0.020606601,1.029513,1.8009
0.020654701,1.028575,1.79437
0.020702701,1.028496,1.81073
0.020750801,1.026311,1.79774
0.020798901,1.029476,1.62336
0.020846701,1.024632,1.8199
0.020894501,1.027722,1.81383
0.020942301,1.028766,1.77749
0.020990101,1.029269,1.82161
0.021038001,1.030261,1.79602
0.021085901,1.027272,1.79253
0.021133801,1.0291,1.79345
0.021181701,1.029461,1.8075
0.021229601,1.028229,1.81191
0.021277601,1.029296,1.81442
0.021325501,1.028868,1.81521
0.021373501,1.029671,1.8073
0.021421501,1.028034,1.81528
0.021469501,1.027283,1.80479
0.021517501,1.030546,1.7763
0.021565601,1.019608,-0.01223
0.021613601,1.031057,1.81732
0.021661701,1.031319,0.44692
0.021709701,1.025894,1.79015
0.021757501,1.027963,1.79318
0.021805301,1.028533,1.82392
0.021853101,1.029104,1.80743
0.021901001,1.026844,1.8007
0.021948901,1.028984,1.80308
0.021996701,1.030445,1.81574
0.022044601,1.029371,1.80855
0.022092501,1.031199,1.84562
0.022140501,1.032266,1.81825
0.022188401,1.032239,1.79134
0.022236401,1.029472,1.81772
0.022284401,1.030204,1.81132
0.022332401,1.029007,1.81046
0.022380401,1.03052,1.79351
0.022428401,1.030035,1.80717
0.022476501,1.032529,-0.06769
0.022524501,1.02818,1.81191
0.022572601,1.032202,1.04734
0.022620501,1.028462,1.81191
0.022668301,1.029108,1.81976
0.022716101,1.028218,1.81007
0.022763901,1.029664,1.81086
0.022811801,1.025747,1.82082
0.022859601,1.030553,1.80882
0.022907501,1.029945,1.81917
0.022955401,1.030178,1.79899
0.023003401,1.018245,1.79589
0.023051301,1.029983,1.79985
0.023099201,1.030332,1.82768
0.023147201,1.028068,1.83572
0.023195201,1.028233,1.83032
0.023243201,1.029367,1.83302
0.023291201,1.028274,1.81495
0.023339301,1.034331,0.11552
0.023387301,1.028597,1.83638
0.023435401,1.031503,0.24966
0.023483401,1.027565,1.83473
0.023531201,1.026337,1.81713
0.023579001,1.02939,1.82174
0.023626801,1.031319,1.80783
0.023674701,1.031087,1.83388
0.023722601,1.028654,1.82992
0.023770401,1.029277,1.80934
0.023818301,1.030324,1.81132
0.023866201,1.02853,1.83381
0.023914201,1.02898,1.81086
0.023962101,1.029123,1.81257
0.024010101,1.026585,1.83849
0.024058001,1.028669,1.82174
0.024106001,1.028282,1.83289
0.024154001,1.022023,1.80908
0.024202101,1.029303,0.62341
0.024250101,1.029217,1.84364
0.024298201,1.027193,-0.08398
0.024346201,1.02916,1.79899
0.024394201,1.028943,1.81442
0.024442001,1.029513,1.82003
0.024489801,1.029592,1.81548
0.024537701,1.029544,1.8226
0.024585501,1.025687,1.79417
0.024633401,1.025578,1.8133
0.024681201,1.029149,1.83869
0.024729101,1.026799,1.81897
0.024777101,1.025068,1.80967
0.024825001,1.026423,1.82636
0.024872901,1.027565,1.81159
0.024920901,1.028879,1.8443
0.024968901,1.029626,1.82992
0.025016901,1.028691,1.83269
0.025064901,1.028631,1.79193
0.025112901,1.027523,1.80585
0.025161001,1.032652,-0.06901
0.025209001,1.026626,1.81554
0.025257101,1.028143,0.40676
0.025305001,1.028109,1.81027
0.025352801,1.029836,1.80888
0.025400601,1.029592,1.81904
0.025448401,1.02895,1.83328
0.025496301,1.030486,1.81864
0.025544201,1.029799,1.83328
0.025592001,1.03088,1.82253
0.025639901,1.028905,1.83177
0.025687901,1.028027,1.81257
0.025735801,1.027561,1.80374
0.025783701,1.027696,1.84423
0.025831701,1.029679,1.81488
0.025879701,1.027058,1.81732
0.025927701,1.028019,1.81191
0.025975701,1.028177,1.81891
0.026023701,1.027219,1.83645
0.026071801,1.027722,1.84463
0.026119901,1.033126,-0.0921
0.026167901,1.029671,1.83816
0.026215801,1.029262,1.82893
0.026263601,1.028766,1.81244
0.026311401,1.029611,1.80835
0.026359201,1.029784,1.84601
0.026407101,1.029589,1.84905
0.026455001,1.027309,1.81007
0.026502801,1.029765,1.83407
0.026550701,1.0291,1.84469
0.026598701,1.028962,1.82082
0.026646601,1.025676,1.80862
0.026694601,1.028391,1.7953
0.026742501,1.028732,1.84232
0.026790501,1.027332,1.83322
0.026838501,1.029408,1.80954
0.026886501,1.025785,1.84357
0.026934601,1.027426,1.8137
0.026982601,1.027298,1.83368
0.027030701,1.026761,1.78962
0.027078801,1.030197,0.34615
0.027126601,1.028988,1.82352
0.027174401,1.029742,1.82181
0.027222201,1.028943,1.82181
0.027270001,1.02749,1.84865
0.027317901,1.028567,1.81337
0.027365801,1.027542,1.81205
0.027413701,1.028699,1.80901
0.027461601,1.028274,1.81877
0.027509501,1.025473,1.84707
0.027557501,1.028849,1.85036
0.027605401,1.028609,1.85096
0.027653401,1.029953,1.82952
0.027701401,1.029232,1.80835
0.027749401,1.029615,1.82095
0.027797401,1.027362,1.82768
0.027845501,1.02295,-0.05384
0.027893501,1.027186,1.80868
0.027941601,1.033028,0.25303
0.027989601,1.027411,1.8406
0.028037401,1.026968,1.84555
0.028085201,1.030358,1.84159
0.028133001,1.026682,1.8228
0.028180901,1.029495,1.84588
0.028228701,1.029348,1.82511
0.028276601,1.029243,1.84667
0.028324501,1.028571,1.84753
0.028372401,1.02782,1.83361
0.028420301,1.026581,1.81574
0.028468301,1.029085,1.81337
0.028516301,1.029183,1.81066
0.028564201,1.030054,1.80018
0.028612201,1.028883,1.86388
0.028660201,1.029645,1.83955
0.028708301,1.030565,1.83645
0.028756301,1.028466,1.81488
0.028804401,1.033231,1.24414
0.028852501,1.034868,-0.06222
0.028900301,1.028785,1.81917
0.028948101,1.029893,1.82036
0.028996001,1.029712,1.7639
0.029043801,1.02966,1.80248
0.029091601,1.032146,1.77742
0.029139501,1.029761,1.78929
0.029187401,1.029532,1.79134
0.029235301,1.02844,1.79437
0.029283201,1.028406,1.78158
0.029331101,1.028999,1.79312
0.029379101,1.027478,1.75619
0.029427101,1.028004,1.79305
0.029475101,1.029112,1.79932
0.029523101,1.02945,1.78039
