Time [s],Capacitor voltage [V],GPIO [V]
5.4153e-06,1.03204,-0.06875
3.22153e-05,1.031432,-0.07106
5.89153e-05,1.031601,-0.0582
8.57153e-05,1.028943,-0.08478
0.0001125153,1.030854,-0.05437
0.0001392153,1.031567,-0.05444
0.0001660153,1.030921,-0.04191
0.0001928153,1.029941,-0.05602
0.0002196153,1.030201,-0.04098
0.0002464153,1.030535,-0.05668
0.0002732153,1.032378,-0.02298
0.0003000153,1.032281,-0.07027
0.0003268153,1.031793,-0.05114
0.0003536153,1.032292,-0.06895
0.0003804153,1.030032,-0.06941
0.0004072153,1.033674,-0.06829
0.0004340153,1.031027,-0.0425
0.0004609153,1.033798,-0.02845
0.0004877153,1.030745,-0.07046
0.0005146153,1.032435,-0.04171
0.0005413153,1.031263,-0.0551
0.0005680153,1.031755,-0.05998
0.0005947153,1.031158,-0.0613
0.0006214153,1.032134,-0.06789
0.0006481153,1.031139,-0.04164
0.0006748153,1.029821,-0.06182
0.0007015153,1.031072,-0.05754
0.0007282153,1.030831,-0.06954
0.0007550153,1.031676,-0.08214
0.0007817153,1.030681,-0.04145
0.0008084153,1.032435,-0.06486
0.0008351153,1.031162,-0.03887
0.0008619153,1.031289,-0.0516
0.0008886153,1.031488,-0.03841
0.0009154153,1.031312,-0.05312
0.0009421153,1.029926,-0.05068
0.0009689153,1.030234,-0.0551
0.0009957153,1.029784,-0.04138
0.0010225153,1.031233,-0.0392
0.0010492153,1.02975,-0.06367
0.0010760153,1.030276,-0.05338
0.0011028153,1.031425,-0.08115
0.0011296153,1.031222,-0.05365
0.0011564153,1.03106,-0.04283
0.0011832153,1.029833,-0.07145
0.0012100153,1.031087,-0.0518
0.0012368153,1.030065,-0.04896
0.0012637153,1.030388,-0.0793
0.0012905153,1.031458,-0.05239
0.0013173153,1.031965,-0.05622
0.0013442153,1.031947,-0.04916
0.0013710153,1.031109,-0.07033
0.0013978153,1.031913,-0.05793
0.0014245153,1.031045,-0.03432
0.0014512153,1.032412,-0.06367
0.0014779153,1.030809,-0.046
0.0015046153,1.03159,-0.0671
0.0015313153,1.031901,-0.04943
0.0015580153,1.030407,-0.07798
0.0015847153,1.032134,-0.04844
0.0016114153,1.030813,-0.06354
0.0016381153,1.02999,-0.06835
0.0016649153,1.03201,-0.06545
0.0016916153,1.031751,-0.06585
0.0017183153,1.032209,-0.04962
0.0017451153,1.030959,-0.04243
0.0017718153,1.029359,-0.0547
0.0017986153,1.031289,-0.06763
0.0018254153,1.029299,-0.04455
0.0018521153,1.030114,-0.05074
0.0018789153,1.030441,-0.0553
0.0019057153,1.031361,-0.04468
0.0019325153,1.029652,-0.07086
0.0019593153,1.030385,-0.06426
0.0019860153,1.031841,-0.07079
0.0020128153,1.033486,-0.05431
0.0020397153,1.032277,-0.05391
0.0020665153,1.028962,-0.06275
0.0020933153,1.029806,-0.06268
0.0021201153,1.030617,-0.05648
0.0021469153,1.031522,-0.06849
0.0021738153,1.032776,-0.05437
0.0022006153,1.030174,-0.03999
0.0022274153,1.031184,-0.05899
0.0022543153,1.028883,-0.04718
0.0022810153,1.030771,-0.06849
0.0023076153,1.032622,-0.06407
0.0023343153,1.031132,-0.04237
0.0023610153,1.031327,-0.04672
0.0023877153,1.029566,-0.08675
0.0024144153,1.031267,-0.05332
0.0024412153,1.031282,-0.06585
0.0024679153,1.029164,-0.05325
0.0024946153,1.029055,-0.07093
0.0025213153,1.031398,-0.04817
0.0025481153,1.032022,-0.058
0.0025748153,1.02904,-0.05741
0.0026015153,1.031729,-0.06783
0.0026283153,1.031004,-0.05694
0.0026551153,1.031158,-0.04969
0.0026818153,1.031815,-0.0392
0.0027086153,1.031207,-0.04699
0.0027354153,1.031939,-0.06664
0.0027621153,1.031984,-0.05675
0.0027889153,1.03064,-0.0644
0.0028157153,1.030936,-0.05055
0.0028425153,1.031766,-0.06829
