Time [s],Capacitor voltage [V],GPIO [V]
4.808247e-05,1.019259,-0.06855
9.600247e-05,1.026742,1.80492
0.00014380247,1.025038,1.79905
0.00019162247,1.02393,1.79431
0.00023946247,1.026209,1.81924
0.00028730247,1.022931,1.79595
0.00033516247,1.027681,1.77689
0.00038304247,1.02604,1.79213
0.00043094247,1.02455,1.80149
0.00047886247,1.02669,1.78336
0.00052678247,1.02482,1.78441
0.00057472247,1.026581,1.79358
0.00062268247,1.028503,1.79681
0.00067066247,1.027895,1.79971
0.00071866247,1.023431,1.80163
0.00076666247,1.025124,1.79127
0.00081470247,1.029637,0.22744
0.00086274247,1.026476,0.03433
0.00091080247,1.017198,-0.04211
0.00095888247,1.028252,-0.05345
0.00100668247,1.023142,1.78817
0.00105450247,1.023044,1.81013
0.00110232247,1.025042,1.78646
0.00115016247,1.026555,1.78712
0.00119800247,1.023277,1.80084
0.00124588247,1.02467,1.8135
0.00129376247,1.023682,1.79886
0.00134166247,1.025195,1.79879
0.00138958247,1.025244,1.792
0.00143752247,1.026848,1.78883
0.00148546247,1.025049,1.81752
0.00153344247,1.024981,1.77854
0.00158142247,1.025507,1.79793
0.00162942247,1.024771,1.79424
0.00167744247,1.028387,1.36134
0.00172548247,1.025515,0.02978
0.00177352247,1.027921,0.07311
0.00182160247,1.014885,-0.06314
0.00186956247,1.022868,1.80591
0.00191736247,1.023555,1.79681
0.00196516247,1.024711,1.78422
0.00201300247,1.025177,1.79576
0.00206084247,1.025492,1.80525
0.00210870247,1.024933,1.79589
0.00215656247,1.026269,1.81455
0.00220446247,1.025297,1.8042
0.00225236247,1.024951,1.79991
0.00230028247,1.025695,1.79101
0.00234822247,1.025849,1.80393
0.00239618247,1.025094,1.79912
0.00244414247,1.024677,1.80387
0.00249214247,1.024557,1.79648
0.00254014247,1.025012,1.81594
0.00258816247,1.025365,1.69723
0.00263620247,1.028267,0.27459
0.00268426247,1.018985,-0.05299
0.00273234247,1.021786,-0.0553
0.00278028247,1.024794,1.79668
0.00282808247,1.021253,1.78877
0.00287590247,1.024426,1.7852
0.00292374247,1.023108,1.79701
0.00297158247,1.022278,1.79905
0.00301944247,1.024985,1.79589
0.00306734247,1.025019,1.79708
0.00311522247,1.024756,1.80334
0.00316314247,1.025241,1.78105
0.00321108247,1.025777,1.8009
0.00325902247,1.025289,1.80697
0.00330698247,1.023818,1.79767
0.00335496247,1.024764,1.80084
0.00340296247,1.027062,1.77663
0.00345096247,1.025015,1.81844
0.00349900247,1.028503,0.05036
0.00354704247,1.019567,0.00564
0.00359510247,1.02758,-0.06783
0.00364318247,1.016759,-0.05121
0.00369100247,1.018722,1.77795
0.00373880247,1.022165,1.77815
0.00378662247,1.021914,1.80308
0.00383446247,1.026055,1.82689
0.00388232247,1.02541,1.8071
0.00393020247,1.02307,1.77472
0.00397808247,1.025826,1.80994
0.00402598247,1.02556,1.79879
0.00407390247,1.026821,1.80295
0.00412184247,1.024722,1.79365
0.00416978247,1.024846,1.80783
0.00421776247,1.025357,1.81851
0.00426574247,1.026134,1.78936
0.00431374247,1.024828,1.80413
0.00436176247,1.023622,1.64829
0.00440980247,1.024508,0.05095
0.00445784247,1.026983,0.09791
0.00450592247,1.021114,-0.04032
0.00455390247,1.02613,1.82069
0.00460170247,1.026881,1.7827
0.00464952247,1.026911,1.79628
0.00469734247,1.023836,1.792
0.00474518247,1.025233,1.78916
0.00479304247,1.023746,1.80657
0.00484092247,1.026438,1.79648
0.00488882247,1.023806,1.80664
0.00493672247,1.024212,1.81033
0.00498466247,1.025042,1.79259
0.00503260247,1.026566,1.80941
0.00508056247,1.022868,1.83374
0.00512852247,1.024621,1.79839
0.00517652247,1.024715,1.79035
0.00522452247,1.02464,1.80928
0.00527256247,1.030122,0.11598
0.00532060247,1.013815,-0.05061
0.00536866247,1.020266,-0.06605
0.00541672247,1.032176,-0.07416
0.00546462247,1.024125,1.81798
0.00551242247,1.024929,1.76845
0.00556024247,1.025973,1.81172
0.00560808247,1.024369,1.78982
0.00565592247,1.025342,1.80835
0.00570380247,1.024298,1.79041
0.00575168247,1.024602,1.79839
0.00579958247,1.025924,1.81633
0.00584748247,1.025868,1.83005
0.00589542247,1.02568,1.81515
0.00594336247,1.024114,1.80994
0.00599132247,1.028064,1.79279
0.00603930247,1.028064,1.80479
0.00608730247,1.02746,1.81449
0.00613530247,1.025027,1.79741
0.00618334247,1.030249,0.27228
0.00623138247,1.029018,0.12152
0.00627946247,1.019075,-0.06189
0.00632752247,1.02907,-0.06855
0.00637530247,1.027794,1.83289
0.00642310247,1.025098,1.79985
0.00647092247,1.025586,1.79497
0.00651876247,1.023911,1.83553
0.00656662247,1.02607,1.7976
0.00661448247,1.025135,1.80235
0.00666238247,1.023123,1.80519
0.00671028247,1.028443,1.78916
0.00675818247,1.023908,1.81508
0.00680612247,1.024422,1.8129
0.00685408247,1.025567,1.79985
0.00690204247,1.025357,1.80578
0.00695002247,1.027152,1.81732
0.00699802247,1.027208,1.79872
0.00704604247,1.022931,1.79846
0.00709408247,1.032213,0.10391
0.00714214247,1.031075,-0.08174
0.00719020247,1.029258,-0.03901
0.00723822247,1.025766,1.83447
0.00728602247,1.024662,1.8011
0.00733382247,1.023863,1.79127
0.00738164247,1.021234,1.80809
0.00742948247,1.027077,1.81218
0.00747734247,1.023502,1.79655
0.00752522247,1.023863,1.81073
0.00757310247,1.029247,1.81508
0.00762102247,1.027148,1.79549
0.00766894247,1.025473,1.8162
0.00771688247,1.025027,1.79325
0.00776484247,1.025019,1.81086
