Time [s],Capacitor voltage [V],GPIO [V]
1.1514e-06,1.029727,1.8193
3.90514e-05,1.029649,1.80281
7.69514e-05,1.031338,1.81033
0.0001149514,1.027358,1.82847
0.0001528514,1.021133,1.80123
0.0001907514,1.030557,1.80657
0.0002287514,1.029592,1.80077
0.0002666514,1.031271,1.82148
0.0003046514,1.029757,1.81264
0.0003426514,1.027039,1.79345
0.0003806514,1.028886,1.81191
0.0004186514,1.02916,1.80453
0.0004566514,1.028958,1.81904
0.0004946514,1.029097,1.78969
0.0005327514,1.029592,1.79332
0.0005707514,1.031518,1.84509
0.0006088514,1.031485,1.79945
0.0006468514,1.031049,1.82867
0.0006847514,1.028563,1.78145
0.0007226514,1.031462,1.79041
0.0007604514,1.029251,1.85083
0.0007983514,1.029446,1.79714
0.0008361514,1.030156,1.85201
0.0008740514,1.028594,1.79253
0.0009119514,1.029604,1.83064
0.0009498514,1.028875,1.79774
0.0009877514,1.029483,1.80822
0.0010257514,1.028417,1.82082
0.0010636514,1.028631,1.81607
0.0011015514,1.029769,1.82009
0.0011395514,1.028274,1.78316
0.0011775514,1.029194,1.80525
0.0012154514,1.031811,1.77577
0.0012534514,1.029705,1.82352
0.0012914514,1.029968,1.81501
0.0013294514,1.029596,1.78672
0.0013675514,1.028256,1.84041
0.0014055514,1.028894,1.78916
0.0014435514,1.030035,1.8164
0.0014816514,1.029149,1.83553
0.0015197514,1.029236,1.81488
0.0015576514,1.027993,1.81627
0.0015955514,1.028657,1.78969
0.0016333514,1.02853,1.80723
0.0016712514,1.026097,1.78804
0.0017090514,1.028098,1.79081
0.0017469514,1.029472,1.85056
0.0017848514,1.033129,1.81534
0.0018227514,1.025744,1.81792
0.0018606514,1.027358,1.80182
0.0018985514,1.030107,1.83203
0.0019365514,1.028717,1.84245
0.0019744514,1.028241,1.81066
0.0020124514,1.02892,1.8348
0.0020503514,1.031365,1.79747
0.0020883514,1.028609,1.8168
0.0021263514,1.029401,1.79384
0.0021643514,1.030279,1.81257
0.0022023514,1.028905,1.82853
0.0022403514,1.029037,1.79965
0.0022783514,1.028485,1.81633
0.0023164514,1.030884,1.78118
0.0023544514,1.029191,1.79253
0.0023925514,1.031425,1.82636
0.0024305514,1.027816,1.79332
0.0024683514,1.029172,1.81864
0.0025062514,1.028984,1.80947
0.0025440514,1.030861,1.81053
0.0025819514,1.029795,1.77676
0.0026198514,1.030362,1.79286
0.0026577514,1.029112,1.82352
0.0026956514,1.026915,1.80611
0.0027335514,1.025807,1.80809
0.0027714514,1.028015,1.80268
0.0028093514,1.028218,1.78916
0.0028473514,1.03005,1.7916
0.0028852514,1.028436,1.81422
0.0029232514,1.02942,1.81838
0.0029611514,1.028237,1.82906
0.0029991514,1.029566,1.80802
0.0030371514,1.028871,1.79648
0.0030751514,1.028992,1.84529
0.0031131514,1.030565,1.82603
0.0031512514,1.029987,1.79041
0.0031892514,1.029427,1.82234
0.0032272514,1.031466,1.80202
0.0032653514,1.029949,1.80558
0.0033034514,1.028083,1.81825
0.0033413514,1.029172,1.79925
0.0033791514,1.029311,1.84225
0.0034170514,1.030764,1.81904
0.0034548514,1.030636,1.79872
0.0034927514,1.029359,1.79193
0.0035306514,1.029179,1.83216
0.0035685514,1.032093,1.83797
0.0036064514,1.027013,1.7949
0.0036443514,1.028913,1.8253
0.0036822514,1.031289,1.78646
0.0037202514,1.031098,1.84931
0.0037581514,1.030873,1.80051
0.0037961514,1.030163,1.7982
0.0038340514,1.029311,1.83144
0.0038720514,1.03055,1.79384
0.0039100514,1.028334,1.84575
0.0039480514,1.032284,1.83302
0.0039860514,1.032495,1.81046
0.0040240514,1.032296,1.84865
0.0040620514,1.029964,1.8162
0.0041001514,1.029164,1.82464
0.0041381514,1.03109,1.8102
0.0041762514,1.028992,1.81548
0.0042142514,1.029742,1.80255
0.0042520514,1.029164,1.8011
0.0042899514,1.028616,1.79886
0.0043277514,1.02975,1.78309
0.0043656514,1.02963,1.84416
0.0044035514,1.029104,1.77703
0.0044414514,1.029483,1.79497
0.0044793514,1.027963,1.8098
0.0045172514,1.028612,1.79411
0.0045551514,1.029881,1.85023
0.0045931514,1.029791,1.79793
0.0046310514,1.030092,1.79206
0.0046689514,1.029566,1.77973
0.0047069514,1.029547,1.80222
0.0047449514,1.029371,1.81567
0.0047829514,1.02969,1.78428
0.0048209514,1.02892,1.82537
0.0048589514,1.029964,1.79793
0.0048969514,1.033921,1.82748
0.0049349514,1.032052,1.80769
0.0049729514,1.03263,1.79595
0.0050110514,1.030798,1.80862
0.0050490514,1.031391,1.79648
0.0050871514,1.029788,1.80558
0.0051250514,1.031871,1.77894
0.0051628514,1.030726,1.81818
0.0052007514,1.03103,1.84839
0.0052385514,1.02913,1.79464
0.0052764514,1.030985,1.82761
0.0053143514,1.031312,1.78118
0.0053522514,1.030535,1.81271
0.0053901514,1.029067,1.81778
0.0054280514,1.030212,1.81244
0.0054659514,1.032179,1.85036
0.0055039514,1.032198,1.79101
0.0055418514,1.029821,1.83559
0.0055798514,1.029682,1.78837
0.0056177514,1.029596,1.80868
0.0056557514,1.031004,1.84608
0.0056937514,1.029679,1.8162
0.0057317514,1.029446,1.81515
0.0057697514,1.02966,1.80097
0.0058078514,1.032712,1.80783
0.0058458514,1.033985,1.81185
0.0058838514,1.029217,1.80459
0.0059219514,1.031207,1.84318
0.0059599514,1.029585,1.79774
0.0059978514,1.029803,1.80736
0.0060357514,1.030557,1.79701
0.0060735514,1.030651,1.82999
0.0061114514,1.028808,1.81686
0.0061493514,1.028049,1.79879
0.0061871514,1.029945,1.81871
0.0062250514,1.029191,1.79121
0.0062629514,1.02987,1.83698
0.0063009514,1.030606,1.77617
0.0063388514,1.030685,1.82741
0.0063767514,1.031301,1.80644
0.0064147514,1.032161,1.7918
0.0064526514,1.029983,1.81785
0.0064906514,1.030242,1.80796
0.0065286514,1.029765,1.79424
0.0065665514,1.029052,1.84067
0.0066045514,1.026697,1.7953
0.0066425514,1.031105,1.82102
0.0066806514,1.029164,1.78916
0.0067186514,1.030741,1.82834
0.0067566514,1.029472,1.80077
0.0067947514,1.028785,1.81996
0.0068328514,1.026438,1.79872
0.0068708514,1.031958,1.82168
0.0069086514,1.03008,1.81811
0.0069465514,1.03091,1.80426
0.0069843514,1.031023,1.81224
0.0070222514,1.032375,1.7916
0.0070601514,1.029059,1.79279
0.0070980514,1.029052,1.80947
0.0071359514,1.030167,1.78778
0.0071738514,1.028361,1.82392
0.0072117514,1.028931,1.78006
0.0072496514,1.027632,1.81693
0.0072876514,1.02916,1.8505
0.0073255514,1.030415,1.80532
0.0073635514,1.028331,1.82082
0.0074015514,1.027873,1.79642
0.0074394514,1.028552,1.80539
0.0074774514,1.029851,1.78659
0.0075154514,1.02782,1.81785
0.0075535514,1.033095,1.83704
0.0075915514,1.031282,1.81548
0.0076295514,1.030392,1.80816
0.0076676514,1.03088,1.81534
0.0077056514,1.029788,1.81185
0.0077437514,1.028916,1.85129
0.0077815514,1.029318,1.79886
0.0078194514,1.029198,1.83064
0.0078572514,1.031372,1.81238
0.0078951514,1.029363,1.81838
0.0079330514,1.028736,1.78586
0.0079709514,1.02818,1.79615
0.0080088514,1.029217,1.84416
0.0080467514,1.030092,1.79015
0.0080846514,1.02844,1.81376
0.0081225514,1.033527,1.79952
0.0081605514,1.029191,1.81211
0.0081984514,1.030858,1.83032
0.0082364514,1.030084,1.8106
0.0082743514,1.030978,1.82365
0.0083123514,1.030674,1.80321
0.0083503514,1.02895,1.82985
0.0083883514,1.029029,1.80809
0.0084263514,1.031984,1.83487
0.0084644514,1.028556,1.84575
0.0085024514,1.029104,1.79642
0.0085404514,1.028759,1.80116
0.0085785514,1.027858,1.78646
0.0086166514,1.028357,1.80539
0.0086545514,1.028969,1.83183
0.0086923514,1.030156,1.81383
0.0087302514,1.031124,1.81937
0.0087680514,1.029393,1.79417
0.0088059514,1.019943,1.80802
0.0088438514,1.029029,1.78817
0.0088817514,1.031256,1.80763
0.0089196514,1.030753,1.8199
0.0089575514,1.031004,1.78527
0.0089954514,1.029333,1.83216
