Time [s],Capacitor voltage [V]
9.29229e-05,1.018587
0.0002208229,1.01867
0.0003488229,1.016015
0.0004769229,1.01802
0.0006046229,1.020675
0.0007321229,1.016943
0.0008598229,1.02007
0.0009875229,1.018249
0.0011154229,1.019954
0.0012434229,1.021786
0.0013715229,1.019248
0.0014994229,1.019466
0.0016269229,1.020183
0.0017545229,1.020382
0.0018822229,1.019507
0.0020101229,1.020618
0.0021381229,1.018313
0.0022661229,1.019965
0.0023941229,1.019796
0.0025216229,1.018794
0.0026492229,1.019496
0.0027769229,1.018659
0.0029047229,1.015951
0.0030327229,1.018249
0.0031607229,1.020585
0.0032889229,1.020649
0.0034164229,1.019301
0.0035439229,1.020829
0.0036716229,1.017491
0.0037994229,1.019026
0.0039273229,1.017956
0.0040553229,1.019195
0.0041835229,1.01701
0.0043111229,1.017254
0.0044387229,1.017709
0.0045663229,1.017243
0.0046941229,1.016623
0.0048220229,1.018981
0.0049500229,1.020945
0.0050781229,1.017784
0.0052059229,1.01823
0.0053335229,1.017855
0.0054611229,1.016203
0.0055888229,1.018279
0.0057167229,1.019597
0.0058446229,1.02001
0.0059727229,1.016969
0.0061007229,1.019834
0.0062282229,1.017791
0.0063558229,1.017555
0.0064835229,1.017273
0.0066113229,1.018685
0.0067393229,1.019518
0.0068673229,1.017299
0.0069955229,1.01897
0.0071230229,1.019349
0.0072506229,1.019128
0.0073783229,1.020164
0.0075061229,1.016924
0.0076340229,1.019132
0.0077620229,1.018722
0.0078902229,1.019282
0.0080178229,1.019522
0.0081453229,1.018771
0.0082730229,1.01909
0.0084008229,1.019578
0.0085287229,1.016973
0.0086567229,1.018888
0.0087848229,1.017859
0.0089125229,1.018812
0.0090400229,1.017205
0.0091677229,1.019834
0.0092954229,1.018903
0.0094233229,1.019931
0.0095513229,1.019657
0.0096794229,1.021944
0.0098073229,1.018512
0.0099348229,1.020326
0.0100624229,1.017112
0.0101901229,1.016451
0.0103180229,1.016991
0.0104459229,1.019586
0.0105740229,1.021016
0.0107021229,1.019428
0.0108295229,1.020153
0.0109571229,1.020983
0.0110848229,1.019717
0.0112126229,1.019901
0.0113405229,1.018467
0.0114686229,1.019334
0.0115967229,1.020408
0.0117242229,1.020183
0.0118518229,1.02007
0.0119795229,1.017772
0.0121073229,1.01597
0.0122352229,1.018366
0.0123632229,1.021054
0.0124913229,1.020476
0.0126190229,1.019669
0.0127465229,1.02259
0.0128742229,1.021028
0.0130019229,1.018024
0.0131298229,1.014453
0.0132578229,1.019477
0.0133859229,1.018065
0.0135137229,1.016413
0.0136412229,1.019706
0.0137688229,1.020044
0.0138966229,1.019958
0.0140244229,1.01968
0.0141524229,1.017127
0.0142804229,1.019342
0.0144085229,1.017573
0.0145360229,1.019304
0.0146636229,1.01683
0.0147913229,1.017765
0.0149191229,1.017333
0.0150470229,1.018441
0.0151750229,1.018786
0.0153032229,1.019556
0.0154307229,1.019237
0.0155583229,1.019856
0.0156860229,1.018268
0.0158137229,1.018899
0.0159416229,1.018869
0.0160696229,1.019766
0.0161978229,1.021482
0.0163255229,1.020833
0.0164530229,1.020048
0.0165806229,1.019406
0.0167084229,1.022646
0.0168363229,1.019931
0.0169643229,1.016916
0.0170924229,1.019623
0.0172202229,1.01968
0.0173477229,1.019717
0.0174753229,1.018955
0.0176030229,1.01906
0.0177309229,1.018722
0.0178588229,1.020281
0.0179869229,1.019511
0.0181149229,1.02096
0.0182424229,1.019154
0.0183700229,1.019883
0.0184977229,1.018925
