Time [s],Capacitor voltage [V]
5.6193e-06,0.776135
3.25193e-05,0.779826
5.94193e-05,0.779072
8.62193e-05,0.781062
0.0001130193,0.77805
0.0001397193,0.778782
0.0001665193,0.776053
0.0001932193,0.777555
0.0002200193,0.77757
0.0002468193,0.776177
0.0002735193,0.779308
0.0003003193,0.777239
0.0003271193,0.77805
0.0003539193,0.779871
0.0003807193,0.777611
0.0004075193,0.781039
0.0004343193,0.778336
0.0004611193,0.780266
0.0004879193,0.780423
0.0005148193,0.779207
0.0005416193,0.780262
0.0005684193,0.778888
0.0005953193,0.77757
0.0006221193,0.778711
0.0006490193,0.779087
0.0006758193,0.778921
0.0007027193,0.777179
0.0007296193,0.778903
0.0007564193,0.778711
0.0007833193,0.778711
0.0008102193,0.779271
0.0008371193,0.778095
0.0008640193,0.777037
0.0008909193,0.779274
0.0009178193,0.777769
0.0009447193,0.778843
0.0009714193,0.779259
0.0009982193,0.778369
0.0010249193,0.778614
0.0010517193,0.778737
0.0010784193,0.777581
0.0011052193,0.778193
0.0011320193,0.776928
0.0011588193,0.777679
0.0011855193,0.779267
0.0012123193,0.776515
0.0012391193,0.776008
0.0012659193,0.779507
0.0012927193,0.780224
0.0013195193,0.776995
0.0013464193,0.780044
0.0013732193,0.779342
0.0014000193,0.777998
0.0014269193,0.775073
0.0014537193,0.779184
0.0014805193,0.777637
0.0015074193,0.780987
0.0015343193,0.779188
0.0015611193,0.777855
0.0015880193,0.778993
0.0016149193,0.778816
0.0016417193,0.778118
0.0016686193,0.779248
0.0016955193,0.778828
0.0017224193,0.791109
0.0017493193,0.780622
0.0017762193,0.777705
0.0018031193,0.779639
0.0018299193,0.77677
0.0018566193,0.777558
0.0018834193,0.77662
0.0019101193,0.777949
0.0019369193,0.777893
0.0019636193,0.779207
0.0019904193,0.778467
0.0020172193,0.781959
0.0020440193,0.778084
0.0020708193,0.778903
0.0020976193,0.781249
0.0021244193,0.778396
0.0021512193,0.781752
0.0021780193,0.781058
0.0022048193,0.781216
0.0022316193,0.779868
0.0022585193,0.779271
0.0022853193,0.780228
0.0023121193,0.777363
0.0023390193,0.77802
0.0023658193,0.775662
0.0023927193,0.775542
0.0024196193,0.777588
0.0024464193,0.776868
0.0024733193,0.776038
0.0025002193,0.777746
0.0025271193,0.776969
0.0025540193,0.779143
0.0025809193,0.778272
0.0026078193,0.777908
0.0026347193,0.776868
0.0026615193,0.780322
0.0026882193,0.780461
0.0027150193,0.777172
0.0027417193,0.781538
0.0027685193,0.778002
0.0027953193,0.77784
0.0028220193,0.779267
0.0028488193,0.778568
0.0028756193,0.777258
0.0029024193,0.777911
0.0029291193,0.778914
0.0029559193,0.77683
0.0029827193,0.779777
0.0030096193,0.776909
0.0030364193,0.774908
0.0030632193,0.779725
0.0030900193,0.780191
0.0031168193,0.778535
0.0031437193,0.77716
0.0031705193,0.777134
0.0031974193,0.777435
0.0032242193,0.777059
0.0032511193,0.776113
0.0032779193,0.778884
0.0033048193,0.77615
0.0033317193,0.776436
0.0033586193,0.776913
0.0033854193,0.776518
0.0034123193,0.777435
0.0034392193,0.776087
0.0034661193,0.778936
0.0034931193,0.780866
0.0035199193,0.777769
0.0035466193,0.778557
0.0035734193,0.78084
0.0036001193,0.778775
0.0036269193,0.778576
0.0036537193,0.779924
0.0036804193,0.779669
0.0037072193,0.777318
0.0037340193,0.777333
0.0037608193,0.778024
0.0037876193,0.778321
0.0038144193,0.778632
0.0038412193,0.777716
0.0038680193,0.778854
0.0038948193,0.779297
0.0039216193,0.780934
0.0039484193,0.780652
0.0039753193,0.779274
0.0040021193,0.778854
0.0040289193,0.777915
0.0040558193,0.778767
0.0040826193,0.777878
0.0041095193,0.779436
0.0041363193,0.778756
0.0041632193,0.779751
0.0041901193,0.778583
0.0042170193,0.77778
0.0042439193,0.776954
0.0042707193,0.775249
0.0042976193,0.776173
0.0043246193,0.778463
0.0043515193,0.777833
0.0043783193,0.775381
0.0044051193,0.778212
0.0044318193,0.782019
0.0044586193,0.779094
0.0044853193,0.776244
0.0045121193,0.77769
0.0045389193,0.777956
0.0045656193,0.78262
0.0045924193,0.777093
0.0046192193,0.777457
0.0046460193,0.776586
0.0046728193,0.778752
0.0046996193,0.779128
0.0047264193,0.779916
0.0047532193,0.779015
0.0047800193,0.779068
0.0048068193,0.776552
0.0048337193,0.776642
0.0048605193,0.779338
0.0048873193,0.777198
0.0049142193,0.776642
