# 20260131
# M2
# Calibrating in series before M15
# Channel 17 only

Timestamp,Log
15:02:27.856183,E
15:02:27.984354,R
15:02:27.984493,*
15:02:28.064363,U
15:02:28.064896,K
15:02:28.096432,Tuning to 23.26.20 for TX channel calibration.
15:02:28.096831,E
15:02:28.272171,U
15:02:28.288167,K
15:02:28.288346,E
15:02:28.432616,R
15:02:28.433189,*
15:02:28.496590,U
15:02:28.512289,K
15:02:28.528389,Tuning to 23.26.21 for TX channel calibration.
15:02:28.528778,E
15:02:28.640289,R
15:02:28.640506,*
15:02:28.720066,U
15:02:28.720171,K
15:02:28.736140,E
15:02:28.864164,R
15:02:28.864248,*
15:02:28.944065,U
15:02:28.944197,K
15:02:28.975955,Tuning to 23.26.22 for TX channel calibration.
15:02:28.976032,E
15:02:29.088655,R
15:02:29.089159,*
15:02:29.152206,U
15:02:29.168148,K
15:02:29.168454,E
15:02:29.312229,R
15:02:29.312832,*
15:02:29.376353,U
15:02:29.392174,K
15:02:29.408433,Tuning to 23.26.23 for TX channel calibration.
15:02:29.408720,E
15:02:29.600378,U
15:02:29.601449,K
15:02:29.619962,E
15:02:29.743829,R
15:02:29.743922,*
15:02:29.823887,U
15:02:29.823971,K
15:02:29.855946,Tuning to 23.26.24 for TX channel calibration.
15:02:29.856031,E
15:02:29.967895,R
15:02:29.968003,*
15:02:30.031851,U
15:02:30.047838,K
15:02:30.047934,E
15:02:30.176037,R
15:02:30.191967,*
15:02:30.256035,U
15:02:30.272403,K
15:02:30.288365,Tuning to 23.26.25 for TX channel calibration.
15:02:30.288862,E
15:02:30.400357,R
15:02:30.400977,*
15:02:30.480191,U
15:02:30.480751,K
15:02:30.495862,E
15:02:30.628615,R
15:02:30.628898,*
15:02:30.703695,U
15:02:30.703808,K
15:02:30.735827,Tuning to 23.26.26 for TX channel calibration.
15:02:30.735929,E
15:02:30.847676,R
15:02:30.847770,*
15:02:30.911801,U
15:02:30.927738,K
15:02:30.927828,E
15:02:31.071974,R
15:02:31.072268,*
15:02:31.136960,U
15:02:31.137398,K
15:02:31.168287,Tuning to 23.26.27 for TX channel calibration.
15:02:31.168694,E
15:02:31.280055,R
15:02:31.280669,*
15:02:31.360019,U
15:02:31.360651,K
15:02:31.375767,E
15:02:31.504006,R
15:02:31.504631,*
15:02:31.586457,U
15:02:31.586959,K
15:02:31.587038,A
15:02:31.600334,TX channel calibration ended.
15:02:31.631860,Decrementing RX tuning code to 23.29.15.
15:02:31.632023,d
15:02:31.727663,R
15:02:31.727766,*
15:02:31.759482,R
15:02:31.759588,Z
15:02:31.775510,*
15:02:31.775618,X
15:02:31.775648,s
15:02:31.791513,U
15:02:31.807495,K
15:02:31.807545,A
15:02:31.807567,d
15:02:31.935665,R
15:02:31.951557,*
15:02:32.159528,R
15:02:32.159636,*
15:02:32.207513,R
15:02:32.207621,Z
15:02:32.207662,*
15:02:32.207695,X
15:02:32.383740,R
15:02:32.383998,*
15:02:32.607941,R
15:02:32.608730,*
15:02:33.263942,R
15:02:33.264590,*
15:02:33.488810,R
15:02:33.492295,*
15:02:33.520925,R
15:02:33.523483,Z
15:02:33.535636,*
15:02:33.535795,X
15:02:33.919203,R
15:02:33.919306,*
15:02:34.143734,R
15:02:34.144250,*
15:02:34.207368,s
15:02:34.431085,U
15:02:34.447273,K
15:02:34.447454,E
15:02:34.575255,R
15:02:34.591256,*
15:02:34.655354,U
15:02:34.655556,K
15:02:34.671109,E
15:02:34.799057,R
15:02:34.799180,*
15:02:34.879029,U
15:02:34.879132,K
15:02:34.895075,A
15:02:34.895162,d
15:02:35.023082,R
15:02:35.023224,*
15:02:35.455057,R
15:02:35.455178,*
15:02:35.678984,R
15:02:35.679109,*
15:02:35.902864,R
15:02:35.902958,*
15:02:36.127295,R
15:02:36.127728,*
15:02:36.159071,R
15:02:36.159299,Z
15:02:36.175050,*
15:02:36.175276,X
15:02:36.175323,a
15:02:36.175363,C
15:02:36.334825,R
15:02:36.350718,*
15:02:36.559962,R
