# 20260131
# M15
# Channel 17 only

Timestamp,Log
16:09:12.348977,E
16:09:12.557264,U
16:09:12.557264,K
16:09:12.565334,E
16:09:12.733635,U
16:09:12.733635,S
16:09:12.769669,U
16:09:12.785655,K
16:09:12.785655,E
16:09:12.984061,U
16:09:12.999921,K
16:09:12.999921,E
16:09:13.185115,U
16:09:13.185115,S
16:09:13.217404,U
16:09:13.220530,K
16:09:13.220530,E
16:09:13.385865,U
16:09:13.401782,S
16:09:13.439782,U
16:09:13.439782,K
16:09:13.456402,E
16:09:13.606522,U
16:09:13.618458,S
16:09:13.653992,U
16:09:13.653992,K
16:09:13.671216,E
16:09:13.837533,U
16:09:13.853571,S
16:09:13.869462,U
16:09:13.887671,K
16:09:13.887671,E
16:09:14.052708,U
16:09:14.052708,S
16:09:14.089456,U
16:09:14.106522,K
16:09:14.106522,E
16:09:14.317309,U
16:09:14.333279,K
16:09:14.333279,E
16:09:14.485445,U
16:09:14.501618,S
16:09:14.539893,U
16:09:14.539893,K
16:09:14.558002,E
16:09:14.766879,U
16:09:14.766879,K
16:09:14.782898,E
16:09:14.937184,U
16:09:14.953123,S
16:09:15.119220,DAO sent
16:09:15.188815,U
16:09:15.214075,K
16:09:15.214075,E
16:09:15.384441,U
16:09:15.384441,S
16:09:15.420950,U
16:09:15.437772,K
16:09:15.437772,E
16:09:15.635910,U
16:09:15.635910,K
16:09:15.651978,E
16:09:15.805432,U
16:09:15.837083,S
16:09:15.858688,U
16:09:15.858688,K
16:09:15.874417,E
16:09:16.037283,U
16:09:16.053498,S
16:09:16.092205,U
16:09:16.092205,K
16:09:16.092205,E
16:09:16.254220,U
16:09:16.254220,S
16:09:16.286410,U
16:09:16.308082,K
16:09:16.308082,E
16:09:16.518768,U
16:09:16.534914,K
16:09:16.534914,E
16:09:16.737437,U
16:09:16.737437,K
16:09:16.753435,E
16:09:16.921565,U
16:09:16.937580,S
16:09:16.970250,U
16:09:16.971361,K
16:09:16.973107,E
16:09:17.138067,U
16:09:17.153985,S
16:09:17.192677,U
16:09:17.192677,K
16:09:17.192677,E
16:09:17.402748,U
16:09:17.402748,K
16:09:17.418508,E
16:09:17.585819,U
16:09:17.585819,S
16:09:17.621564,U
16:09:17.637535,K
16:09:17.637535,E
16:09:17.788626,U
16:09:17.804587,S
16:09:17.840249,U
16:09:17.840249,K
16:09:17.858168,E
16:09:18.020709,U
16:09:18.036711,S
16:09:18.072175,U
16:09:18.072175,K
16:09:18.089031,E
16:09:18.238682,U
16:09:18.254640,S
16:09:18.291498,U
16:09:18.291498,K
16:09:18.291498,E
16:09:18.502447,U
16:09:18.518370,K
16:09:18.518370,E
16:09:18.685981,U
16:09:18.685981,S
16:09:18.718022,U
16:09:18.733842,K
16:09:18.733842,E
16:09:19.127907,U
16:09:19.143802,S
16:09:19.568518,U
16:09:19.568518,S
16:09:19.798787,U
16:09:19.798787,S
16:09:20.222089,U
16:09:20.238401,S
16:09:20.407738,DAO sent
16:09:20.501171,U
16:09:20.501171,K
16:09:20.502496,E
16:09:20.673298,U
16:09:20.673298,S
16:09:20.708873,U
16:09:20.724887,K
16:09:20.724887,E
16:09:20.892866,U
16:09:20.892866,S
16:09:20.931423,U
16:09:20.942853,K
16:09:20.942853,E
16:09:21.108561,U
16:09:21.124421,S
16:09:21.155647,U
16:09:21.156534,K
16:09:21.162920,E
16:09:21.211784,D
16:09:21.310174,Y
16:09:21.539036,*
16:09:21.746801,U
16:09:21.756076,S
16:09:21.956951,U
16:09:21.956951,S
16:09:22.398355,DAO sent
16:09:22.435435,U
16:09:22.454515,K
16:09:22.454515,E
16:09:22.617501,U
16:09:22.633648,S
16:09:22.671453,U
16:09:22.671453,K
16:09:22.688620,E
16:09:22.882330,U
16:09:22.882330,K
16:09:22.898154,E
16:09:23.100799,U
16:09:23.116753,K
16:09:23.116753,E
16:09:23.316371,U
16:09:23.332294,K
16:09:23.332294,E
16:09:23.518729,U
16:09:23.518729,S
16:09:23.551194,U
16:09:23.556585,K
16:09:23.556585,E
16:09:23.719990,U
16:09:23.736112,S
16:09:23.773232,U
16:09:23.773232,K
16:09:23.790672,E
16:09:23.952027,U
16:09:23.952027,S
16:09:23.999469,U
16:09:23.999469,K
16:09:24.004190,E
16:09:24.169009,U
16:09:24.169009,S
16:09:24.206902,U
16:09:24.221739,K
16:09:24.221739,E
16:09:24.418449,U
16:09:24.434679,K
16:09:24.434679,E
16:09:24.619367,U
16:09:24.619367,S
16:09:24.654351,U
16:09:24.655467,K
16:09:24.655467,E
16:09:24.868653,U
16:09:24.868653,K
16:09:24.884834,E
16:09:25.053453,U
16:09:25.069511,S
16:09:25.101238,U
16:09:25.101238,K
16:09:25.108145,E
16:09:25.302704,U
16:09:25.318970,K
16:09:25.318970,E
16:09:25.488067,U
16:09:25.488067,S
16:09:25.523761,U
16:09:25.539547,K
16:09:25.539547,E
16:09:25.752600,U
16:09:25.768682,K
16:09:25.768682,E
16:09:25.968672,U
16:09:25.968672,K
16:09:25.984469,E
16:09:26.152877,U
16:09:26.168767,S
16:09:26.370595,U
16:09:26.370595,S
16:09:26.585385,DAO sent
16:09:26.622498,U
16:09:26.638045,K
16:09:26.638045,E
16:09:26.821391,U
16:09:26.821391,S
16:09:26.858061,U
16:09:26.874351,K
16:09:26.874351,E
16:09:27.020092,U
16:09:27.035955,S
16:09:27.072722,U
16:09:27.072722,K
16:09:27.089958,E
16:09:27.253950,U
16:09:27.270261,S
16:09:27.302365,U
16:09:27.302365,K
16:09:27.308078,E
16:09:27.503868,U
16:09:27.519960,K
16:09:27.519960,E
16:09:27.704419,U
16:09:27.704419,S
16:09:27.736729,U
16:09:27.741390,K
16:09:27.741390,E
16:09:27.921125,U
16:09:27.921125,S
16:09:27.956898,U
16:09:27.972973,K
16:09:27.972973,E
16:09:28.122298,U
16:09:28.138470,S
16:09:28.175952,U
16:09:28.175952,K
16:09:28.193608,E
16:09:28.403135,U
16:09:28.403135,K
16:09:28.419384,E
16:09:28.603351,U
16:09:28.619523,K
16:09:28.619523,E
16:09:28.835894,U
16:09:28.851952,K
16:09:28.851952,E
16:09:29.020737,U
16:09:29.020737,S
16:09:29.055990,U
16:09:29.071926,K
16:09:29.071926,E
16:09:29.285807,U
16:09:29.285807,K
16:09:29.301849,E
16:09:29.454817,U
16:09:29.470947,S
16:09:29.508407,U
16:09:29.508407,K
16:09:29.525921,E
16:09:29.704312,U
16:09:29.732595,K
16:09:29.732595,E
16:09:29.936076,U
16:09:29.951984,K
16:09:29.951984,E
16:09:30.152743,U
16:09:30.168810,K
16:09:30.168810,E
16:09:30.323120,DAO sent
16:09:30.375140,U
16:09:30.375140,K
16:09:30.404801,E
16:09:30.603374,U
16:09:30.603374,K
16:09:30.619699,E
16:09:30.805262,U
16:09:30.821240,K
16:09:30.821240,E
16:09:31.006573,U
16:09:31.006573,S
16:09:31.042984,U
16:09:31.058751,K
16:09:31.058751,E
16:09:31.222484,U
16:09:31.222484,S
16:09:31.267309,U
16:09:31.275072,K
16:09:31.275072,E
16:09:31.439725,U
16:09:31.455902,S
16:09:31.476356,U
16:09:31.491286,K
16:09:31.493631,E
16:09:31.545342,D
16:09:31.650818,Y
16:09:31.869527,*
16:09:31.905904,U
16:09:31.906433,K
16:09:31.922401,A
16:09:32.086966,R
16:09:32.086966,*
16:09:32.301929,R
16:09:32.301929,*
16:09:32.517633,U
16:09:32.517633,S
16:09:32.750999,R
16:09:32.750999,*
16:09:32.951042,U
16:09:32.966879,S
16:09:33.183921,U
16:09:33.199862,DAO sent
16:09:33.199862,S
16:09:33.220242,U
16:09:33.220242,K
16:09:33.220242,E
16:09:33.432864,U
16:09:33.449086,K
16:09:33.449086,E
16:09:33.649498,U
16:09:33.665188,K
16:09:33.665188,E
16:09:33.882398,U
16:09:33.882398,K
16:09:33.898484,E
16:09:34.051192,U
16:09:34.067060,S
16:09:34.104932,U
16:09:34.104932,K
16:09:34.122200,E
16:09:34.283149,U
16:09:34.299442,S
16:09:34.331609,U
16:09:34.331609,K
16:09:34.331609,E
16:09:34.500807,U
16:09:34.500807,S
16:09:34.535797,U
16:09:34.553071,K
16:09:34.553071,E
16:09:34.718525,U
16:09:34.718525,S
16:09:34.757647,U
16:09:34.771972,K
16:09:34.771972,E
16:09:34.982791,U
16:09:34.982791,K
16:09:34.998839,E
16:09:35.198965,U
16:09:35.198965,K
16:09:35.215058,E
16:09:35.384897,U
16:09:35.401154,S
16:09:35.435658,U
16:09:35.435658,K
16:09:35.435658,E
16:09:35.631971,U
16:09:35.648124,K
16:09:35.648124,E
16:09:35.866426,U
16:09:35.882087,K
16:09:35.882087,E
16:09:36.083388,U
16:09:36.083388,K
16:09:36.099393,E
16:09:36.266571,U
16:09:36.282559,S
16:09:36.302595,U
16:09:36.302595,K
16:09:36.319903,E
16:09:36.532044,U
16:09:36.532044,K
16:09:36.532044,E
16:09:36.700543,U
16:09:36.700543,S
16:09:36.732518,U
16:09:36.754925,K
16:09:36.754925,E
16:09:37.368773,U
16:09:37.385003,S
16:09:37.587329,U
16:09:37.601486,S
16:09:37.803192,U
16:09:37.803192,S
16:09:38.036719,DAO sent
16:09:38.071401,U
16:09:38.088315,K
16:09:38.088315,E
16:09:38.288072,U
16:09:38.288072,K
16:09:38.303999,E
16:09:38.471570,U
16:09:38.487581,S
16:09:38.507226,U
16:09:38.507226,K
16:09:38.523118,E
16:09:38.693358,U
16:09:38.705390,S
16:09:38.741255,U
16:09:38.741255,K
16:09:38.741255,E
16:09:38.904940,U
16:09:38.904940,S
16:09:38.940620,U
16:09:38.956439,K
16:09:38.956439,E
16:09:39.138935,U
16:09:39.138935,S
16:09:39.173757,U
16:09:39.190395,K
16:09:39.190395,E
16:09:39.338473,U
16:09:39.354439,S
16:09:39.390560,U
16:09:39.390560,K
16:09:39.407386,E
16:09:39.571649,U
16:09:39.587502,S
16:09:39.620785,U
16:09:39.620785,K
16:09:39.626562,E
16:09:39.789424,U
16:09:39.805473,S
16:09:39.842856,U
16:09:39.842856,K
16:09:39.842856,E
16:09:40.037994,U
16:09:40.053803,K
16:09:40.053803,E
16:09:40.240022,U
16:09:40.240022,S
16:09:40.276205,U
16:09:40.291614,K
16:09:40.292643,E
16:09:40.488689,U
16:09:40.488689,K
16:09:40.504696,E
16:09:40.721609,U
16:09:40.721609,K
16:09:40.737555,E
16:09:40.939798,U
16:09:40.939798,K
16:09:40.939798,E
16:09:41.154996,U
16:09:41.171099,K
16:09:41.171099,E
16:09:41.339793,U
16:09:41.339793,S
16:09:41.375613,U
16:09:41.391384,K
16:09:41.391384,E
16:09:41.540211,U
16:09:41.556140,S
16:09:41.591615,U
16:09:41.591615,K
16:09:41.609467,E
16:09:41.775118,U
16:09:41.791278,S
16:09:41.824980,U
16:09:41.824980,K
16:09:41.826882,E
16:09:42.038075,U
16:09:42.038075,K
16:09:42.038075,E
16:09:42.223273,U
16:09:42.223273,S
16:09:42.256723,U
16:09:42.257964,K
16:09:42.257964,E
16:09:42.441615,U
16:09:42.441615,DAO sent
16:09:42.441615,S
16:09:42.479987,U
16:09:42.494184,K
16:09:42.494184,E
16:09:42.690550,U
16:09:42.690550,K
16:09:42.706510,E
16:09:42.763566,D
16:09:43.086754,Y
16:09:43.102915,Incrementing RX tuning code to 24.26.18.
16:09:43.303668,*
16:09:43.339721,U
16:09:43.339721,K
16:09:43.357560,A
16:09:43.506800,U
16:09:43.506800,S
16:09:43.734922,R
16:09:43.950157,U
16:09:43.966298,S
16:09:45.499590,U
16:09:45.515659,S
16:09:45.748525,DAO sent
16:09:45.748525,U
16:09:45.764738,K
16:09:45.764738,E
16:09:45.965048,U
16:09:45.980836,K
16:09:45.980836,E
16:09:46.150613,U
16:09:46.166758,S
16:09:46.202156,U
16:09:46.218205,K
16:09:46.218697,E
16:09:46.368686,U
16:09:46.384576,S
16:09:46.421537,U
16:09:46.421537,K
16:09:46.439751,E
16:09:46.600692,U
16:09:46.616606,S
16:09:46.635991,U
16:09:46.635991,K
16:09:46.635991,E
16:09:46.848588,U
16:09:46.864917,K
16:09:46.864917,E
16:09:47.034307,U
16:09:47.034307,S
16:09:47.070234,U
16:09:47.087432,K
16:09:47.087432,E
16:09:47.251791,U
16:09:47.267992,S
16:09:47.303485,U
16:09:47.319611,K
16:09:47.319611,E
16:09:47.517577,U
16:09:47.517577,K
16:09:47.533400,E
16:09:47.702066,U
16:09:47.718527,S
16:09:47.737736,U
16:09:47.737736,K
16:09:47.737736,E
16:09:47.952974,U
16:09:47.969010,K
16:09:47.969010,E
16:09:48.136145,U
16:09:48.136145,S
16:09:48.168345,U
16:09:48.190443,K
16:09:48.190443,E
16:09:48.305147,s
16:09:48.405235,U
16:09:48.421328,K
16:09:48.421328,E
16:09:48.570851,U
16:09:48.587035,S
16:09:48.623929,U
16:09:48.623929,K
16:09:48.641997,E
16:09:48.853118,U
16:09:48.853118,K
16:09:48.853118,E
16:09:49.053718,U
16:09:49.069947,K
16:09:49.069947,E
16:09:49.270845,U
16:09:49.287009,K
16:09:49.287009,E
16:09:49.455738,U
16:09:49.471735,S
16:09:49.508117,U
16:09:49.508117,K
16:09:49.524468,E
16:09:49.706120,DAO sent
16:09:49.722284,U
16:09:49.722284,K
16:09:49.747508,E
16:09:49.955967,U
16:09:49.955967,K
16:09:49.955967,E
16:09:50.122997,U
16:09:50.122997,S
16:09:50.155505,U
16:09:50.178040,K
16:09:50.178040,E
16:09:50.387763,U
16:09:50.403715,K
16:09:50.403715,E
16:09:50.605222,U
16:09:50.621426,K
16:09:50.621426,E
16:09:50.773117,U
