# 20240708
# Chip 12
# Digital clock tuning: 6b'000010
# FFT bin spacing: 610.352 MHz

Frequency [Hz],Power [dBm]
1.2573E+08,-3.885E+01
1.2634E+08,-3.553E+01
1.2695E+08,-3.919E+01
1.2756E+08,-4.911E+01
1.2817E+08,-4.785E+01
1.2878E+08,-3.839E+01
1.2939E+08,-3.486E+01
1.3000E+08,-3.557E+01
1.3062E+08,-4.083E+01
1.3123E+08,-4.403E+01
1.3184E+08,-3.927E+01
1.3245E+08,-3.789E+01
1.3306E+08,-3.795E+01
1.3367E+08,-4.069E+01
1.3428E+08,-4.582E+01
1.3489E+08,-4.737E+01
1.3550E+08,-5.249E+01
1.3611E+08,-4.477E+01
1.3672E+08,-4.106E+01
1.3733E+08,-4.237E+01
1.3794E+08,-4.575E+01
1.3855E+08,-4.561E+01
1.3916E+08,-4.327E+01
1.3977E+08,-4.300E+01
1.4038E+08,-4.536E+01
1.4099E+08,-4.365E+01
1.4160E+08,-3.943E+01
1.4221E+08,-3.897E+01
1.4282E+08,-4.281E+01
1.4343E+08,-5.266E+01
1.4404E+08,-4.678E+01
1.4465E+08,-4.331E+01
1.4526E+08,-4.292E+01
1.4587E+08,-4.366E+01
1.4648E+08,-4.477E+01
1.4709E+08,-4.789E+01
1.4771E+08,-6.561E+01
1.4832E+08,-5.029E+01
1.4893E+08,-4.827E+01
1.4954E+08,-5.308E+01
1.5015E+08,-4.899E+01
1.5076E+08,-4.774E+01
1.5137E+08,-5.058E+01
1.5198E+08,-5.198E+01
1.5259E+08,-5.031E+01
1.5320E+08,-4.980E+01
1.5381E+08,-5.366E+01
1.5442E+08,-5.566E+01
1.5503E+08,-5.978E+01
1.5564E+08,-5.930E+01
1.5625E+08,-5.614E+01
1.5686E+08,-5.533E+01
1.5747E+08,-5.184E+01
1.5808E+08,-5.082E+01
1.5869E+08,-5.347E+01
1.5930E+08,-6.891E+01
1.5991E+08,-5.272E+01
1.6052E+08,-4.717E+01
1.6113E+08,-4.640E+01
1.6174E+08,-4.631E+01
1.6235E+08,-4.442E+01
1.6296E+08,-4.413E+01
1.6357E+08,-4.632E+01
1.6418E+08,-4.981E+01
1.6479E+08,-5.244E+01
1.6541E+08,-5.593E+01
1.6602E+08,-5.595E+01
1.6663E+08,-4.947E+01
1.6724E+08,-4.913E+01
1.6785E+08,-5.559E+01
1.6846E+08,-6.731E+01
1.6907E+08,-5.651E+01
1.6968E+08,-5.362E+01
1.7029E+08,-5.075E+01
1.7090E+08,-4.896E+01
1.7151E+08,-4.930E+01
1.7212E+08,-5.363E+01
1.7273E+08,-5.513E+01
1.7334E+08,-4.541E+01
1.7395E+08,-4.223E+01
1.7456E+08,-4.322E+01
1.7517E+08,-4.895E+01
1.7578E+08,-6.010E+01
1.7639E+08,-5.392E+01
1.7700E+08,-5.348E+01
1.7761E+08,-5.510E+01
1.7822E+08,-5.379E+01
1.7883E+08,-5.056E+01
1.7944E+08,-5.063E+01
1.8005E+08,-5.514E+01
1.8066E+08,-4.683E+01
1.8127E+08,-4.436E+01
1.8188E+08,-4.799E+01
1.8250E+08,-6.374E+01
1.8311E+08,-5.352E+01
1.8372E+08,-5.249E+01
1.8433E+08,-5.791E+01
1.8494E+08,-5.039E+01
1.8555E+08,-4.646E+01
1.8616E+08,-4.742E+01
1.8677E+08,-4.625E+01
1.8738E+08,-4.430E+01
1.8799E+08,-4.545E+01
1.8860E+08,-4.842E+01
1.8921E+08,-5.503E+01
1.8982E+08,-5.489E+01
1.9043E+08,-4.801E+01
1.9104E+08,-4.637E+01
1.9165E+08,-4.518E+01
1.9226E+08,-4.389E+01
1.9287E+08,-4.430E+01
1.9348E+08,-4.702E+01
1.9409E+08,-5.225E+01
1.9470E+08,-5.815E+01
1.9531E+08,-5.866E+01
1.9592E+08,-5.768E+01
1.9653E+08,-5.388E+01
1.9714E+08,-5.258E+01
1.9775E+08,-5.488E+01
1.9836E+08,-5.929E+01
1.9897E+08,-7.324E+01
1.9958E+08,-5.935E+01
