# Schematic simulation only (not extracted)

Analog tuning code,Frequency (schematic) [MHz]
0,50.68341474048936
256,50.63314030895265
512,50.58976317465731
768,50.54786466920103
1024,50.49357177719108
1280,50.4528686239891
1536,50.39735208222693
1792,50.35907125369405
2048,50.30529543746309
2304,50.26031053286792
2560,50.20544554236274
2816,50.1652778244848
3072,50.11955667326532
3328,50.07217783240396
3584,50.02798206618842
3840,49.98230082634196
4096,49.92759070074182
4352,49.87282484179053
4608,49.83475932883914
4864,49.78907427185912
5120,49.73360199867122
5376,49.68831816330645
5632,49.65378880372429
5888,49.60632249189747
6144,49.55702182604877
6400,49.50377670418628
6656,49.46443111198475
6912,49.41124216494626
7168,49.37252204917527
7424,49.33114076938003
7680,49.28442804434556
7936,49.23928853815451
8192,49.17625053394717
8448,49.13527418919551
8704,49.07878403950464
8960,49.0431847034981
9216,48.99726851264642
9472,48.95258730539582
9728,48.90135587348761
9984,48.8674499037152
10240,48.80677154551631
10496,48.77204332693232
10752,48.72879337285715
11008,48.67645270570261
11264,48.63955106830952
11520,48.59140659958961
11776,48.55811308149283
12032,48.50144293077023
12288,48.45765997168487
12544,48.41600051967744
12800,48.36282720107324
13056,48.33110930540171
13312,48.28398396172158
13568,48.24416539494105
13824,48.19092437667622
14080,48.15100154433226
14336,48.09889803340786
14592,48.06660758275894
14848,48.02299228912944
15104,47.98304530009082
15360,47.93775993304195
15616,47.88729449786861
15872,47.85582856219332
16128,47.81144135278588
16384,47.75267122615285
16640,47.70878054836337
16896,47.66768314858013
17152,47.61714117148443
17408,47.57463032365287
17664,47.53941370497908
17920,47.50123355747554
18176,47.45881808580982
18432,47.40546912857662
18688,47.37023199267468
18944,47.31950784216437
19200,47.2900146507592
19456,47.23776219736572
19712,47.20043897686213
19968,47.15516007261448
20224,47.11396596727762
20480,47.07290946196628
20736,47.0266554604241
20992,46.99304336409279
21248,46.95183226760168
21760,46.86203802427016
22016,46.83094069306268
22272,46.78897284109034
22528,46.74431051673298
22784,46.70146573692957
23040,46.65838703998116
23296,46.61533179796052
23552,46.58342793749789
23808,46.53404146749173
24064,46.49848930576576
24320,46.45536446661118
24576,46.40695719793333
24832,46.37067924541429
25088,46.32791790063355
25344,46.28375522853903
25600,46.24796721597175
25856,46.20681740776394
26112,46.17164414400169
26368,46.13071046039918
26624,46.07778570933783
26880,46.05054731467857
27136,46.00107778951259
27392,45.97083392763691
27648,45.92925014748242
27904,45.88353132141766
28160,45.84358772556923
28416,45.81210714884172
28672,45.76763276171838
28928,45.72087102490471
29184,45.68204135785263
29440,45.6556258838393
29696,45.61302990508908
29952,45.57421349421909
30208,45.52870768832343
30464,45.50098842483198
30720,45.45129649686684
30976,45.41023715562656
31232,45.37349914779356
31488,45.33454232981322
31744,45.30058108983545
32000,45.26727780294739
32256,45.21976552310667
32512,45.18882128225674
32768,45.13519796213556
33024,45.0964398627364
33280,45.06162708934107
33536,45.02250565292803
33792,44.98533297109279
34048,44.94881249029908
34304,44.91052846073278
34560,44.87821615476757
34816,44.83242042622595
35072,44.79166562813817
35328,44.75944910937687
35584,44.71874497325598
35840,44.67920057459043
36096,44.64034278106409
36352,44.60464232630424
36608,44.57156367608903
36864,44.53184164414554
37120,44.49573704996346
37376,44.45036586229565
37632,44.42314164669114
37888,44.38313680155439
38144,44.35092311310215
38400,44.30898476901577
38656,44.27718621503564
38912,44.22882897352551
39168,44.19923061892368
39424,44.16612571487714
39680,44.13149374109958
39936,44.08370926670449
40192,44.05759947231157
40448,44.0151318998255
40704,43.98555550794818
40960,43.93266835009759
41216,43.89256192692928
41472,43.86410453941125
41728,43.8292561761149
41984,43.79187599854375
42240,43.75786090576172
42496,43.71466117032148
42752,43.68010404749205
43008,43.6454097248429
43264,43.61549018369896
43520,43.57145004977906
43776,43.54356599059016
44032,43.50151492435126
44288,43.47372122538593
44544,43.4402376787136
44800,43.40242923665474
45056,43.36122697035068
45312,43.32803055245497
45568,43.29209940697458
45824,43.25919446248686
46080,43.22612656564781
46336,43.18984834575825
46592,43.15543159912003
46848,43.12481890278092
47104,43.07612032352468
47360,43.04741847715529
47616,43.00644551551783
47872,42.98080510436822
48128,42.94340829514784
48384,42.91547330192006
48640,42.8790375173635
48896,42.84270971364193
49152,42.79487741770511
49408,42.75838408959487
49664,42.72156531584103
49920,42.6960878652637
50176,42.65986063302182
50432,42.62396053131995
50688,42.59362527889803
50944,42.56388614119707
51200,42.5165250246819
51456,42.48984798421824
51712,42.45633982684266
51968,42.42558278445036
52224,42.3862898582517
52480,42.35716006987321
52736,42.32812405935544
52992,42.28940656100871
