# 20230825
# M2
# 100 Hz SCuM ADC sampling rate
# No averaging
# 50 nF capacitor
# SCuM estimates the time constant with fixed-point numbers

Resistance [MOhms],Number of ADC samples,Three tau index,Time constant,Time constant scaling factor
# 2.2 MOhms
18.1,531,261,14644,16384
18.1,508,265,14651,16384
18.1,533,256,14573,16384
18.1,441,263,14639,16384
18.1,507,258,14612,16384
18.1,552,262,14652,16384
18.1,450,263,14686,16384
18.1,547,258,14641,16384
18.1,660,253,14580,16384
18.1,546,256,14646,16384
18.1,641,259,14631,16384
18.1,511,259,14704,16384
18.1,549,254,14629,16384
18.1,527,260,14688,16384
18.1,452,257,14605,16384
18.1,456,255,14595,16384
18.1,547,252,14651,16384
18.1,550,257,14683,16384
18.1,504,252,14644,16384
18.1,515,264,14619,16384
18.1,518,261,14676,16384
18.1,607,263,14770,16384
18.1,532,267,14708,16384
18.1,451,258,14717,16384

# 10 MOhms + 8 MOhms + 2.2 MOhms
20.3,623,312,16601,16384
20.3,638,305,16563,16384
20.3,616,306,16553,16384
20.3,614,302,16590,16384
20.3,554,303,16303,16384
20.3,575,297,16437,16384
20.3,562,298,16361,16384
20.3,581,298,16366,16384
20.3,593,303,16433,16384
20.3,570,302,16364,16384
20.3,592,292,16375,16384
20.3,586,304,16410,16384
20.3,548,300,16299,16384
20.3,556,299,16507,16384
20.3,576,290,16350,16384
20.3,574,307,16569,16384
20.3,541,294,16270,16384
20.3,547,295,16407,16384
20.3,567,299,16506,16384
20.3,557,296,16478,16384
20.3,553,296,16337,16384
20.3,562,297,16315,16384
20.3,556,295,16349,16384
20.3,592,308,16544,16384
20.3,558,296,16484,16384
20.3,504,291,16216,16384
20.3,565,290,16341,16384
20.3,545,292,16256,16384
20.3,557,297,16404,16384
20.3,565,297,16342,16384
20.3,543,299,16385,16384
20.3,532,291,16176,16384
20.3,531,297,16335,16384
20.3,646,308,16545,16384
20.3,518,290,16206,16384
20.3,536,296,16526,16384
20.3,561,301,16473,16384
20.3,560,297,16368,16384

# 10 MOhms + 8 MOhms + 4.7 MOhms + 2.2 MOhms
24.9,658,364,20099,16384
24.9,661,360,20090,16384
24.9,642,360,19975,16384
24.9,674,367,20256,16384
24.9,661,358,20021,16384
24.9,729,368,20256,16384
24.9,637,360,20077,16384
24.9,652,373,20082,16384
24.9,628,357,20009,16384
24.9,633,355,19929,16384
24.9,648,360,19872,16384
24.9,617,354,19799,16384
24.9,653,371,20166,16384
24.9,648,354,19885,16384
24.9,606,355,19943,16384
24.9,740,360,20077,16384
24.9,643,361,19954,16384
24.9,641,355,20044,16384
24.9,639,355,20036,16384
24.9,639,348,19816,16384
24.9,629,350,19859,16384
24.9,620,359,19942,16384
24.9,617,352,19836,16384
24.9,635,351,19882,16384
24.9,638,353,19900,16384
24.9,646,348,19885,16384
24.9,640,351,19892,16384
24.9,634,356,19941,16384
24.9,631,355,19893,16384
24.9,644,359,19941,16384
24.9,851,359,19883,16384
24.9,620,355,19980,16384
24.9,720,370,20208,16384
24.9,611,356,19926,16384
24.9,625,353,19839,16384
24.9,629,353,19896,16384
24.9,640,360,20002,16384
24.9,625,357,19953,16384
