Number of rows,Number of columns,Number of iterations
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,0
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,2
1,3,3
1,3,5
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,2
1,3,3
1,3,3
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,3
1,3,3
1,3,2
1,3,3
1,3,2
1,3,3
1,3,2
1,3,3
1,3,3
1,3,2
1,3,2
1,3,2
1,3,3
1,4,18
1,4,20
1,4,14
1,4,16
1,4,19
1,4,22
1,4,13
1,4,22
1,4,16
1,4,18
1,4,17
1,4,21
1,4,17
1,4,18
1,4,16
1,4,13
1,4,21
1,4,16
1,4,22
1,4,11
1,4,23
1,4,18
1,4,21
1,4,20
1,4,16
1,4,11
1,4,18
1,4,24
1,4,22
1,4,19
1,4,13
1,4,18
1,4,16
1,4,20
1,4,19
1,4,22
1,4,17
1,4,20
1,4,22
1,4,20
1,4,17
1,4,18
1,4,23
1,4,22
1,4,17
1,4,18
1,4,22
1,4,21
1,4,13
1,4,17
1,4,18
1,4,22
1,4,18
1,4,16
1,4,20
1,4,14
1,4,20
1,4,19
1,4,16
1,4,23
1,4,19
1,4,6
1,4,22
1,4,17
1,4,20
1,4,24
1,4,18
1,4,21
1,4,21
1,4,15
1,4,14
1,4,18
1,4,19
1,4,14
1,4,20
1,4,22
1,4,21
1,4,18
1,4,20
1,4,20
1,4,20
1,4,19
1,4,11
1,4,22
1,4,17
1,4,11
1,4,18
1,4,14
1,4,16
1,4,7
1,4,22
1,4,20
1,4,21
1,4,20
1,4,20
1,4,17
1,4,21
1,4,22
1,4,23
1,4,16
1,5,25
1,5,37
1,5,30
1,5,41
1,5,40
1,5,31
1,5,39
1,5,45
1,5,43
1,5,37
1,5,37
1,5,38
1,5,39
1,5,32
1,5,39
1,5,21
1,5,27
1,5,25
1,5,32
1,5,30
1,5,35
1,5,36
1,5,38
1,5,47
1,5,42
1,5,30
1,5,39
1,5,33
1,5,24
1,5,39
1,5,37
1,5,32
1,5,21
1,5,44
1,5,39
1,5,30
1,5,38
1,5,28
1,5,16
1,5,44
1,5,39
1,5,32
1,5,23
1,5,41
1,5,39
1,5,41
1,5,40
1,5,44
1,5,35
1,5,35
1,5,38
1,5,43
1,5,35
1,5,34
1,5,29
1,5,36
1,5,39
1,5,31
1,5,38
1,5,24
1,5,39
1,5,26
1,5,12
1,5,41
1,5,37
1,5,40
1,5,38
1,5,36
1,5,26
1,5,35
1,5,27
1,5,37
1,5,20
1,5,30
1,5,28
1,5,37
1,5,26
1,5,38
1,5,28
1,5,9
1,5,44
1,5,34
1,5,17
1,5,41
1,5,21
1,5,37
1,5,26
1,5,37
1,5,25
1,5,25
1,5,36
1,5,25
1,5,36
1,5,32
1,5,35
1,5,34
1,5,31
1,5,33
1,5,36
1,5,37
1,6,51
1,6,65
1,6,47
1,6,70
1,6,63
1,6,53
1,6,15
1,6,76
1,6,88
1,6,85
1,6,60
1,6,62
1,6,82
1,6,61
1,6,55
1,6,65
1,6,77
1,6,54
1,6,31
1,6,23
1,6,79
1,6,57
1,6,82
1,6,18
1,6,42
1,6,75
1,6,71
1,6,60
1,6,62
1,6,67
1,6,37
1,6,80
1,6,70
1,6,47
1,6,86
1,6,30
1,6,21
1,6,45
1,6,93
1,6,85
1,6,74
1,6,26
1,6,74
1,6,77
1,6,79
1,6,51
1,6,48
1,6,57
1,6,48
1,6,30
1,6,79
1,6,68
1,6,46
1,6,56
1,6,62
1,6,42
1,6,74
1,6,76
1,6,35
1,6,38
1,6,73
1,6,38
1,6,74
1,6,83
1,6,85
1,6,71
1,6,77
1,6,43
1,6,73
1,6,55
1,6,62
1,6,57
1,6,72
1,6,69
1,6,79
1,6,83
1,6,65
1,6,60
1,6,66
1,6,63
1,6,70
1,6,25
1,6,72
1,6,52
1,6,60
1,6,68
1,6,81
1,6,74
1,6,79
1,6,31
1,6,88
1,6,68
1,6,74
1,6,70
1,6,51
1,6,59
1,6,23
1,6,46
1,6,62
1,6,65
1,7,34
1,7,34
1,7,69
1,7,58
1,7,80
1,7,128
1,7,126
1,7,135
1,7,84
1,7,124
1,7,96
1,7,121
1,7,105
1,7,83
1,7,90
1,7,117
1,7,95
1,7,34
1,7,75
1,7,113
1,7,112
1,7,46
1,7,125
1,7,83
1,7,105
1,7,132
1,7,105
1,7,129
1,7,136
1,7,79
1,7,118
1,7,88
1,7,37
1,7,99
1,7,28
1,7,98
1,7,33
1,7,125
1,7,115
1,7,33
1,7,111
1,7,134
1,7,115
1,7,126
1,7,80
1,7,48
1,7,117
1,7,31
1,7,116
1,7,55
1,7,86
1,7,100
1,7,36
1,7,115
1,7,132
1,7,94
1,7,125
1,7,96
1,7,97
1,7,109
1,7,80
1,7,122
1,7,50
1,7,103
1,7,46
1,7,90
1,7,94
1,7,110
1,7,79
1,7,115
1,7,106
1,7,68
1,7,120
1,7,81
1,7,115
1,7,115
1,7,106
1,7,125
1,7,85
1,7,79
1,7,120
1,7,108
1,7,34
1,7,99
1,7,97
1,7,35
1,7,98
1,7,125
1,7,38
1,7,116
1,7,41
1,7,60
1,7,118
1,7,123
1,7,127
1,7,91
1,7,72
1,7,83
1,7,50
1,7,121
1,8,163
1,8,185
1,8,174
1,8,211
1,8,86
1,8,200
1,8,140
1,8,165
1,8,198
1,8,198
1,8,199
1,8,194
1,8,176
1,8,62
1,8,138
1,8,178
1,8,185
1,8,102
1,8,153
1,8,110
1,8,143
1,8,225
1,8,177
1,8,177
1,8,203
1,8,166
1,8,174
1,8,176
1,8,105
1,8,231
1,8,150
1,8,199
1,8,114
1,8,181
1,8,165
1,8,162
1,8,115
1,8,154
1,8,71
1,8,221
1,8,182
1,8,160
1,8,147
1,8,171
1,8,148
1,8,214
1,8,152
1,8,221
1,8,202
1,8,146
1,8,161
1,8,188
1,8,136
1,8,182
1,8,193
1,8,126
1,8,140
1,8,190
1,8,139
1,8,163
1,8,151
1,8,111
1,8,170
1,8,155
1,8,183
1,8,209
1,8,189
1,8,179
1,8,174
1,8,44
1,8,92
1,8,162
1,8,85
1,8,150
1,8,200
1,8,136
1,8,177
1,8,101
1,8,142
1,8,195
1,8,185
1,8,210
1,8,183
1,8,119
1,8,210
1,8,173
1,8,148
1,8,141
1,8,176
1,8,225
1,8,187
1,8,163
1,8,181
1,8,216
1,8,76
1,8,175
1,8,225
1,8,163
1,8,187
1,8,178
1,9,241
1,9,281
1,9,214
1,9,251
1,9,40
1,9,158
1,9,267
1,9,238
1,9,218
1,9,215
1,9,223
1,9,289
1,9,222
1,9,243
1,9,170
1,9,299
1,9,175
1,9,87
1,9,279
1,9,230
1,9,223
1,9,269
1,9,189
1,9,227
1,9,192
1,9,55
1,9,199
1,9,277
1,9,215
1,9,61
1,9,55
1,9,161
1,9,241
1,9,146
1,9,268
1,9,206
1,9,253
1,9,239
1,9,99
1,9,187
1,9,287
1,9,273
1,9,225
1,9,236
1,9,194
1,9,219
1,9,170
1,9,151
1,9,266
