Time [s],GPIO [V],Input voltage [V]
-2.91904e-05,0.01762,0.05531
-1.904e-07,-0.01089,0.03624
2.86096e-05,-0.00714,0.02993
5.74096e-05,-0.00391,0.00933
8.62096e-05,0.00392,0.00858
0.0001152096,0.01571,0.00582
0.0001440096,0.01999,-0.00673
0.0001728096,0.00682,-0.00314
0.0002018096,0.00379,0.00178
0.0002306096,0.03323,0.00494
0.0002596096,0.02124,0.01043
0.0002884096,-0.0047,0.01867
0.0003174096,-0.00892,0.03239
0.0003462096,0.01927,0.04149
0.0003750096,-0.00668,0.06087
0.0004040096,0.03836,0.0819
0.0004328096,0.02025,0.09919
0.0004616096,0.02164,0.1155
0.0004904096,0.03072,0.14403
0.0005192096,0.01413,0.17107
0.0005480096,0.03053,0.19821
0.0005770096,0.01643,0.21971
0.0006058096,0.0194,0.24821
0.0006346096,-0.01313,0.27172
0.0006636096,-0.00977,0.30398
0.0006924096,0.01887,0.32801
0.0007212096,0.01973,0.35512
0.0007502096,0.01281,0.3845
0.0007790096,0.01775,0.41046
0.0008080096,0.00261,0.43894
0.0008370096,-0.00378,0.46544
0.0008658096,0.02388,0.48354
0.0008946096,-0.0155,0.50625
0.0009234096,0.01084,0.5255
0.0009522096,0.01992,0.54404
0.0009810096,0.00564,0.55566
0.0010100096,0.00827,0.57077
0.0010388096,0.01828,0.58816
0.0010676096,0.00623,0.59531
0.0010964096,-0.02004,0.59979
0.0011254096,0.00057,0.60856
0.0011542096,0.00755,0.61038
0.0011830096,-0.00905,0.61529
0.0012120096,-0.01655,0.6064
0.0012408096,0.00491,0.60161
0.0012698096,0.00814,0.59569
0.0012986096,-0.00319,0.58516
0.0013276096,-0.01148,0.57341
0.0013564096,0.01084,0.55493
0.0013852096,-0.00029,0.54452
0.0014140096,0.02453,0.5186
0.0014430096,0.00866,0.49817
0.0014718096,-0.00148,0.47941
0.0015006096,0.00702,0.45759
0.0015294096,0.01374,0.43145
0.0015582096,-0.0049,0.40814
0.0015872096,0.0163,0.38017
0.0016160096,0.02467,0.35036
0.0016448096,0.01821,0.32251
0.0016738096,0.02328,0.29476
0.0017026096,0.03099,0.26715
0.0017316096,0.01999,0.23694
0.0017604096,-0.01906,0.21735
0.0017894096,0.01248,0.18476
0.0018182096,-0.00227,0.16077
0.0018472096,0.01051,0.13937
0.0018760096,0.01696,0.11094
0.0019048096,0.01722,0.09732
0.0019336096,-0.00905,0.07823
0.0019624096,0.02355,0.06011
0.0019912096,0.01025,0.04396
0.0020202096,0.0194,0.03148
0.0020490096,-0.00312,0.01935
0.0020778096,0.0223,0.01006
0.0021068096,0.01229,0.00451
0.0021356096,0.01808,0.00625
0.0021644096,0.03382,-0.00074
0.0021934096,0.00267,0.00128
0.0022222096,0.01275,0.0012
0.0022512096,-0.00292,0.00727
0.0022800096,0.01841,0.01848
0.0023090096,0.02368,0.02693
0.0023378096,0.00583,0.03088
0.0023666096,0.01374,0.0522
0.0023954096,0.00327,0.07199
0.0024242096,-0.01846,0.09299
0.0024532096,0.01341,0.11143
0.0024820096,0.00129,0.13604
0.0025108096,0.01446,0.1575
0.0025396096,0.01663,0.18462
0.0025686096,-0.00055,0.21118
0.0025974096,0.01288,0.23623
0.0026262096,-0.00846,0.26599
0.0026552096,0.01986,0.29282
0.0026840096,0.03244,0.32035
0.0027128096,0.02295,0.34708
0.0027418096,0.01505,0.3802
0.0027706096,0.02328,0.40345
0.0027996096,-0.00595,0.4295
0.0028286096,0.01848,0.45007
0.0028574096,0.01973,0.47925
0.0028862096,0.00629,0.49962
0.0029150096,0.03672,0.5158
0.0029438096,0.00432,0.53669
0.0029726096,0.01578,0.55637
0.0030014096,0.0273,0.56676
0.0030304096,0.01769,0.57618
0.0030592096,-0.00128,0.59526
0.0030880096,-0.00767,0.59139
0.0031170096,-0.02136,0.60296
0.0031458096,0.01643,0.60294
0.0031746096,-0.01214,0.60847
0.0032036096,0.02124,0.60609
0.0032324096,0.00037,0.60347
0.0032614096,0.01104,0.59712
0.0032902096,0.01946,0.58676
0.0033192096,0.01011,0.5773
0.0033480096,0.00978,0.5636
0.0033768096,0.01518,0.54474
0.0034056096,0.01782,0.53244
0.0034346096,-0.002,0.50712
0.0034634096,0.02078,0.48226
0.0034922096,-0.02228,0.46782
0.0035210096,0.02394,0.44149
0.0035498096,0.03263,0.41277
0.0035788096,0.02157,0.38867
0.0036076096,-0.00345,0.36154
0.0036366096,0.00043,0.3288
0.0036654096,-0.00062,0.30725
0.0036942096,0.05515,0.27847
0.0037232096,-0.00687,0.25009
0.0037520096,0.01966,0.21869
