Time [s],GPIO [V],Input voltage [V]
-2.9075e-05,0.01446,0.60938
-2.75e-07,0.01393,0.60671
2.8525e-05,-0.00141,0.60437
5.7525e-05,-0.0022,0.60777
8.6325e-05,0.01841,0.60454
0.000115125,0.02006,0.60595
0.000144125,-0.00187,0.60972
0.000172925,0.02111,0.60828
0.000201925,0.03165,0.60159
0.000230725,0.02025,0.60294
0.000259725,0.01209,0.60533
0.000288525,-0.00674,0.60722
0.000317525,-0.00931,0.60387
0.000346125,-0.0103,0.60466
0.000374925,-0.00602,0.6038
0.000403725,0.02065,0.60971
0.000432325,0.01887,0.60613
0.000461125,-0.00885,0.60884
0.000489925,0.01341,0.60906
0.000518725,-0.00661,0.60484
0.000547525,0.02322,0.61234
0.000576325,0.01525,0.60664
0.000605125,0.00886,0.61024
0.000633925,0.00926,0.61233
0.000662725,0.00952,0.60969
0.000691525,0.02974,0.61183
0.000720325,0.03296,0.60434
0.000749125,0.02052,0.609
0.000777925,0.0215,0.60648
0.000806725,0.01848,0.60642
0.000835525,0.01466,0.60939
0.000864525,0.00248,0.60967
0.000893325,0.00866,0.605
0.000922125,0.01117,0.60803
0.000950925,0.02315,0.6126
0.000979925,0.01308,0.60068
0.001008725,0.01881,0.60532
0.001037725,-0.00661,0.60983
0.001066525,0.01722,0.60617
0.001095525,-0.00786,0.6014
0.001124325,-0.00431,0.60499
0.001153325,0.01854,0.60396
0.001182125,-0.0018,0.60594
0.001210925,0.01492,0.60755
0.001239525,0.00715,0.60653
0.001268325,-0.00259,0.60337
0.001297125,-3e-05,0.60565
0.001325925,0.02025,0.60548
0.001354525,0.02282,0.60606
0.001383325,0.00926,0.60613
0.001412125,0.01136,0.60507
0.001440925,0.0165,0.60675
0.001469725,0.0169,0.60794
0.001498525,0.01979,0.60865
0.001527325,0.02453,0.60728
0.001556125,0.0084,0.60931
0.001584925,0.02058,0.60824
0.001613725,0.01406,0.60951
0.001642525,0.01821,0.60449
0.001671325,-0.00404,0.60388
0.001700325,0.00498,0.60806
0.001729125,0.00794,0.6076
0.001757925,0.01558,0.59971
0.001786725,0.00926,0.60315
0.001815725,0.00063,0.60773
0.001844525,0.02789,0.60463
