Time [s],GPIO [V],Input voltage [V]
-2.91187e-05,0.00057,0.49927
-3.187e-07,-9e-05,0.4619
2.84813e-05,-0.00806,0.4062
5.72813e-05,0.02039,0.35553
8.60813e-05,0.03724,0.29485
0.0001148813,0.00616,0.24716
0.0001436813,0.02236,0.19178
0.0001726813,-0.00213,0.13931
0.0002014813,0.00695,0.09022
0.0002302813,-0.00069,0.06139
0.0002590813,0.00913,0.02933
0.0002878813,0.03408,0.00665
0.0003164813,0.00057,-0.00743
0.0003450813,0.01775,-0.00648
0.0003738813,0.02052,0.00704
0.0004024813,-0.00806,0.02933
0.0004312813,0.01446,0.05284
0.0004598813,0.01564,0.08972
0.0004886813,0.03342,0.1311
0.0005174813,0.03724,0.18173
0.0005460813,0.02183,0.22784
0.0005748813,0.03013,0.28536
0.0006036813,0.0088,0.34175
0.0006322813,-0.00207,0.39399
0.0006610813,0.0113,0.44315
0.0006898813,0.01288,0.49365
0.0007186813,0.01479,0.53645
0.0007474813,0.01769,0.56575
0.0007760813,-0.00767,0.59179
0.0008048813,0.02164,0.60325
0.0008336813,-0.00134,0.60766
0.0008624813,0.0192,0.607
0.0008912813,0.0109,0.58848
0.0009200813,0.0219,0.57506
0.0009488813,-0.00016,0.53381
0.0009778813,0.01597,0.49602
0.0010066813,-0.01702,0.44432
0.0010354813,0.0196,0.39411
0.0010642813,0.01275,0.3437
0.0010930813,0.02506,0.28136
0.0011220813,0.02302,0.22746
0.0011506813,0.01202,0.17492
0.0011794813,-0.00628,0.12832
0.0012080813,-0.00523,0.08586
0.0012368813,0.01341,0.05329
0.0012654813,-0.00358,0.0304
0.0012942813,0.02835,0.00755
0.0013228813,0.02394,-0.00739
0.0013516813,0.01841,-0.00503
0.0013802813,0.01775,0.00522
0.0014090813,0.00254,0.03134
0.0014378813,0.03658,0.05872
0.0014664813,0.02434,0.09628
0.0014952813,0.01387,0.13773
0.0015240813,0.02427,0.1936
0.0015528813,0.00254,0.24224
0.0015814813,0.01169,0.30151
0.0016102813,0.00834,0.3584
0.0016390813,0.01802,0.40482
0.0016678813,0.02414,0.46136
0.0016966813,0.02552,0.49849
0.0017254813,0.00234,0.54364
0.0017542813,-0.00997,0.57376
0.0017830813,-0.01438,0.59537
