Time [s],GPIO [V],Input voltage [V]
-2.9037e-05,-0.01399,0.0107
-2.37e-07,-0.00477,0.0068
2.8563e-05,0.02118,0.00652
5.7363e-05,0.02809,0.01305
8.6163e-05,-0.00108,0.00557
0.000114963,-0.00049,0.00354
0.000143563,0.03593,0.01169
0.000172363,-0.00701,0.00358
0.000200963,0.0221,0.00932
0.000229763,0.01406,0.0117
0.000258363,0.03099,0.00879
0.000287163,0.00129,0.01008
0.000315763,0.00024,0.00983
0.000344563,0.00597,0.0077
0.000373363,-0.00141,0.00836
0.000401963,0.01248,0.00416
0.000430763,0.02322,0.00735
0.000459563,0.00669,0.00782
0.000488163,0.02322,0.00655
0.000516963,0.0165,0.01186
0.000545763,0.02407,0.00735
0.000574563,-0.0232,0.00766
0.000603363,-0.00964,0.0131
0.000632163,0.02091,0.01087
0.000660963,-0.00016,0.00547
0.000689763,0.01657,0.00481
0.000718563,0.00175,0.00654
0.000747363,0.00708,0.00159
0.000776163,0.03316,0.00613
0.000804963,0.01532,0.00664
0.000833763,0.03533,0.00966
0.000862563,0.03,0.01073
0.000891363,0.03362,0.00942
0.000920363,0.01439,0.0118
0.000949163,0.01775,0.00614
0.000977763,0.01538,0.00919
0.001006363,0.02216,0.0097
0.001035163,0.00886,0.00983
0.001063763,0.00873,0.00905
0.001092563,0.03303,0.00963
0.001121163,0.00445,0.00768
0.001149963,0.03151,0.00365
0.001178563,-0.00431,0.00787
0.001207363,0.0057,0.00895
0.001236163,0.02302,0.00684
0.001264763,0.05581,0.01163
0.001293563,0.0055,0.00526
0.001322363,-0.00444,0.00776
0.001351163,0.01861,0.00845
0.001379763,0.01202,0.00714
0.001408563,0.03619,0.00502
0.001437363,0.01327,0.00644
0.001466163,0.01571,0.01264
0.001494963,0.01374,0.00652
0.001523763,0.00379,0.00957
0.001552563,-0.00734,0.00803
0.001581363,-0.00029,0.01003
0.001610163,-0.00404,0.01259
0.001638963,0.00122,0.00535
0.001667763,0.01011,0.0066
0.001696563,0.01097,0.00333
0.001725363,0.02302,0.00687
0.001754363,0.02993,0.00718
0.001783163,0.03092,0.00395
0.001811963,0.03415,0.01172
