Time [s],GPIO [V],Input voltage [V]
-2.90289e-05,0.01308,0.31189
-2.289e-07,-0.00483,-0.00439
2.85711e-05,0.00195,0.43968
5.73711e-05,0.01479,0.54269
8.61711e-05,0.02071,0.04956
0.0001149711,0.00327,0.18153
0.0001437711,0.00926,0.61415
0.0001725711,0.00208,0.28635
0.0002013711,0.01894,0.00379
0.0002301711,0.02855,0.47072
0.0002589711,-0.00622,0.52661
0.0002877711,0.01887,0.03442
0.0003163711,0.01597,0.20603
0.0003451711,0.03777,0.61463
0.0003739711,0.03678,0.25532
0.0004027711,0.01057,0.01098
0.0004315711,0.03902,0.48866
0.0004605711,0.02572,0.50023
0.0004893711,0.01894,0.02133
0.0005181711,0.00906,0.23736
0.0005469711,0.01597,0.61929
0.0005757711,0.01202,0.21961
0.0006045711,-0.00931,0.02924
0.0006335711,0.01163,0.521
0.0006621711,0.01591,0.47576
0.0006909711,0.014,0.01239
0.0007197711,0.01433,0.27055
0.0007485711,0.01163,0.61047
0.0007773711,0.02453,0.18558
0.0008059711,0.03033,0.04363
0.0008347711,0.01176,0.53517
0.0008635711,0.0244,0.44973
0.0008923711,-0.00398,0.00254
0.0009211711,0.02868,0.30048
0.0009499711,-0.00523,0.60922
0.0009789711,0.00432,0.1593
0.0010077711,-0.00628,0.0637
0.0010365711,0.01308,0.55913
0.0010653711,0.02704,0.42076
0.0010941711,-0.0265,-0.00719
0.0011229711,-0.0078,0.32955
0.0011517711,0.00221,0.59654
0.0011805711,0.00162,0.13115
0.0012093711,0.01209,0.09377
0.0012381711,-0.00082,0.57632
0.0012669711,0.03454,0.3882
0.0012955711,-0.01985,-0.00889
0.0013243711,0.0113,0.36233
0.0013531711,0.01551,0.59075
0.0013819711,0.0167,0.10758
0.0014107711,0.02848,0.11044
0.0014395711,-0.00088,0.59174
0.0014683711,-0.01306,0.36355
0.0014973711,0.02052,-0.00512
0.0015261711,-0.02123,0.39554
0.0015549711,0.01031,0.57511
0.0015837711,-0.00312,0.0784
0.0016125711,0.00182,0.13747
0.0016413711,0.02341,0.60401
0.0016701711,0.03329,0.3295
0.0016989711,0.00327,-0.00077
0.0017275711,0.00656,0.42725
0.0017563711,0.02796,0.55733
0.0017851711,-0.0018,0.06602
0.0018139711,0.01591,0.15967
0.0018427711,0.03375,0.6072
0.0018715711,0.02862,0.30045
0.0019003711,0.0034,-0.00265
0.0019291711,0.02197,0.45074
0.0019579711,0.02394,0.53815
0.0019867711,0.02862,0.04591
0.0020155711,0.00913,0.18519
0.0020445711,0.0215,0.61295
0.0020733711,0.03204,0.26305
0.0021021711,0.00899,0.01062
0.0021309711,0.0356,0.47823
0.0021597711,-0.00655,0.51808
0.0021885711,0.01775,0.02887
0.0022171711,-0.00299,0.22008
0.0022459711,0.03777,0.61917
0.0022747711,0.01044,0.2338
0.0023035711,0.03415,0.01798
0.0023323711,0.0302,0.50123
0.0023611711,0.00083,0.4964
0.0023899711,0.0327,0.0153
0.0024187711,0.00201,0.25329
0.0024475711,0.03691,0.61556
0.0024763711,0.03902,0.20904
0.0025051711,0.00906,0.03528
0.0025341711,0.01538,0.52874
0.0025629711,0.00965,0.46713
0.0025917711,-0.00767,0.00067
0.0026205711,0.01406,0.28592
0.0026493711,0.03244,0.61849
0.0026781711,-0.00931,0.17159
0.0027067711,0.01222,0.05381
0.0027355711,0.00498,0.54869
0.0027643711,0.01281,0.43425
0.0027931711,0.01163,-0.00591
0.0028219711,0.02256,0.31025
0.0028507711,0.01775,0.61041
0.0028795711,0.01788,0.15044
0.0029083711,0.02388,0.07271
0.0029371711,0.03132,0.56772
0.0029659711,0.01578,0.40641
0.0029947711,0.00478,-0.00875
0.0030237711,0.02039,0.35237
0.0030525711,-0.00174,0.59824
0.0030813711,0.01163,0.11806
0.0031101711,-0.00398,0.09869
0.0031389711,0.01617,0.58516
0.0031677711,0.01986,0.37429
0.0031963711,0.00017,-0.01075
0.0032251711,-0.00582,0.37179
0.0032539711,0.01795,0.58336
0.0032827711,0.0215,0.09621
0.0033115711,0.01973,0.12068
0.0033403711,0.00926,0.59222
0.0033691711,0.00498,0.34714
0.0033979711,0.01005,-0.00458
0.0034267711,0.02328,0.4081
0.0034555711,-0.00075,0.56614
0.0034843711,0.01354,0.07445
0.0035131711,0.02368,0.14385
0.0035421711,0.01011,0.60802
0.0035709711,0.02124,0.31576
0.0035997711,0.03711,-0.00512
0.0036285711,-0.0024,0.43731
0.0036573711,0.02388,0.54622
0.0036859711,0.03909,0.05166
0.0037147711,0.00919,0.17619
0.0037435711,0.00083,0.60691
0.0037723711,-0.00569,0.28821
0.0038011711,0.02177,0.00741
0.0038299711,0.01992,0.46272
0.0038587711,0.01927,0.52831
0.0038875711,0.03441,0.03917
0.0039163711,0.02355,0.20798
0.0039451711,-0.00352,0.61085
0.0039739711,-0.01445,0.25739
0.0040029711,0.0113,0.0172
0.0040317711,-0.02393,0.4916
0.0040605711,0.02085,0.50453
0.0040893711,0.0215,0.01478
0.0041181711,0.02249,0.23786
0.0041469711,0.00392,0.6171
0.0041755711,0.02065,0.22269
0.0042043711,0.01979,0.02829
0.0042331711,0.01913,0.51513
0.0042619711,0.019,0.47966
0.0042907711,0.00485,0.00907
0.0043195711,0.02361,0.26481
0.0043483711,-0.00134,0.6113
0.0043771711,-0.00029,0.18786
0.0044059711,0.01571,0.03822
0.0044347711,0.01973,0.53975
0.0044635711,-0.0018,0.45182
0.0044923711,0.0142,-0.0067
0.0045213711,0.01255,0.29589
0.0045501711,0.01466,0.60653
0.0045789711,-0.00279,0.15667
0.0046077711,0.01894,0.0647
0.0046365711,-0.00418,0.56025
0.0046651711,0.0194,0.42421
0.0046939711,-0.0051,-0.00408
0.0047227711,-0.00536,0.32621
0.0047515711,0.0219,0.60952
0.0047803711,0.02256,0.13585
0.0048091711,0.03889,0.08474
0.0048379711,0.01729,0.57367
0.0048667711,0.01341,0.39613
0.0048955711,0.01604,-0.00458
0.0049243711,0.01097,0.35983
0.0049531711,0.01387,0.58774
0.0049819711,0.01255,0.10845
0.0050109711,-0.00115,0.11246
0.0050397711,-3e-05,0.5899
0.0050685711,0.02157,0.35633
0.0050973711,0.02295,-0.00776
0.0051261711,0.01104,0.39349
0.0051549711,0.02025,0.5713
0.0051835711,0.00662,0.08297
0.0052123711,0.01512,0.1315
0.0052411711,0.00287,0.58989
0.0052699711,0.01532,0.33185
0.0052987711,0.00149,-0.00545
0.0053275711,-0.00852,0.41947
0.0053563711,0.02065,0.56196
0.0053851711,-0.02176,0.06773
0.0054139711,0.02295,0.16136
0.0054427711,0.02131,0.61026
0.0054715711,0.01156,0.30102
0.0055005711,0.02216,0.00023
0.0055293711,0.02052,0.45103
0.0055581711,-0.00062,0.53464
0.0055869711,0.014,0.0415
0.0056157711,0.01044,0.19415
0.0056445711,0.00893,0.61944
0.0056731711,0.03329,0.26559
0.0057019711,0.01341,0.00776
0.0057307711,-0.00437,0.48133
0.0057595711,0.03066,0.51066
0.0057883711,-0.0047,0.03362
0.0058171711,0.01979,0.21694
0.0058459711,0.03257,0.61895
0.0058747711,0.0034,0.23387
0.0059035711,0.00801,0.02345
0.0059323711,-0.01471,0.50244
0.0059611711,-0.00207,0.49184
0.0059901711,0.00708,0.01132
0.0060189711,0.00774,0.2528
0.0060477711,-0.00042,0.61412
0.0060765711,0.00787,0.19651
0.0061053711,0.02921,0.04152
0.0061341711,0.02829,0.52739
0.0061627711,0.00517,0.4624
0.0061915711,0.01314,0.00335
0.0062203711,0.03724,0.28211
0.0062491711,0.01288,0.60749
0.0062779711,0.00083,0.18105
0.0063067711,0.00728,0.0528
0.0063355711,0.0115,0.54814
0.0063643711,-0.01432,0.43789
0.0063931711,-0.00641,-0.00521
0.0064219711,0.01341,0.31078
0.0064507711,0.01242,0.6091
0.0064795711,0.02045,0.14636
0.0065085711,0.0196,0.07395
0.0065373711,0.01604,0.57411
0.0065661711,0.02256,0.40325
0.0065949711,0.01288,-0.0059
0.0066237711,0.00728,0.34979
0.0066523711,0.01953,0.59567
0.0066811711,0.02414,0.12432
0.0067099711,-0.00727,0.09683
0.0067387711,-0.00431,0.58346
0.0067675711,0.04719,0.38139
0.0067963711,-0.01162,-0.01422
0.0068251711,0.02012,0.37431
0.0068539711,0.00603,0.58481
0.0068827711,0.0109,0.09984
0.0069115711,0.02183,0.11892
0.0069403711,-0.01175,0.59853
0.0069691711,0.01966,0.34449
0.0069981711,0.00807,-0.01078
0.0070269711,0.01729,0.40752
0.0070557711,0.00774,0.56838
0.0070845711,-0.01886,0.07153
0.0071133711,0.00761,0.15448
0.0071419711,0.01749,0.60646
0.0071707711,0.03066,0.31447
0.0071995711,0.02947,-0.00562
0.0072283711,0.01986,0.43483
0.0072571711,0.00557,0.54713
0.0072859711,-0.00602,0.05797
0.0073147711,0.01156,0.17692
0.0073435711,0.03415,0.61312
0.0073723711,0.03599,0.28571
0.0074011711,0.01841,0.00387
0.0074299711,0.01354,0.46513
0.0074587711,0.03652,0.53146
0.0074877711,0.0138,0.03561
0.0075165711,0.00248,0.20893
0.0075453711,0.0221,0.61616
0.0075741711,0.00728,0.2487
0.0076029711,0.02118,0.01314
0.0076315711,0.03678,0.49328
0.0076603711,-0.00339,0.50657
0.0076891711,0.01611,0.02074
0.0077179711,0.01169,0.23561
0.0077467711,-0.00806,0.61339
0.0077755711,0.01722,0.21881
0.0078043711,0.00129,0.02475
0.0078331711,0.0192,0.51456
0.0078619711,0.01031,0.48183
0.0078907711,0.01815,0.01058
0.0079195711,0.00346,0.27114
0.0079483711,0.00893,0.62047
0.0079771711,-0.00141,0.19215
0.0080061711,0.00735,0.05029
0.0080349711,0.00866,0.53799
0.0080637711,0.03342,0.44878
0.0080925711,0.03698,-0.00406
0.0081211711,0.01242,0.299
0.0081499711,0.01281,0.6076
0.0081787711,0.00695,0.16421
0.0082075711,0.02118,0.06252
0.0082363711,0.01643,0.55548
0.0082651711,0.01341,0.4281
0.0082939711,0.0111,-0.00381
0.0083227711,0.01011,0.32696
0.0083515711,0.02737,0.59923
0.0083803711,0.02644,0.13914
0.0084091711,0.01202,0.08205
0.0084379711,0.01143,0.57663
0.0084669711,0.01966,0.38765
0.0084957711,0.02262,-0.01004
0.0085245711,0.01084,0.36378
0.0085533711,0.02098,0.59272
0.0085821711,0.01709,0.10656
0.0086109711,-0.00055,0.11124
0.0086395711,0.01722,0.58812
0.0086683711,0.01499,0.36361
0.0086971711,-0.00385,-0.00843
0.0087259711,0.01663,0.39328
0.0087547711,-0.00404,0.5762
0.0087835711,0.02335,0.08966
0.0088123711,-0.00424,0.13128
0.0088411711,0.01044,0.60619
0.0088699711,0.03685,0.33004
0.0088987711,0.01136,-0.00739
0.0089275711,-0.00148,0.42866
0.0089565711,-0.02281,0.55639
0.0089853711,0.01848,0.0636
0.0090141711,0.0377,0.16484
0.0090429711,-0.00799,0.61034
0.0090717711,-0.00813,0.29488
0.0091005711,0.01518,-0.00348
0.0091291711,0.01992,0.45349
0.0091579711,0.014,0.54408
0.0091867711,0.02118,0.04464
0.0092155711,0.01769,0.18396
0.0092443711,-0.00819,0.61699
0.0092731711,0.01795,0.26442
0.0093019711,0.01848,0.00937
0.0093307711,0.01262,0.47369
0.0093595711,0.0088,0.51922
0.0093883711,-0.00734,0.03051
0.0094171711,0.0223,0.21292
0.0094461711,-0.01932,0.61808
0.0094749711,0.01874,0.23598
0.0095037711,0.00965,0.02041
0.0095325711,0.05147,0.506
0.0095613711,0.03474,0.48873
0.0095901711,0.01321,0.0128
0.0096189711,0.01433,0.25732
0.0096475711,0.01426,0.61962
0.0096763711,0.04903,0.21228
0.0097051711,0.0165,0.03962
0.0097339711,-0.01774,0.52734
0.0097627711,0.02993,0.46428
0.0097915711,0.01861,0.00544
0.0098203711,0.01097,0.28472
0.0098491711,0.01578,0.6094
0.0098779711,0.0138,0.18147
0.0099067711,0.03593,0.05632
0.0099357711,0.01044,0.54696
0.0099645711,-0.0076,0.43352
0.0099933711,-0.00846,-0.0017
0.0100221711,0.01143,0.31724
0.0100509711,0.02104,0.60371
0.0100797711,0.01986,0.1501
0.0101085711,0.00531,0.06835
0.0101371711,0.01472,0.56762
0.0101659711,0.02124,0.40666
0.0101947711,-0.00266,-0.00984
0.0102235711,0.02045,0.34642
0.0102523711,0.0217,0.59046
0.0102811711,0.02144,0.12535
0.0103099711,-0.00701,0.10096
0.0103387711,0.00478,0.58467
0.0103675711,0.0217,0.37973
0.0103963711,0.01446,-0.02052
0.0104251711,-0.01372,0.37751
0.0104541711,0.02513,0.58185
0.0104829711,0.01169,0.09372
0.0105117711,0.00814,0.1277
0.0105405711,0.01545,0.60053
0.0105693711,0.02216,0.34188
0.0105979711,0.02572,-0.00795
0.0106267711,0.01821,0.40753
0.0106555711,0.01841,0.57053
0.0106843711,-0.00773,0.07242
0.0107131711,-0.00286,0.1467
0.0107419711,0.01551,0.60261
0.0107707711,0.03448,0.30872
0.0107995711,0.00076,-0.00714
0.0108283711,-0.00687,0.43187
0.0108571711,0.01288,0.54824
0.0108859711,0.03237,0.05606
0.0109147711,0.00129,0.17859
0.0109437711,0.01215,0.61273
0.0109725711,0.03843,0.27867
0.0110013711,-0.00595,0.00215
0.0110301711,-0.01287,0.46237
0.0110589711,-0.01313,0.52487
0.0110875711,-0.00483,0.03223
0.0111163711,0.00998,0.20681
0.0111451711,-0.00325,0.61881
0.0111739711,0.01992,0.25413
0.0112027711,0.01354,0.01227
0.0112315711,0.00195,0.4883
0.0112603711,0.0111,0.49735
0.0112891711,0.00669,0.02175
0.0113179711,0.02355,0.23472
0.0113467711,0.02427,0.61049
0.0113755711,0.0219,0.22262
0.0114043711,0.01189,0.02674
0.0114331711,0.0061,0.51121
0.0114621711,-0.00714,0.47794
0.0114909711,0.04956,0.00652
0.0115197711,0.02532,0.26997
0.0115485711,0.02789,0.61005
0.0115771711,0.01913,0.19051
0.0116059711,0.01828,0.04306
0.0116347711,-0.00878,0.53894
0.0116635711,0.02407,0.45549
0.0116923711,0.0003,-0.0073
0.0117211711,0.01354,0.30073
0.0117499711,0.03388,0.60749
0.0117787711,-0.02209,0.16993
0.0118075711,0.02289,0.06495
0.0118363711,0.00307,0.5608
0.0118651711,0.0221,0.42394
0.0118939711,0.00478,-0.00707
0.0119227711,-0.00312,0.32676
0.0119517711,0.02203,0.59847
0.0119805711,0.01156,0.13004
0.0120093711,0.00623,0.08442
0.0120381711,0.02835,0.57652
0.0120667711,0.01439,0.39267
0.0120955711,0.02098,-0.01394
0.0121243711,0.02868,0.35648
0.0121531711,0.03355,0.59192
0.0121819711,0.00373,0.11282
0.0122107711,0.02585,0.10458
0.0122395711,0.02651,0.58922
0.0122683711,0.00155,0.36222
0.0122971711,-0.00615,-0.01324
0.0123259711,-0.01241,0.38731
0.0123547711,0.02651,0.57885
0.0123835711,0.02065,0.09034
0.0124123711,-0.01142,0.1307
0.0124411711,0.0539,0.59892
0.0124701711,-0.00292,0.32908
0.0124989711,-0.0159,-0.01078
0.0125277711,-0.00477,0.42363
0.0125563711,0.03395,0.55242
0.0125851711,-0.002,0.06616
0.0126139711,-0.00701,0.15615
0.0126427711,0.01571,0.61249
0.0126715711,0.00478,0.30123
0.0127003711,0.01229,-0.00131
0.0127291711,-0.02057,0.45106
0.0127579711,0.02203,0.5331
0.0127867711,-0.02452,0.04117
0.0128155711,-0.00898,0.18513
0.0128443711,0.01097,0.61704
0.0128731711,-0.0078,0.26276
0.0129019711,0.01848,0.01078
0.0129307711,0.02104,0.48044
0.0129597711,0.0001,0.52032
0.0129885711,-0.00767,0.02151
0.0130171711,0.01874,0.21446
0.0130459711,0.01064,0.61739
0.0130747711,0.03316,0.23914
0.0131035711,-0.01563,0.01959
0.0131323711,-0.00529,0.49713
0.0131611711,0.01025,0.49745
0.0131899711,-0.00747,0.01215
0.0132187711,0.01558,0.24914
0.0132475711,-0.00701,0.61943
0.0132763711,0.02091,0.20276
0.0133051711,0.00254,0.03783
0.0133339711,0.03639,0.52338
0.0133627711,0.03698,0.46911
0.0133915711,-0.00727,0.00836
0.0134203711,0.014,0.28223
0.0134493711,0.0055,0.61522
0.0134781711,0.01591,0.17619
0.0135069711,0.01854,0.05225
0.0135355711,0.01591,0.54718
0.0135643711,-0.0024,0.43725
0.0135931711,0.01354,-0.00643
0.0136219711,0.01696,0.31189
0.0136507711,-0.01359,0.60838
0.0136795711,0.02361,0.1498
0.0137083711,0.0055,0.07291
0.0137371711,0.0061,0.56924
0.0137659711,0.00267,0.41022
0.0137947711,0.01795,-0.00952
0.0138235711,0.03138,0.34856
0.0138523711,-0.00273,0.59447
0.0138811711,0.0084,0.12096
0.0139099711,0.02414,0.09195
0.0139389711,0.01097,0.58658
0.0139677711,0.00412,0.37908
0.0139965711,-0.00319,-0.01254
0.0140251711,0.00787,0.37702
0.0140539711,-0.00898,0.58413
0.0140827711,0.02921,0.0963
0.0141115711,-0.01682,0.12201
0.0141403711,0.02164,0.59336
0.0141691711,0.00577,0.34674
0.0141979711,-0.00832,-0.00624
0.0142267711,0.0196,0.40611
0.0142555711,0.00063,0.56819
0.0142843711,0.00531,0.08098
0.0143131711,0.01235,0.14897
0.0143419711,0.02058,0.60464
0.0143707711,0.00616,0.31131
0.0143995711,0.02216,-0.00523
0.0144285711,-0.00569,0.44171
0.0144573711,-0.0074,0.54775
0.0144861711,0.01025,0.05213
0.0145149711,0.01722,0.17953
0.0145435711,0.02269,0.61254
0.0145723711,0.02177,0.28784
0.0146011711,0.02947,0.00549
0.0146299711,0.00748,0.46042
0.0146587711,0.01242,0.52644
0.0146875711,0.03645,0.03444
0.0147163711,-9e-05,0.20758
0.0147451711,-0.00088,0.62235
0.0147739711,0.03876,0.24958
0.0148027711,0.01031,0.01186
0.0148315711,0.00972,0.48749
0.0148603711,0.00294,0.50271
0.0148891711,-0.01774,0.02133
0.0149181711,0.03191,0.23825
0.0149469711,0.01268,0.6196
0.0149757711,0.0061,0.21447
0.0150045711,0.00359,0.02784
0.0150331711,-0.00279,0.50981
0.0150619711,0.00985,0.47881
0.0150907711,0.03698,0.01139
0.0151195711,0.01966,0.26571
0.0151483711,0.03145,0.61954
0.0151771711,0.02605,0.19427
0.0152059711,-0.00872,0.04646
0.0152347711,0.03672,0.54195
0.0152635711,-0.00036,0.44954
0.0152923711,0.02203,0.00644
0.0153211711,-0.01385,0.29613
0.0153499711,0.01749,0.60981
0.0153787711,0.02276,0.16263
0.0154077711,0.02993,0.07776
0.0154365711,0.02085,0.56047
0.0154653711,0.03744,0.42367
0.0154941711,0.00583,-0.00323
0.0155229711,0.03658,0.33453
0.0155515711,-0.01155,0.60515
0.0155803711,0.03718,0.13909
