Time [s],GPIO [V],Input voltage [V]
-2.9193e-05,0.00287,0.13548
-3.93e-07,-0.00569,0.05654
2.8407e-05,0.00024,0.00841
5.7207e-05,-0.00352,-0.00173
8.6007e-05,-0.00661,0.02179
0.000114807,0.02394,0.08801
0.000143607,0.02012,0.18409
0.000172407,0.03652,0.29029
0.000201207,0.02309,0.39713
0.000230007,0.03882,0.49435
0.000258807,0.01802,0.5661
0.000287607,0.02071,0.60665
0.000316407,-0.00483,0.60277
0.000345207,-0.00259,0.56565
0.000374007,0.00755,0.48741
0.000402807,-0.01761,0.38605
0.000431807,0.02006,0.28247
0.000460407,-0.01991,0.16789
0.000489207,-0.00747,0.0814
0.000518007,0.01505,0.01984
0.000546807,0.01472,-0.00757
0.000575607,0.00359,0.00785
0.000604407,0.01248,0.05903
0.000633207,0.01887,0.14645
0.000662007,0.00373,0.24994
0.000690807,-0.00562,0.36107
0.000719607,-0.00358,0.46277
0.000748407,0.00136,0.54449
0.000777207,0.05719,0.60044
0.000806007,0.01031,0.61385
0.000834807,0.003,0.58724
0.000863607,0.00412,0.51527
0.000892407,0.02085,0.42511
0.000921407,0.0221,0.32064
0.000950007,0.00669,0.20593
0.000978807,0.03593,0.11011
0.001007607,0.02295,0.03347
0.001036407,-0.00273,0.00153
0.001065207,0.01815,-0.00029
0.001094007,0.03737,0.03736
0.001122607,0.01782,0.11106
0.001151407,0.02388,0.21445
0.001180207,0.01643,0.31825
0.001209007,0.00043,0.42775
0.001237807,-0.01359,0.51856
0.001266807,0.02104,0.58794
0.001295607,0.00629,0.6108
0.001324407,-0.00576,0.59543
0.001353207,0.00379,0.54853
0.001382007,-0.01958,0.46352
0.001410807,0.01439,0.35655
0.001439607,0.02177,0.24622
0.001468407,-0.00431,0.1441
0.001497207,0.02236,0.05988
0.001526007,-0.00753,0.00828
0.001554807,0.03237,-0.01001
0.001583407,0.00425,0.0226
0.001612207,0.0005,0.0814
0.001641007,0.00043,0.17423
0.001669807,0.00149,0.27855
0.001698607,0.02921,0.38725
0.001727407,-0.00016,0.4927
0.001756207,0.01104,0.5703
0.001785207,0.01762,0.60625
0.001814007,0.00307,0.60869
0.001842807,0.01202,0.5662
0.001871607,-0.02241,0.49759
0.001900407,0.00063,0.3989
0.001929207,0.00215,0.28964
0.001958007,-0.00029,0.17997
0.001986807,0.01927,0.08324
0.002015607,-0.01379,0.02217
0.002044407,-0.00365,-0.0055
0.002073007,0.01571,0.0083
0.002101807,0.00471,0.05295
0.002130607,0.02374,0.13901
0.002159407,0.00294,0.2429
