Time [s],GPIO [V],Input voltage [V]
-2.90632e-05,0.01393,0.01358
-2.632e-07,0.01597,0.02308
2.85368e-05,-0.00944,0.01988
5.73368e-05,0.00274,0.02624
8.61368e-05,-0.0078,0.0258
0.0001149368,-0.01438,0.02507
0.0001437368,0.01584,0.03217
0.0001725368,-0.00648,0.03433
0.0002013368,0.01038,0.03214
0.0002301368,-0.00115,0.03742
0.0002589368,0.00399,0.04323
0.0002879368,0.02407,0.05305
0.0003167368,0.02302,0.05201
0.0003455368,0.00116,0.0512
0.0003745368,0.01703,0.05096
0.0004033368,-0.00635,0.05843
0.0004321368,-0.00655,0.05793
0.0004611368,-0.00734,0.06683
0.0004899368,0.01663,0.07151
0.0005189368,-0.00925,0.0718
0.0005477368,0.00544,0.07977
0.0005767368,0.03454,0.08262
0.0006055368,0.01051,0.09193
0.0006341368,0.01453,0.08579
0.0006629368,0.02177,0.09168
0.0006917368,0.04639,0.09915
0.0007205368,0.00478,0.10381
0.0007491368,-0.00615,0.104
0.0007779368,0.02763,0.11387
0.0008067368,-0.00431,0.10809
0.0008355368,-0.02248,0.11441
0.0008643368,0.02111,0.12022
0.0008931368,0.02118,0.12726
0.0009219368,-0.00306,0.13244
0.0009507368,0.00932,0.13511
0.0009795368,0.0192,0.13761
0.0010083368,0.01163,0.14467
0.0010371368,0.00544,0.15022
0.0010659368,-0.0045,0.15381
0.0010947368,-0.00602,0.15752
0.0011235368,-0.01576,0.16372
0.0011525368,0.01657,0.165
0.0011813368,0.03033,0.1719
0.0012101368,0.01881,0.17954
0.0012391368,-0.01293,0.1808
0.0012679368,-0.00819,0.18887
0.0012967368,-0.00595,0.19355
0.0013257368,0.00254,0.19757
0.0013545368,0.01472,0.2042
0.0013835368,-0.01965,0.21281
0.0014123368,0.02618,0.21652
0.0014413368,0.01492,0.21951
0.0014701368,-0.0099,0.22531
0.0014987368,0.01518,0.23093
0.0015275368,0.02276,0.23596
0.0015563368,0.02651,0.24765
0.0015849368,0.02111,0.24653
0.0016137368,0.01288,0.25202
0.0016425368,0.02039,0.25793
0.0016713368,-0.00674,0.26558
