Time [s],GPIO [V],Input voltage [V]
-2.91671e-05,0.00254,0.6072
-3.671e-07,0.01255,0.55272
2.86329e-05,-0.02116,0.30529
5.74329e-05,0.00708,0.05962
8.62329e-05,0.01848,-0.00069
0.0001148329,-0.0078,0.16816
0.0001436329,-0.01122,0.4456
0.0001724329,0.02236,0.60822
0.0002012329,-0.01412,0.54261
0.0002300329,-0.00062,0.29191
0.0002588329,-0.02465,0.0563
0.0002876329,-0.02149,0.00336
0.0003164329,0.01202,0.17763
0.0003452329,0.01242,0.45724
0.0003740329,0.00485,0.61227
0.0004028329,0.01815,0.53379
0.0004316329,0.02019,0.28131
0.0004604329,-0.02255,0.04464
0.0004892329,-0.00062,0.00439
0.0005180329,-0.0051,0.19617
0.0005470329,0.02355,0.47465
0.0005758329,0.00083,0.61336
0.0006044329,0.01558,0.52556
0.0006332329,0.01229,0.26596
0.0006620329,-0.00115,0.03403
0.0006908329,0.02302,0.00969
0.0007196329,0.03731,0.21427
0.0007484329,0.02322,0.4798
0.0007772329,0.00445,0.61775
0.0008060329,0.01525,0.5069
0.0008348329,-0.00134,0.25481
0.0008636329,-0.00134,0.02461
0.0008924329,0.00722,0.01718
0.0009212329,-0.01906,0.22366
0.0009500329,-0.01557,0.48251
0.0009788329,-0.00734,0.61978
0.0010076329,0.00676,0.5019
0.0010366329,-0.00582,0.23145
0.0010654329,0.01913,0.01778
0.0010940329,-0.0153,0.01975
0.0011228329,-0.00398,0.23528
0.0011516329,0.0221,0.50424
0.0011804329,0.00261,0.62154
0.0012092329,0.0298,0.48963
0.0012380329,0.01064,0.2148
0.0012668329,0.01663,0.01081
0.0012956329,0.01802,0.03191
0.0013244329,0.00583,0.25545
0.0013532329,0.02118,0.51651
0.0013820329,-0.00872,0.61695
0.0014108329,0.01374,0.47967
0.0014396329,-0.00299,0.20113
0.0014684329,0.00162,0.01213
0.0014972329,0.02328,0.03837
0.0015262329,0.03263,0.27278
0.0015550329,-0.02018,0.53252
0.0015836329,0.02071,0.61173
0.0016124329,-0.00299,0.46455
0.0016412329,0.01604,0.18424
0.0016700329,-0.0022,0.00332
0.0016988329,0.02216,0.04549
0.0017276329,0.0136,0.28384
0.0017562329,0.00445,0.53655
0.0017850329,0.01986,0.60856
0.0018138329,-0.00911,0.44838
0.0018426329,-0.00595,0.16993
0.0018716329,-0.00385,-0.0011
0.0019004329,0.01393,0.05874
0.0019292329,0.02019,0.30143
0.0019580329,0.01018,0.55143
0.0019868329,0.01387,0.61188
0.0020156329,0.00853,0.43923
0.0020444329,0.02052,0.15689
0.0020732329,-0.00925,-0.00575
0.0021020329,0.02006,0.06764
0.0021308329,-0.00483,0.32093
0.0021596329,0.03691,0.56548
0.0021884329,0.00787,0.60118
0.0022170329,-0.01767,0.42315
0.0022458329,-0.00437,0.14856
0.0022746329,0.00024,-0.00207
0.0023034329,-0.0072,0.07126
0.0023322329,0.00103,0.33282
0.0023610329,0.0113,0.5625
0.0023900329,0.0057,0.5976
0.0024188329,0.02388,0.40668
0.0024476329,-0.00391,0.13074
0.0024764329,0.01927,-0.00764
0.0025052329,0.01848,0.08297
0.0025340329,-0.0045,0.34791
0.0025628329,0.01966,0.57855
0.0025916329,-0.02472,0.59796
0.0026204329,0.02243,0.38989
0.0026492329,0.00985,0.11499
0.0026778329,-0.00734,-0.00927
0.0027066329,-0.0024,0.09923
0.0027354329,0.00261,0.36506
0.0027642329,0.00866,0.58124
0.0027930329,0.00267,0.58471
0.0028218329,0.00445,0.37631
0.0028506329,0.03895,0.10665
0.0028794329,0.00827,-0.01269
0.0029082329,0.0115,0.10994
0.0029372329,0.02388,0.38356
0.0029660329,0.01011,0.59203
0.0029948329,0.02322,0.58197
0.0030236329,0.02309,0.35657
0.0030524329,0.01242,0.09907
0.0030812329,-0.00707,-0.00934
0.0031100329,0.00926,0.1263
0.0031388329,0.01946,0.39619
0.0031674329,0.01242,0.59875
0.0031962329,-0.00319,0.57587
0.0032250329,0.00129,0.3458
0.0032538329,-0.00332,0.08362
0.0032826329,0.01314,-0.00421
0.0033114329,0.01275,0.1384
0.0033402329,0.00577,0.41454
0.0033690329,0.01663,0.59783
0.0033978329,0.01044,0.5644
0.0034268329,-0.00595,0.32727
0.0034556329,0.01222,0.07728
0.0034844329,0.01762,-0.00523
0.0035132329,0.00787,0.15056
0.0035420329,0.00537,0.4222
0.0035708329,0.014,0.60979
0.0035996329,0.01209,0.55205
0.0036282329,0.00327,0.31173
0.0036570329,0.02717,0.05763
0.0036858329,0.01018,0.00266
0.0037146329,-0.0018,0.16114
0.0037434329,0.01643,0.4388
0.0037722329,0.03138,0.60731
0.0038010329,-0.0047,0.54309
0.0038298329,0.0379,0.29432
0.0038586329,-0.00872,0.0568
0.0038874329,0.00399,-0.00217
0.0039162329,0.01729,0.17482
0.0039452329,0.00392,0.45665
0.0039740329,0.0219,0.61018
0.0040028329,0.03112,0.53231
0.0040316329,0.0215,0.28393
0.0040604329,-0.00134,0.0452
0.0040890329,0.00478,0.00315
0.0041178329,0.03244,0.1927
0.0041466329,-0.00674,0.46752
0.0041754329,0.03862,0.61285
0.0042042329,0.00932,0.52796
0.0042330329,0.00919,0.26369
0.0042618329,-0.013,0.04248
0.0042906329,0.02223,0.01069
0.0043194329,0.01696,0.21104
0.0043482329,0.0003,0.47632
0.0043770329,0.00116,0.60758
0.0044058329,0.0242,0.50784
0.0044346329,0.01578,0.2534
0.0044636329,-0.02426,0.02825
0.0044924329,0.01479,0.01723
0.0045212329,0.01683,0.22702
0.0045500329,0.00722,0.49503
0.0045786329,0.01584,0.61915
0.0046074329,0.00899,0.49862
0.0046362329,0.00965,0.23803
0.0046650329,-0.02031,0.02294
0.0046938329,-0.00233,0.02141
0.0047226329,0.03408,0.23857
0.0047514329,0.0115,0.49844
0.0047802329,-0.00747,0.61648
0.0048090329,0.01611,0.4901
0.0048378329,0.00182,0.21818
0.0048666329,-0.00266,0.01044
0.0048954329,-0.00385,0.03065
0.0049242329,0.00248,0.2534
0.0049530329,-0.00562,0.51352
0.0049820329,-0.00865,0.61187
0.0050108329,0.02322,0.47382
0.0050396329,-0.00378,0.20296
0.0050682329,0.014,0.01254
0.0050970329,-0.00121,0.03866
0.0051258329,0.01722,0.26624
0.0051546329,0.02697,0.53115
0.0051834329,0.01769,0.6154
0.0052122329,0.00399,0.46484
0.0052410329,0.00886,0.19163
0.0052698329,0.00241,0.00755
0.0052986329,0.02243,0.04972
0.0053274329,-0.00753,0.2906
0.0053562329,-0.0045,0.5379
0.0053850329,-0.00905,0.61707
0.0054138329,0.01683,0.45214
0.0054426329,0.01775,0.17728
0.0054716329,-0.00371,0.00183
0.0055004329,-0.00213,0.057
0.0055292329,0.00432,0.30227
0.0055578329,0.01953,0.546
0.0055866329,0.0113,0.60947
0.0056154329,-0.00582,0.43451
0.0056442329,0.01117,0.15551
0.0056730329,0.00346,-0.00677
0.0057018329,0.01769,0.06984
0.0057306329,0.00866,0.31327
0.0057594329,0.00866,0.55869
0.0057882329,0.00511,0.60965
0.0058170329,0.02295,0.42015
